design_point,td_ns,corner,pointID,status,duration_min,SWITCHESPOWER_uW,COMPOWER_uW,ENOB_bit,SNR_dB,SFDR_dB,LOGICPOWER,SYNCPOWER,SRPOWER_uW,Power_uW
1,24.05n,tt,5,done,23.67,73.922,158.8394,8.6968,53.822,67.1184,Error,Error,11.7767,289.816
1,24.05n,ff,1,done,23.93,79.2305,202.1507,8.8092,54.6789,67.3293,Error,Error,12.0357,340.8511
1,24.05n,ss,4,done,23.4,70.2343,130.7109,8.8742,55.4949,66.3565,Error,Error,11.4487,255.4426
1,24.05n,sf,3,done,23.63,74.3413,171.5406,8.6645,53.7106,66.2995,Error,Error,11.6238,301.6823
1,24.05n,fs,2,done,23.63,74.4085,152.7186,8.717,53.9914,66.334,Error,Error,11.8115,284.6951
2,26n,tt,10,done,22.83,73.9244,167.5683,10.5991,65.4856,77.2624,Error,Error,11.7529,298.8063
2,26n,ff,6,done,23.17,79.2344,213.6573,10.4071,64.3925,76.8371,Error,Error,12.0442,352.8825
2,26n,ss,9,done,22.82,70.2397,137.1236,10.4426,64.3668,75.9045,Error,Error,11.4008,262.06
2,26n,sf,8,done,23.2,74.3461,180.4995,10.1086,62.7188,74.3501,Error,Error,11.6227,311.3526
2,26n,fs,7,done,23.23,74.4058,161.2234,10.1423,62.6101,75.0877,Error,Error,11.7781,293.1884
3,28n,tt,15,done,23.6,73.9294,171.8688,10.6877,65.9413,77.4643,Error,Error,11.7555,303.0803
3,28n,ff,11,done,23.32,79.2361,218.1805,10.2305,63.5149,75.1074,Error,Error,12.0671,356.9524
3,28n,ss,14,done,23.15,70.2416,140.8012,10.2421,63.2268,74.4574,Error,Error,11.3952,265.6353
3,28n,sf,13,done,23.58,74.3491,184.7319,10.3411,63.9569,76.4804,Error,Error,11.651,316.2217
3,28n,fs,12,done,23.43,74.4048,165.422,10.2405,63.1473,74.8343,Error,Error,11.7777,297.194
