mode,noise_factor,noisescale,point_id,design_point_number,td,delta_td_ns,corner,enob,snr_db,sfdr_db,compower_w,srpower_w,prewocm_w,switchespower_w,logicpower_w,syncpower_w
sampling_noise_only,10,10,1,1,24.05n,0.05,Nominal,8.76035649381656,54.8978434238469,66.3177853002864,0.000271044012138949,3.16501509172175e-05,0.000163297573741808,8.62024471576093e-05,4.0977904811706e-05,2.53649022378079e-05
sampling_noise_only,10,10,2,1,24.05n,0.05,C0,9.10864570190196,56.9772557506403,67.8963006435229,0.00027036826655335,3.20335811565203e-05,0.000160392049544775,8.26638297515387e-05,4.20662507750499e-05,2.57062890528754e-05
sampling_noise_only,10,10,3,1,24.05n,0.05,C1,8.54306924525834,53.0040962644821,65.5350242104592,0.00028127810300266,3.25599141016269e-05,0.000168970242265999,8.6771989047297e-05,4.02449765161508e-05,2.50283970753774e-05
sampling_noise_only,10,10,4,1,24.05n,0.05,fs,8.99061121490524,56.2468958349777,67.7764153732025,0.000242862699040474,2.95168185553514e-05,0.000141210474910527,8.35709354129207e-05,3.95216472356795e-05,2.49024601189646e-05
sampling_noise_only,10,10,5,1,24.05n,0.05,sf,8.5609122854504,53.7267423717425,64.1666800026086,0.000303067018970162,3.49406277437297e-05,0.000185448575468596,8.74728229236331e-05,4.28034840882252e-05,2.57939427917356e-05
sampling_noise_only,10,10,6,2,25n,1.00,Nominal,9.5308314046554,59.5419593563328,69.7647734456319,0.000270484911022849,3.07716694821463e-05,0.000163396066716214,8.94659996973298e-05,4.09963002603972e-05,2.5340980451826e-05
sampling_noise_only,10,10,7,2,25n,1.00,C0,10.1408811696643,62.9147205273781,73.9208155842478,0.000269870145527871,3.1334324682737e-05,0.000160419659859773,8.54269827671991e-05,4.20633694436081e-05,2.56926579920742e-05
sampling_noise_only,10,10,8,2,25n,1.00,C1,9.23351056780415,57.216282775531,67.9359483037553,0.000280344399009669,3.12080504046732e-05,0.000169369604528201,8.93994780116384e-05,4.02275116149057e-05,2.49971375314994e-05
sampling_noise_only,10,10,9,2,25n,1.00,fs,9.89011118065689,61.7723475511335,72.5610122548016,0.000242384959735106,2.89495095599424e-05,0.000141187040606041,8.58921261358718e-05,3.95383639929836e-05,2.48883479491844e-05
sampling_noise_only,10,10,10,2,25n,1.00,sf,9.31117078180776,58.0799707933536,69.511364286798,0.00030194193061868,3.32417851282675e-05,0.000185806646834402,9.24519026752264e-05,4.28178554410204e-05,2.57567287305246e-05
