index,time_s,out_v,code
0,1.229850000000e-05,3.599120000000e+00,4095
1,1.239850000000e-05,2.460940000000e-02,28
2,1.249850000000e-05,3.599120000000e+00,4095
3,1.259850000000e-05,2.206050000000e-01,251
4,1.269850000000e-05,3.348630000000e+00,3810
5,1.279850000000e-05,8.165040000000e-01,929
6,1.289850000000e-05,2.600680000000e+00,2959
7,1.299850000000e-05,1.671680000000e+00,1902
8,1.309850000000e-05,1.693650000000e+00,1927
9,1.319850000000e-05,2.579590000000e+00,2935
10,1.329850000000e-05,8.349610000000e-01,950
11,1.339850000000e-05,3.333690000000e+00,3793
12,1.349850000000e-05,2.311520000000e-01,263
13,1.359850000000e-05,3.599120000000e+00,4095
14,1.369850000000e-05,2.460940000000e-02,28
15,1.379850000000e-05,3.599120000000e+00,4095
16,1.389850000000e-05,2.636720000000e-01,300
17,1.399850000000e-05,3.286230000000e+00,3739
18,1.409850000000e-05,8.938480000000e-01,1017
19,1.419850000000e-05,2.513670000000e+00,2860
20,1.429850000000e-05,1.763960000000e+00,2007
21,1.439850000000e-05,1.602250000000e+00,1823
22,1.449850000000e-05,2.665720000000e+00,3033
23,1.459850000000e-05,7.602540000000e-01,865
24,1.469850000000e-05,3.393460000000e+00,3861
25,1.479850000000e-05,1.907230000000e-01,217
26,1.489850000000e-05,3.599120000000e+00,4095
27,1.499850000000e-05,2.812500000000e-02,32
28,1.509850000000e-05,3.599120000000e+00,4095
29,1.519850000000e-05,3.111330000000e-01,354
30,1.529850000000e-05,3.221190000000e+00,3665
31,1.539850000000e-05,9.729490000000e-01,1107
32,1.549850000000e-05,2.424900000000e+00,2759
33,1.559850000000e-05,1.857130000000e+00,2113
34,1.569850000000e-05,1.510840000000e+00,1719
35,1.579850000000e-05,2.750100000000e+00,3129
36,1.589850000000e-05,6.881840000000e-01,783
37,1.599850000000e-05,3.448830000000e+00,3924
38,1.609850000000e-05,1.546880000000e-01,176
39,1.619850000000e-05,3.599120000000e+00,4095
40,1.629850000000e-05,3.691410000000e-02,42
41,1.639850000000e-05,3.599120000000e+00,4095
42,1.649850000000e-05,3.621090000000e-01,412
43,1.659850000000e-05,3.152640000000e+00,3587
44,1.669850000000e-05,1.054690000000e+00,1200
45,1.679850000000e-05,2.334380000000e+00,2656
46,1.689850000000e-05,1.945020000000e+00,2213
47,1.699850000000e-05,1.420310000000e+00,1616
48,1.709850000000e-05,2.831840000000e+00,3222
49,1.719850000000e-05,6.187500000000e-01,704
50,1.729850000000e-05,3.500680000000e+00,3983
51,1.739850000000e-05,1.230470000000e-01,140
52,1.749850000000e-05,3.599120000000e+00,4095
53,1.759850000000e-05,5.009770000000e-02,57
54,1.769850000000e-05,3.599120000000e+00,4095
55,1.779850000000e-05,4.174800000000e-01,475
56,1.789850000000e-05,3.081450000000e+00,3506
57,1.799850000000e-05,1.138180000000e+00,1295
58,1.809850000000e-05,2.243850000000e+00,2553
59,1.819850000000e-05,2.037300000000e+00,2318
60,1.829850000000e-05,1.331540000000e+00,1515
61,1.839850000000e-05,2.911820000000e+00,3313
62,1.849850000000e-05,5.528320000000e-01,629
63,1.859850000000e-05,3.549020000000e+00,4038
64,1.869850000000e-05,9.580080000000e-02,109
65,1.879850000000e-05,3.599120000000e+00,4095
66,1.889850000000e-05,6.767580000000e-02,77
67,1.899850000000e-05,3.599120000000e+00,4095
68,1.909850000000e-05,4.754880000000e-01,541
69,1.919850000000e-05,3.007620000000e+00,3422
70,1.929850000000e-05,1.223440000000e+00,1392
71,1.939850000000e-05,2.152440000000e+00,2449
72,1.949850000000e-05,2.129590000000e+00,2423
73,1.959850000000e-05,1.244530000000e+00,1416
74,1.969850000000e-05,2.989160000000e+00,3401
75,1.979850000000e-05,4.904300000000e-01,558
76,1.989850000000e-05,3.592970000000e+00,4088
77,1.999850000000e-05,7.207030000000e-02,82
78,2.009850000000e-05,3.599120000000e+00,4095
79,2.019850000000e-05,8.964840000000e-02,102
80,2.029850000000e-05,3.560450000000e+00,4051
81,2.039850000000e-05,5.370120000000e-01,611
82,2.049850000000e-05,2.930270000000e+00,3334
83,2.059850000000e-05,1.310450000000e+00,1491
84,2.069850000000e-05,2.060160000000e+00,2344
85,2.079850000000e-05,2.221880000000e+00,2528
86,2.089850000000e-05,1.158400000000e+00,1318
87,2.099850000000e-05,3.063870000000e+00,3486
88,2.109850000000e-05,4.306640000000e-01,490
89,2.119850000000e-05,3.599120000000e+00,4095
90,2.129850000000e-05,5.361330000000e-02,61
91,2.139850000000e-05,3.599120000000e+00,4095
92,2.149850000000e-05,1.160160000000e-01,132
93,2.159850000000e-05,3.512990000000e+00,3997
94,2.169850000000e-05,6.029300000000e-01,686
95,2.179850000000e-05,2.851170000000e+00,3244
96,2.189850000000e-05,1.399220000000e+00,1592
97,2.199850000000e-05,1.966990000000e+00,2238
98,2.209850000000e-05,2.312400000000e+00,2631
99,2.219850000000e-05,1.074020000000e+00,1222
100,2.229850000000e-05,3.135940000000e+00,3568
101,2.239850000000e-05,3.752930000000e-01,427
102,2.249850000000e-05,3.599120000000e+00,4095
103,2.259850000000e-05,3.955080000000e-02,45
104,2.269850000000e-05,3.599120000000e+00,4095
105,2.279850000000e-05,1.467770000000e-01,167
106,2.289850000000e-05,3.462010000000e+00,3939
107,2.299850000000e-05,6.714840000000e-01,764
108,2.309850000000e-05,2.769430000000e+00,3151
109,2.319850000000e-05,1.488870000000e+00,1694
110,2.329850000000e-05,1.879100000000e+00,2138
111,2.339850000000e-05,2.402930000000e+00,2734
112,2.349850000000e-05,9.922850000000e-01,1129
113,2.359850000000e-05,3.205370000000e+00,3647
114,2.369850000000e-05,3.234380000000e-01,368
115,2.379850000000e-05,3.599120000000e+00,4095
116,2.389850000000e-05,2.988280000000e-02,34
117,2.399850000000e-05,3.599120000000e+00,4095
118,2.409850000000e-05,1.819340000000e-01,207
119,2.419850000000e-05,3.407520000000e+00,3877
120,2.429850000000e-05,7.426760000000e-01,845
121,2.439850000000e-05,2.685940000000e+00,3056
122,2.449850000000e-05,1.580270000000e+00,1798
123,2.459850000000e-05,1.785940000000e+00,2032
124,2.469850000000e-05,2.491700000000e+00,2835
125,2.479850000000e-05,9.123050000000e-01,1038
126,2.489850000000e-05,3.271290000000e+00,3722
127,2.499850000000e-05,2.750980000000e-01,313
