bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-55.720996609
2,1.562500000000e+05,-67.459067637
3,2.343750000000e+05,-71.736686334
4,3.125000000000e+05,-81.552596365
5,3.906250000000e+05,-92.277867619
6,4.687500000000e+05,-87.214206044
7,5.468750000000e+05,-83.174393314
8,6.250000000000e+05,-78.920323019
9,7.031250000000e+05,-56.177287506
10,7.812500000000e+05,-34.177692593
11,8.593750000000e+05,-59.971256578
12,9.375000000000e+05,-69.027242634
13,1.015625000000e+06,-77.391364237
14,1.093750000000e+06,-76.189824016
15,1.171875000000e+06,-75.055373935
16,1.250000000000e+06,-77.463511792
17,1.328125000000e+06,-76.023143591
18,1.406250000000e+06,-68.465481938
19,1.484375000000e+06,-57.767687345
20,1.562500000000e+06,-36.534626094
21,1.640625000000e+06,-71.114398197
22,1.718750000000e+06,-86.275023924
23,1.796875000000e+06,-81.027145209
24,1.875000000000e+06,-83.559170603
25,1.953125000000e+06,-86.694282420
26,2.031250000000e+06,-77.193679404
27,2.109375000000e+06,-69.486165707
28,2.187500000000e+06,-62.564667023
29,2.265625000000e+06,-44.957730921
30,2.343750000000e+06,-41.107049197
31,2.421875000000e+06,-63.661524137
32,2.500000000000e+06,-72.902402310
33,2.578125000000e+06,-75.974162081
34,2.656250000000e+06,-89.271010983
35,2.734375000000e+06,-91.718893945
36,2.812500000000e+06,-106.501011324
37,2.890625000000e+06,-84.198507973
38,2.968750000000e+06,-65.224508079
39,3.046875000000e+06,-38.264504508
40,3.125000000000e+06,-49.716764292
41,3.203125000000e+06,-63.088475350
42,3.281250000000e+06,-70.368507102
43,3.359375000000e+06,-79.081681996
44,3.437500000000e+06,-76.783771135
45,3.515625000000e+06,-75.848086227
46,3.593750000000e+06,-78.011819196
47,3.671875000000e+06,-76.948949436
48,3.750000000000e+06,-69.416599988
49,3.828125000000e+06,-35.386574314
50,3.906250000000e+06,-68.052650102
51,3.984375000000e+06,-83.525957364
52,4.062500000000e+06,-80.494311785
53,4.140625000000e+06,-76.789022415
54,4.218750000000e+06,-80.132297198
55,4.296875000000e+06,-81.267462497
56,4.375000000000e+06,-72.846929516
57,4.453125000000e+06,-66.279150920
58,4.531250000000e+06,-57.049410068
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-54.798739923
61,4.765625000000e+06,-71.187480717
62,4.843750000000e+06,-79.767102966
63,4.921875000000e+06,-81.968823847
64,5.000000000000e+06,-102.582559450
