
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/full_adc_bypass/psf" ?result "tran") (V)

 1.22985e-05    3.59912e+00   
 1.23985e-05    2.46094e-02   
 1.24985e-05    3.59912e+00   
 1.25985e-05    2.20605e-01   
 1.26985e-05    3.34863e+00   
 1.27985e-05    8.16504e-01   
 1.28985e-05    2.60068e+00   
 1.29985e-05    1.67168e+00   
 1.30985e-05    1.69365e+00   
 1.31985e-05    2.57959e+00   
 1.32985e-05    8.34961e-01   
 1.33985e-05    3.33369e+00   
 1.34985e-05    2.31152e-01   
 1.35985e-05    3.59912e+00   
 1.36985e-05    2.46094e-02   
 1.37985e-05    3.59912e+00   
 1.38985e-05    2.63672e-01   
 1.39985e-05    3.28623e+00   
 1.40985e-05    8.93848e-01   
 1.41985e-05    2.51367e+00   
 1.42985e-05    1.76396e+00   
 1.43985e-05    1.60225e+00   
 1.44985e-05    2.66572e+00   
 1.45985e-05    7.60254e-01   
 1.46985e-05    3.39346e+00   
 1.47985e-05    1.90723e-01   
 1.48985e-05    3.59912e+00   
 1.49985e-05    2.81250e-02   
 1.50985e-05    3.59912e+00   
 1.51985e-05    3.11133e-01   
 1.52985e-05    3.22119e+00   
 1.53985e-05    9.72949e-01   
 1.54985e-05    2.42490e+00   
 1.55985e-05    1.85713e+00   
 1.56985e-05    1.51084e+00   
 1.57985e-05    2.75010e+00   
 1.58985e-05    6.88184e-01   
 1.59985e-05    3.44883e+00   
 1.60985e-05    1.54688e-01   
 1.61985e-05    3.59912e+00   
 1.62985e-05    3.69141e-02   
 1.63985e-05    3.59912e+00   
 1.64985e-05    3.62109e-01   
 1.65985e-05    3.15264e+00   
 1.66985e-05    1.05469e+00   
 1.67985e-05    2.33438e+00   
 1.68985e-05    1.94502e+00   
 1.69985e-05    1.42031e+00   
 1.70985e-05    2.83184e+00   
 1.71985e-05    6.18750e-01   
 1.72985e-05    3.50068e+00   
 1.73985e-05    1.23047e-01   
 1.74985e-05    3.59912e+00   
 1.75985e-05    5.00977e-02   
 1.76985e-05    3.59912e+00   
 1.77985e-05    4.17480e-01   
 1.78985e-05    3.08145e+00   
 1.79985e-05    1.13818e+00   
 1.80985e-05    2.24385e+00   
 1.81985e-05    2.03730e+00   
 1.82985e-05    1.33154e+00   
 1.83985e-05    2.91182e+00   
 1.84985e-05    5.52832e-01   
 1.85985e-05    3.54902e+00   
 1.86985e-05    9.58008e-02   
 1.87985e-05    3.59912e+00   
 1.88985e-05    6.76758e-02   
 1.89985e-05    3.59912e+00   
 1.90985e-05    4.75488e-01   
 1.91985e-05    3.00762e+00   
 1.92985e-05    1.22344e+00   
 1.93985e-05    2.15244e+00   
 1.94985e-05    2.12959e+00   
 1.95985e-05    1.24453e+00   
 1.96985e-05    2.98916e+00   
 1.97985e-05    4.90430e-01   
 1.98985e-05    3.59297e+00   
 1.99985e-05    7.20703e-02   
 2.00985e-05    3.59912e+00   
 2.01985e-05    8.96484e-02   
 2.02985e-05    3.56045e+00   
 2.03985e-05    5.37012e-01   
 2.04985e-05    2.93027e+00   
 2.05985e-05    1.31045e+00   
 2.06985e-05    2.06016e+00   
 2.07985e-05    2.22188e+00   
 2.08985e-05    1.15840e+00   
 2.09985e-05    3.06387e+00   
 2.10985e-05    4.30664e-01   
 2.11985e-05    3.59912e+00   
 2.12985e-05    5.36133e-02   
 2.13985e-05    3.59912e+00   
 2.14985e-05    1.16016e-01   
 2.15985e-05    3.51299e+00   
 2.16985e-05    6.02930e-01   
 2.17985e-05    2.85117e+00   
 2.18985e-05    1.39922e+00   
 2.19985e-05    1.96699e+00   
 2.20985e-05    2.31240e+00   
 2.21985e-05    1.07402e+00   
 2.22985e-05    3.13594e+00   
 2.23985e-05    3.75293e-01   
 2.24985e-05    3.59912e+00   
 2.25985e-05    3.95508e-02   
 2.26985e-05    3.59912e+00   
 2.27985e-05    1.46777e-01   
 2.28985e-05    3.46201e+00   
 2.29985e-05    6.71484e-01   
 2.30985e-05    2.76943e+00   
 2.31985e-05    1.48887e+00   
 2.32985e-05    1.87910e+00   
 2.33985e-05    2.40293e+00   
 2.34985e-05    9.92285e-01   
 2.35985e-05    3.20537e+00   
 2.36985e-05    3.23438e-01   
 2.37985e-05    3.59912e+00   
 2.38985e-05    2.98828e-02   
 2.39985e-05    3.59912e+00   
 2.40985e-05    1.81934e-01   
 2.41985e-05    3.40752e+00   
 2.42985e-05    7.42676e-01   
 2.43985e-05    2.68594e+00   
 2.44985e-05    1.58027e+00   
 2.45985e-05    1.78594e+00   
 2.46985e-05    2.49170e+00   
 2.47985e-05    9.12305e-01   
 2.48985e-05    3.27129e+00   
 2.49985e-05    2.75098e-01   
