index,time_s,out_v,code
0,1.985050000000e-07,1.584670000000e+00,1803
1,2.985050000000e-07,1.604000000000e+00,1825
2,3.985050000000e-07,2.399410000000e+00,2730
3,4.985050000000e-07,8.314450000000e-01,946
4,5.985050000000e-07,3.077050000000e+00,3501
5,6.985050000000e-07,2.882810000000e-01,328
6,7.985050000000e-07,3.453220000000e+00,3929
7,8.985050000000e-07,1.028320000000e-01,117
8,9.985050000000e-07,3.437400000000e+00,3911
9,1.098500000000e-06,3.181640000000e-01,362
10,1.198500000000e-06,3.034860000000e+00,3453
11,1.298510000000e-06,8.841800000000e-01,1006
12,1.398500000000e-06,2.339650000000e+00,2662
13,1.498500000000e-06,1.666410000000e+00,1896
14,1.598500000000e-06,1.521390000000e+00,1731
15,1.698510000000e-06,2.476760000000e+00,2818
16,1.798500000000e-06,7.646480000000e-01,870
17,1.898500000000e-06,3.130660000000e+00,3562
18,1.998500000000e-06,2.522460000000e-01,287
19,2.098500000000e-06,3.469920000000e+00,3948
20,2.198500000000e-06,1.063480000000e-01,121
21,2.298500000000e-06,3.413670000000e+00,3884
22,2.398500000000e-06,3.603520000000e-01,410
23,2.498500000000e-06,2.975980000000e+00,3386
24,2.598500000000e-06,9.553710000000e-01,1087
25,2.698500000000e-06,2.260550000000e+00,2572
26,2.798500000000e-06,1.749900000000e+00,1991
27,2.898500000000e-06,1.438770000000e+00,1637
28,2.998500000000e-06,2.552340000000e+00,2904
29,3.098500000000e-06,6.996090000000e-01,796
30,3.198500000000e-06,3.180760000000e+00,3619
31,3.298500000000e-06,2.197270000000e-01,250
32,3.398500000000e-06,3.482230000000e+00,3962
33,3.498500000000e-06,1.142580000000e-01,130
34,3.598500000000e-06,3.386430000000e+00,3853
35,3.698500000000e-06,4.069340000000e-01,463
36,3.798500000000e-06,2.914450000000e+00,3316
37,3.898500000000e-06,1.028320000000e+00,1170
38,3.998510000000e-06,2.179690000000e+00,2480
39,4.098510000000e-06,1.829000000000e+00,2081
40,4.198510000000e-06,1.357910000000e+00,1545
41,4.298500000000e-06,2.626170000000e+00,2988
42,4.398500000000e-06,6.372070000000e-01,725
43,4.498500000000e-06,3.227340000000e+00,3672
44,4.598510000000e-06,1.916020000000e-01,218
45,4.698510000000e-06,3.491890000000e+00,3973
46,4.798510000000e-06,1.256840000000e-01,143
47,4.898510000000e-06,3.354790000000e+00,3817
48,4.998510000000e-06,4.561520000000e-01,519
49,5.098500000000e-06,2.850290000000e+00,3243
50,5.198500000000e-06,1.103910000000e+00,1256
51,5.298500000000e-06,2.097950000000e+00,2387
52,5.398500000000e-06,1.911620000000e+00,2175
53,5.498510000000e-06,1.277930000000e+00,1454
54,5.598510000000e-06,2.697360000000e+00,3069
55,5.698510000000e-06,5.783200000000e-01,658
56,5.798500000000e-06,3.270410000000e+00,3721
57,5.898500000000e-06,1.669920000000e-01,190
58,5.998500000000e-06,3.495410000000e+00,3977
59,6.098500000000e-06,1.415040000000e-01,161
60,6.198510000000e-06,3.319630000000e+00,3777
61,6.298510000000e-06,5.088870000000e-01,579
62,6.398510000000e-06,2.783500000000e+00,3167
63,6.498510000000e-06,1.180370000000e+00,1343
64,6.598500000000e-06,2.015330000000e+00,2293
65,6.698500000000e-06,1.995120000000e+00,2270
66,6.798500000000e-06,1.199710000000e+00,1365
67,6.898500000000e-06,2.767680000000e+00,3149
68,6.998500000000e-06,5.220700000000e-01,594
69,7.098510000000e-06,3.310840000000e+00,3767
70,7.198510000000e-06,1.458980000000e-01,166
71,7.298510000000e-06,3.496290000000e+00,3978
72,7.398500000000e-06,1.617190000000e-01,184
73,7.498500000000e-06,3.280960000000e+00,3733
74,7.598500000000e-06,5.642580000000e-01,642
75,7.698500000000e-06,2.714940000000e+00,3089
76,7.798510000000e-06,1.259470000000e+00,1433
77,7.898500000000e-06,1.931840000000e+00,2198
78,7.998510000000e-06,2.077730000000e+00,2364
79,8.098500000000e-06,1.122360000000e+00,1277
80,8.198500000000e-06,2.834470000000e+00,3225
81,8.298510000000e-06,4.684570000000e-01,533
82,8.398500000000e-06,3.346880000000e+00,3808
83,8.498510000000e-06,1.291990000000e-01,147
84,8.598500000000e-06,3.492770000000e+00,3974
85,8.698510000000e-06,1.854490000000e-01,211
86,8.798500000000e-06,3.237890000000e+00,3684
87,8.898500000000e-06,6.222660000000e-01,708
88,8.998510000000e-06,2.643750000000e+00,3008
89,9.098500000000e-06,1.338570000000e+00,1523
90,9.198510000000e-06,1.849220000000e+00,2104
91,9.298500000000e-06,2.159470000000e+00,2457
92,9.398510000000e-06,1.046780000000e+00,1191
93,9.498500000000e-06,2.899510000000e+00,3299
94,9.598510000000e-06,4.183590000000e-01,476
95,9.698500000000e-06,3.379390000000e+00,3845
96,9.798500000000e-06,1.168950000000e-01,133
97,9.898510000000e-06,3.484860000000e+00,3965
98,9.998500000000e-06,2.126950000000e-01,242
99,1.009850000000e-05,3.192190000000e+00,3632
100,1.019850000000e-05,6.837890000000e-01,778
101,1.029850000000e-05,2.569920000000e+00,2924
102,1.039850000000e-05,1.419430000000e+00,1615
103,1.049850000000e-05,1.770120000000e+00,2014
104,1.059850000000e-05,2.240330000000e+00,2549
105,1.069850000000e-05,9.729490000000e-01,1107
106,1.079850000000e-05,2.961910000000e+00,3370
107,1.089850000000e-05,3.717770000000e-01,423
108,1.099850000000e-05,3.407520000000e+00,3877
109,1.109850000000e-05,1.081050000000e-01,123
110,1.119850000000e-05,3.473440000000e+00,3952
111,1.129850000000e-05,2.443360000000e-01,278
112,1.139850000000e-05,3.142970000000e+00,3576
113,1.149850000000e-05,7.479490000000e-01,851
114,1.159850000000e-05,2.495210000000e+00,2839
115,1.169850000000e-05,1.501170000000e+00,1708
116,1.179850000000e-05,1.686620000000e+00,1919
117,1.189850000000e-05,2.321190000000e+00,2641
118,1.199850000000e-05,9.008790000000e-01,1025
119,1.209850000000e-05,3.020800000000e+00,3437
120,1.219850000000e-05,3.278320000000e-01,373
121,1.229850000000e-05,3.432130000000e+00,3905
122,1.239850000000e-05,1.037110000000e-01,118
123,1.249850000000e-05,3.457620000000e+00,3934
124,1.259850000000e-05,2.794920000000e-01,318
125,1.269850000000e-05,3.090230000000e+00,3516
126,1.279850000000e-05,8.147460000000e-01,927
127,1.289850000000e-05,2.417870000000e+00,2751
