bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-77.937295198
2,1.562500000000e+05,-96.521661648
3,2.343750000000e+05,-85.776024860
4,3.125000000000e+05,-90.703939211
5,3.906250000000e+05,-89.024599829
6,4.687500000000e+05,-91.939510906
7,5.468750000000e+05,-88.959820107
8,6.250000000000e+05,-88.383604408
9,7.031250000000e+05,-75.504943037
10,7.812500000000e+05,-85.728297577
11,8.593750000000e+05,-76.304813068
12,9.375000000000e+05,-108.355601938
13,1.015625000000e+06,-83.274748625
14,1.093750000000e+06,-102.041911265
15,1.171875000000e+06,-85.299204640
16,1.250000000000e+06,-90.427520065
17,1.328125000000e+06,-89.353298022
18,1.406250000000e+06,-89.714159684
19,1.484375000000e+06,-72.963342394
20,1.562500000000e+06,-89.017679123
21,1.640625000000e+06,-77.333020676
22,1.718750000000e+06,-102.951643153
23,1.796875000000e+06,-93.553251954
24,1.875000000000e+06,-110.371759634
25,1.953125000000e+06,-85.060344291
26,2.031250000000e+06,-86.179507562
27,2.109375000000e+06,-89.754785917
28,2.187500000000e+06,-89.239011593
29,2.265625000000e+06,-73.033161937
30,2.343750000000e+06,-89.172768171
31,2.421875000000e+06,-82.055212494
32,2.500000000000e+06,-101.835247919
33,2.578125000000e+06,-83.196177344
34,2.656250000000e+06,-92.698320684
35,2.734375000000e+06,-84.717463939
36,2.812500000000e+06,-90.170275261
37,2.890625000000e+06,-81.454168780
38,2.968750000000e+06,-87.654833171
39,3.046875000000e+06,-69.995716437
40,3.125000000000e+06,-87.791247752
41,3.203125000000e+06,-77.909235099
42,3.281250000000e+06,-92.272972329
43,3.359375000000e+06,-90.380139983
44,3.437500000000e+06,-91.035132385
45,3.515625000000e+06,-88.782679025
46,3.593750000000e+06,-90.148786513
47,3.671875000000e+06,-86.745955171
48,3.750000000000e+06,-92.712191337
49,3.828125000000e+06,-65.071151415
50,3.906250000000e+06,-96.220915183
51,3.984375000000e+06,-80.837770046
52,4.062500000000e+06,-93.405718670
53,4.140625000000e+06,-85.214155254
54,4.218750000000e+06,-88.163316944
55,4.296875000000e+06,-87.196383367
56,4.375000000000e+06,-88.750466561
57,4.453125000000e+06,-85.444132361
58,4.531250000000e+06,-93.197198985
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-96.005939389
61,4.765625000000e+06,-81.140736564
62,4.843750000000e+06,-88.746828190
63,4.921875000000e+06,-89.961654713
64,5.000000000000e+06,-101.835247919
