
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/full_adc_bypass_800m/psf" ?result "tran") (V)

 1.98505e-07    1.58467e+00   
 2.98505e-07    1.60400e+00   
 3.98505e-07    2.39941e+00   
 4.98505e-07    8.31445e-01   
 5.98505e-07    3.07705e+00   
 6.98505e-07    2.88281e-01   
 7.98505e-07    3.45322e+00   
 8.98505e-07    1.02832e-01   
 9.98505e-07    3.43740e+00   
 1.09850e-06    3.18164e-01   
 1.19850e-06    3.03486e+00   
 1.29851e-06    8.84180e-01   
 1.39850e-06    2.33965e+00   
 1.49850e-06    1.66641e+00   
 1.59850e-06    1.52139e+00   
 1.69851e-06    2.47676e+00   
 1.79850e-06    7.64648e-01   
 1.89850e-06    3.13066e+00   
 1.99850e-06    2.52246e-01   
 2.09850e-06    3.46992e+00   
 2.19850e-06    1.06348e-01   
 2.29850e-06    3.41367e+00   
 2.39850e-06    3.60352e-01   
 2.49850e-06    2.97598e+00   
 2.59850e-06    9.55371e-01   
 2.69850e-06    2.26055e+00   
 2.79850e-06    1.74990e+00   
 2.89850e-06    1.43877e+00   
 2.99850e-06    2.55234e+00   
 3.09850e-06    6.99609e-01   
 3.19850e-06    3.18076e+00   
 3.29850e-06    2.19727e-01   
 3.39850e-06    3.48223e+00   
 3.49850e-06    1.14258e-01   
 3.59850e-06    3.38643e+00   
 3.69850e-06    4.06934e-01   
 3.79850e-06    2.91445e+00   
 3.89850e-06    1.02832e+00   
 3.99851e-06    2.17969e+00   
 4.09851e-06    1.82900e+00   
 4.19851e-06    1.35791e+00   
 4.29850e-06    2.62617e+00   
 4.39850e-06    6.37207e-01   
 4.49850e-06    3.22734e+00   
 4.59851e-06    1.91602e-01   
 4.69851e-06    3.49189e+00   
 4.79851e-06    1.25684e-01   
 4.89851e-06    3.35479e+00   
 4.99851e-06    4.56152e-01   
 5.09850e-06    2.85029e+00   
 5.19850e-06    1.10391e+00   
 5.29850e-06    2.09795e+00   
 5.39850e-06    1.91162e+00   
 5.49851e-06    1.27793e+00   
 5.59851e-06    2.69736e+00   
 5.69851e-06    5.78320e-01   
 5.79850e-06    3.27041e+00   
 5.89850e-06    1.66992e-01   
 5.99850e-06    3.49541e+00   
 6.09850e-06    1.41504e-01   
 6.19851e-06    3.31963e+00   
 6.29851e-06    5.08887e-01   
 6.39851e-06    2.78350e+00   
 6.49851e-06    1.18037e+00   
 6.59850e-06    2.01533e+00   
 6.69850e-06    1.99512e+00   
 6.79850e-06    1.19971e+00   
 6.89850e-06    2.76768e+00   
 6.99850e-06    5.22070e-01   
 7.09851e-06    3.31084e+00   
 7.19851e-06    1.45898e-01   
 7.29851e-06    3.49629e+00   
 7.39850e-06    1.61719e-01   
 7.49850e-06    3.28096e+00   
 7.59850e-06    5.64258e-01   
 7.69850e-06    2.71494e+00   
 7.79851e-06    1.25947e+00   
 7.89850e-06    1.93184e+00   
 7.99851e-06    2.07773e+00   
 8.09850e-06    1.12236e+00   
 8.19850e-06    2.83447e+00   
 8.29851e-06    4.68457e-01   
 8.39850e-06    3.34688e+00   
 8.49851e-06    1.29199e-01   
 8.59850e-06    3.49277e+00   
 8.69851e-06    1.85449e-01   
 8.79850e-06    3.23789e+00   
 8.89850e-06    6.22266e-01   
 8.99851e-06    2.64375e+00   
 9.09850e-06    1.33857e+00   
 9.19851e-06    1.84922e+00   
 9.29850e-06    2.15947e+00   
 9.39851e-06    1.04678e+00   
 9.49850e-06    2.89951e+00   
 9.59851e-06    4.18359e-01   
 9.69850e-06    3.37939e+00   
 9.79850e-06    1.16895e-01   
 9.89851e-06    3.48486e+00   
 9.99850e-06    2.12695e-01   
 1.00985e-05    3.19219e+00   
 1.01985e-05    6.83789e-01   
 1.02985e-05    2.56992e+00   
 1.03985e-05    1.41943e+00   
 1.04985e-05    1.77012e+00   
 1.05985e-05    2.24033e+00   
 1.06985e-05    9.72949e-01   
 1.07985e-05    2.96191e+00   
 1.08985e-05    3.71777e-01   
 1.09985e-05    3.40752e+00   
 1.10985e-05    1.08105e-01   
 1.11985e-05    3.47344e+00   
 1.12985e-05    2.44336e-01   
 1.13985e-05    3.14297e+00   
 1.14985e-05    7.47949e-01   
 1.15985e-05    2.49521e+00   
 1.16985e-05    1.50117e+00   
 1.17985e-05    1.68662e+00   
 1.18985e-05    2.32119e+00   
 1.19985e-05    9.00879e-01   
 1.20985e-05    3.02080e+00   
 1.21985e-05    3.27832e-01   
 1.22985e-05    3.43213e+00   
 1.23985e-05    1.03711e-01   
 1.24985e-05    3.45762e+00   
 1.25985e-05    2.79492e-01   
 1.26985e-05    3.09023e+00   
 1.27985e-05    8.14746e-01   
 1.28985e-05    2.41787e+00   
