index,time_s,out_v,code
0,1.985050000000e-07,1.574120000000e+00,1791
1,2.985050000000e-07,1.594340000000e+00,1814
2,3.985050000000e-07,2.427540000000e+00,2762
3,4.985050000000e-07,7.857420000000e-01,894
4,5.985050000000e-07,3.137700000000e+00,3570
5,6.985050000000e-07,2.179690000000e-01,248
6,7.985050000000e-07,3.531450000000e+00,4018
7,8.985050000000e-07,2.285160000000e-02,26
8,9.985050000000e-07,3.514750000000e+00,3999
9,1.098500000000e-06,2.478520000000e-01,282
10,1.198500000000e-06,3.092870000000e+00,3519
11,1.298510000000e-06,8.411130000000e-01,957
12,1.398500000000e-06,2.366020000000e+00,2692
13,1.498500000000e-06,1.660250000000e+00,1889
14,1.598500000000e-06,1.508200000000e+00,1716
15,1.698510000000e-06,2.509280000000e+00,2855
16,1.798500000000e-06,7.154300000000e-01,814
17,1.898500000000e-06,3.193070000000e+00,3633
18,1.998500000000e-06,1.792970000000e-01,204
19,2.098500000000e-06,3.549020000000e+00,4038
20,2.198500000000e-06,2.636720000000e-02,30
21,2.298500000000e-06,3.490140000000e+00,3971
22,2.398500000000e-06,2.926760000000e-01,333
23,2.498500000000e-06,3.031350000000e+00,3449
24,2.598500000000e-06,9.158200000000e-01,1042
25,2.698500000000e-06,2.282520000000e+00,2597
26,2.798500000000e-06,1.748140000000e+00,1989
27,2.898500000000e-06,1.422070000000e+00,1618
28,2.998500000000e-06,2.588380000000e+00,2945
29,3.098500000000e-06,6.477540000000e-01,737
30,3.198500000000e-06,3.245800000000e+00,3693
31,3.298500000000e-06,1.458980000000e-01,166
32,3.398500000000e-06,3.562210000000e+00,4053
33,3.498500000000e-06,3.515620000000e-02,40
34,3.598500000000e-06,3.461130000000e+00,3938
35,3.698500000000e-06,3.410160000000e-01,388
36,3.798500000000e-06,2.967190000000e+00,3376
37,3.898500000000e-06,9.922850000000e-01,1129
38,3.998510000000e-06,2.197270000000e+00,2500
39,4.098510000000e-06,1.830760000000e+00,2083
40,4.198510000000e-06,1.337700000000e+00,1522
41,4.298500000000e-06,2.664840000000e+00,3032
42,4.398500000000e-06,5.827150000000e-01,663
43,4.498500000000e-06,3.295020000000e+00,3749
44,4.598510000000e-06,1.160160000000e-01,132
45,4.698510000000e-06,3.571000000000e+00,4063
46,4.798510000000e-06,4.746090000000e-02,54
47,4.898510000000e-06,3.427730000000e+00,3900
48,4.998510000000e-06,3.928710000000e-01,447
49,5.098500000000e-06,2.900390000000e+00,3300
50,5.198500000000e-06,1.071390000000e+00,1219
51,5.298500000000e-06,2.112010000000e+00,2403
52,5.398500000000e-06,1.917770000000e+00,2182
53,5.498510000000e-06,1.253320000000e+00,1426
54,5.598510000000e-06,2.740430000000e+00,3118
55,5.698510000000e-06,5.203130000000e-01,592
56,5.798500000000e-06,3.339840000000e+00,3800
57,5.898500000000e-06,9.052730000000e-02,103
58,5.998500000000e-06,3.576270000000e+00,4069
59,6.098500000000e-06,6.328120000000e-02,72
60,6.198510000000e-06,3.391700000000e+00,3859
61,6.298510000000e-06,4.473630000000e-01,509
62,6.398510000000e-06,2.830960000000e+00,3221
63,6.498510000000e-06,1.151370000000e+00,1310
64,6.598500000000e-06,2.025880000000e+00,2305
65,6.698500000000e-06,2.003910000000e+00,2280
66,6.798500000000e-06,1.171580000000e+00,1333
67,6.898500000000e-06,2.813380000000e+00,3201
68,6.998500000000e-06,4.614260000000e-01,525
69,7.098510000000e-06,3.381150000000e+00,3847
70,7.198510000000e-06,6.767580000000e-02,77
71,7.298510000000e-06,3.576270000000e+00,4069
72,7.398500000000e-06,8.437500000000e-02,96
73,7.498500000000e-06,3.351270000000e+00,3813
74,7.598500000000e-06,5.062500000000e-01,576
75,7.698500000000e-06,2.758010000000e+00,3138
76,7.798510000000e-06,1.233110000000e+00,1403
77,7.898500000000e-06,1.938870000000e+00,2206
78,7.998510000000e-06,2.090920000000e+00,2379
79,8.098500000000e-06,1.089840000000e+00,1240
80,8.198500000000e-06,2.883690000000e+00,3281
81,8.298510000000e-06,4.060550000000e-01,462
82,8.398500000000e-06,3.419820000000e+00,3891
83,8.498510000000e-06,5.009770000000e-02,57
84,8.598500000000e-06,3.572750000000e+00,4065
85,8.698510000000e-06,1.089840000000e-01,124
86,8.798500000000e-06,3.306450000000e+00,3762
87,8.898500000000e-06,5.677730000000e-01,646
88,8.998510000000e-06,2.683300000000e+00,3053
89,9.098500000000e-06,1.316600000000e+00,1498
90,9.198510000000e-06,1.850980000000e+00,2106
91,9.298500000000e-06,2.177050000000e+00,2477
92,9.398510000000e-06,1.010740000000e+00,1150
93,9.498500000000e-06,2.951370000000e+00,3358
94,9.598510000000e-06,3.533200000000e-01,402
95,9.698500000000e-06,3.453220000000e+00,3929
96,9.798500000000e-06,3.691410000000e-02,42
97,9.898510000000e-06,3.563960000000e+00,4055
98,9.998500000000e-06,1.379880000000e-01,157
99,1.009850000000e-05,3.258110000000e+00,3707
100,1.019850000000e-05,6.319340000000e-01,719
101,1.029850000000e-05,2.606840000000e+00,2966
102,1.039850000000e-05,1.400980000000e+00,1594
103,1.049850000000e-05,1.768360000000e+00,2012
104,1.059850000000e-05,2.261430000000e+00,2573
105,1.069850000000e-05,9.342770000000e-01,1063
106,1.079850000000e-05,3.015530000000e+00,3431
107,1.089850000000e-05,3.041020000000e-01,346
108,1.099850000000e-05,3.483110000000e+00,3963
109,1.109850000000e-05,2.812500000000e-02,32
110,1.119850000000e-05,3.551660000000e+00,4041
111,1.129850000000e-05,1.713870000000e-01,195
112,1.139850000000e-05,3.206250000000e+00,3648
113,1.149850000000e-05,6.987300000000e-01,795
114,1.159850000000e-05,2.527730000000e+00,2876
115,1.169850000000e-05,1.487110000000e+00,1692
116,1.179850000000e-05,1.681350000000e+00,1913
117,1.189850000000e-05,2.344920000000e+00,2668
118,1.199850000000e-05,8.586910000000e-01,977
119,1.209850000000e-05,3.078810000000e+00,3503
120,1.219850000000e-05,2.592770000000e-01,295
121,1.229850000000e-05,3.508590000000e+00,3992
122,1.239850000000e-05,2.285160000000e-02,26
123,1.249850000000e-05,3.535840000000e+00,4023
124,1.259850000000e-05,2.074220000000e-01,236
125,1.269850000000e-05,3.151760000000e+00,3586
126,1.279850000000e-05,7.681640000000e-01,874
127,1.289850000000e-05,2.447750000000e+00,2785
