bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-77.849136299
2,1.562500000000e+05,-94.784612571
3,2.343750000000e+05,-90.184259226
4,3.125000000000e+05,-99.688090067
5,3.906250000000e+05,-84.689805463
6,4.687500000000e+05,-104.179080669
7,5.468750000000e+05,-83.389718133
8,6.250000000000e+05,-95.062755053
9,7.031250000000e+05,-73.601480583
10,7.812500000000e+05,-94.588899206
11,8.593750000000e+05,-78.976831031
12,9.375000000000e+05,-103.077903391
13,1.015625000000e+06,-83.468898482
14,1.093750000000e+06,-115.479912678
15,1.171875000000e+06,-85.980541745
16,1.250000000000e+06,-102.235549003
17,1.328125000000e+06,-80.094570298
18,1.406250000000e+06,-97.628203942
19,1.484375000000e+06,-74.258844821
20,1.562500000000e+06,-100.460298026
21,1.640625000000e+06,-76.667438190
22,1.718750000000e+06,-94.759690818
23,1.796875000000e+06,-90.588596031
24,1.875000000000e+06,-97.111420129
25,1.953125000000e+06,-82.638391137
26,2.031250000000e+06,-95.542838328
27,2.109375000000e+06,-87.620932233
28,2.187500000000e+06,-93.290090936
29,2.265625000000e+06,-72.652116156
30,2.343750000000e+06,-110.091664402
31,2.421875000000e+06,-79.180021333
32,2.500000000000e+06,-91.096115480
33,2.578125000000e+06,-84.800315864
34,2.656250000000e+06,-92.451796862
35,2.734375000000e+06,-88.891417139
36,2.812500000000e+06,-98.899360574
37,2.890625000000e+06,-83.445862599
38,2.968750000000e+06,-93.276237312
39,3.046875000000e+06,-71.490683446
40,3.125000000000e+06,-101.864549731
41,3.203125000000e+06,-82.708182861
42,3.281250000000e+06,-92.360976109
43,3.359375000000e+06,-95.921157790
44,3.437500000000e+06,-92.943894970
45,3.515625000000e+06,-83.317436332
46,3.593750000000e+06,-103.307719087
47,3.671875000000e+06,-83.230374731
48,3.750000000000e+06,-102.235549003
49,3.828125000000e+06,-65.600296723
50,3.906250000000e+06,-94.578886484
51,3.984375000000e+06,-83.483920923
52,4.062500000000e+06,-92.608868924
53,4.140625000000e+06,-81.386776751
54,4.218750000000e+06,-97.176643925
55,4.296875000000e+06,-85.118352542
56,4.375000000000e+06,-92.047898007
57,4.453125000000e+06,-77.528473570
58,4.531250000000e+06,-98.269200168
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-93.096255356
61,4.765625000000e+06,-85.931745881
62,4.843750000000e+06,-90.413066387
63,4.921875000000e+06,-80.689235407
64,5.000000000000e+06,-102.235549003
