
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/full_adc_bypass_890m_norm_cx/psf" ?result "tran") (V)

 1.98505e-07    1.57412e+00   
 2.98505e-07    1.59434e+00   
 3.98505e-07    2.42754e+00   
 4.98505e-07    7.85742e-01   
 5.98505e-07    3.13770e+00   
 6.98505e-07    2.17969e-01   
 7.98505e-07    3.53145e+00   
 8.98505e-07    2.28516e-02   
 9.98505e-07    3.51475e+00   
 1.09850e-06    2.47852e-01   
 1.19850e-06    3.09287e+00   
 1.29851e-06    8.41113e-01   
 1.39850e-06    2.36602e+00   
 1.49850e-06    1.66025e+00   
 1.59850e-06    1.50820e+00   
 1.69851e-06    2.50928e+00   
 1.79850e-06    7.15430e-01   
 1.89850e-06    3.19307e+00   
 1.99850e-06    1.79297e-01   
 2.09850e-06    3.54902e+00   
 2.19850e-06    2.63672e-02   
 2.29850e-06    3.49014e+00   
 2.39850e-06    2.92676e-01   
 2.49850e-06    3.03135e+00   
 2.59850e-06    9.15820e-01   
 2.69850e-06    2.28252e+00   
 2.79850e-06    1.74814e+00   
 2.89850e-06    1.42207e+00   
 2.99850e-06    2.58838e+00   
 3.09850e-06    6.47754e-01   
 3.19850e-06    3.24580e+00   
 3.29850e-06    1.45898e-01   
 3.39850e-06    3.56221e+00   
 3.49850e-06    3.51562e-02   
 3.59850e-06    3.46113e+00   
 3.69850e-06    3.41016e-01   
 3.79850e-06    2.96719e+00   
 3.89850e-06    9.92285e-01   
 3.99851e-06    2.19727e+00   
 4.09851e-06    1.83076e+00   
 4.19851e-06    1.33770e+00   
 4.29850e-06    2.66484e+00   
 4.39850e-06    5.82715e-01   
 4.49850e-06    3.29502e+00   
 4.59851e-06    1.16016e-01   
 4.69851e-06    3.57100e+00   
 4.79851e-06    4.74609e-02   
 4.89851e-06    3.42773e+00   
 4.99851e-06    3.92871e-01   
 5.09850e-06    2.90039e+00   
 5.19850e-06    1.07139e+00   
 5.29850e-06    2.11201e+00   
 5.39850e-06    1.91777e+00   
 5.49851e-06    1.25332e+00   
 5.59851e-06    2.74043e+00   
 5.69851e-06    5.20313e-01   
 5.79850e-06    3.33984e+00   
 5.89850e-06    9.05273e-02   
 5.99850e-06    3.57627e+00   
 6.09850e-06    6.32812e-02   
 6.19851e-06    3.39170e+00   
 6.29851e-06    4.47363e-01   
 6.39851e-06    2.83096e+00   
 6.49851e-06    1.15137e+00   
 6.59850e-06    2.02588e+00   
 6.69850e-06    2.00391e+00   
 6.79850e-06    1.17158e+00   
 6.89850e-06    2.81338e+00   
 6.99850e-06    4.61426e-01   
 7.09851e-06    3.38115e+00   
 7.19851e-06    6.76758e-02   
 7.29851e-06    3.57627e+00   
 7.39850e-06    8.43750e-02   
 7.49850e-06    3.35127e+00   
 7.59850e-06    5.06250e-01   
 7.69850e-06    2.75801e+00   
 7.79851e-06    1.23311e+00   
 7.89850e-06    1.93887e+00   
 7.99851e-06    2.09092e+00   
 8.09850e-06    1.08984e+00   
 8.19850e-06    2.88369e+00   
 8.29851e-06    4.06055e-01   
 8.39850e-06    3.41982e+00   
 8.49851e-06    5.00977e-02   
 8.59850e-06    3.57275e+00   
 8.69851e-06    1.08984e-01   
 8.79850e-06    3.30645e+00   
 8.89850e-06    5.67773e-01   
 8.99851e-06    2.68330e+00   
 9.09850e-06    1.31660e+00   
 9.19851e-06    1.85098e+00   
 9.29850e-06    2.17705e+00   
 9.39851e-06    1.01074e+00   
 9.49850e-06    2.95137e+00   
 9.59851e-06    3.53320e-01   
 9.69850e-06    3.45322e+00   
 9.79850e-06    3.69141e-02   
 9.89851e-06    3.56396e+00   
 9.99850e-06    1.37988e-01   
 1.00985e-05    3.25811e+00   
 1.01985e-05    6.31934e-01   
 1.02985e-05    2.60684e+00   
 1.03985e-05    1.40098e+00   
 1.04985e-05    1.76836e+00   
 1.05985e-05    2.26143e+00   
 1.06985e-05    9.34277e-01   
 1.07985e-05    3.01553e+00   
 1.08985e-05    3.04102e-01   
 1.09985e-05    3.48311e+00   
 1.10985e-05    2.81250e-02   
 1.11985e-05    3.55166e+00   
 1.12985e-05    1.71387e-01   
 1.13985e-05    3.20625e+00   
 1.14985e-05    6.98730e-01   
 1.15985e-05    2.52773e+00   
 1.16985e-05    1.48711e+00   
 1.17985e-05    1.68135e+00   
 1.18985e-05    2.34492e+00   
 1.19985e-05    8.58691e-01   
 1.20985e-05    3.07881e+00   
 1.21985e-05    2.59277e-01   
 1.22985e-05    3.50859e+00   
 1.23985e-05    2.28516e-02   
 1.24985e-05    3.53584e+00   
 1.25985e-05    2.07422e-01   
 1.26985e-05    3.15176e+00   
 1.27985e-05    7.68164e-01   
 1.28985e-05    2.44775e+00   
