
time (s)       v("DONE" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/full_adc_bypass_890m_norm_debug2u/psf" ?result "tran") (V)

 9.85050e-08    1.80000e+00   
 1.98505e-07    1.80000e+00   
 2.98505e-07    1.80000e+00   
 3.98505e-07    1.80000e+00   
 4.98505e-07    1.80000e+00   
 5.98505e-07    1.80000e+00   
 6.98505e-07    1.80000e+00   
 7.98505e-07    1.80000e+00   
 8.98505e-07    1.80000e+00   
 9.98505e-07    1.80000e+00   
 1.09850e-06    1.80000e+00   
 1.19850e-06    1.80000e+00   
 1.29850e-06    1.80000e+00   
 1.39850e-06    1.80000e+00   
 1.49850e-06    1.80000e+00   
 1.59850e-06    1.80000e+00   
 1.69850e-06    1.80000e+00   
 1.79850e-06    1.80000e+00   
 1.89850e-06    1.80000e+00   
 1.99850e-06    1.80000e+00   
