
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/full_adc_bypass_890m_norm_debug2u/psf" ?result "tran") (V)

 9.85050e-08    2.39678e+00   
 1.98505e-07    1.57412e+00   
 2.98505e-07    1.59434e+00   
 3.98505e-07    2.42754e+00   
 4.98505e-07    7.85742e-01   
 5.98505e-07    3.13770e+00   
 6.98505e-07    2.17969e-01   
 7.98505e-07    3.53145e+00   
 8.98505e-07    2.28516e-02   
 9.98505e-07    3.51475e+00   
 1.09850e-06    2.47852e-01   
 1.19850e-06    3.09375e+00   
 1.29850e-06    8.41113e-01   
 1.39850e-06    2.36602e+00   
 1.49850e-06    1.66025e+00   
 1.59850e-06    1.50820e+00   
 1.69850e-06    2.50928e+00   
 1.79850e-06    7.15430e-01   
 1.89850e-06    3.19395e+00   
 1.99850e-06    1.79297e-01   
