
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/full_adc_bypass_debug2u/psf" ?result "tran") (V)

 9.85050e-08    2.54619e+00   
 1.98505e-07    1.67256e+00   
 2.98505e-07    1.69365e+00   
 3.98505e-07    2.57959e+00   
 4.98505e-07    8.34961e-01   
 5.98505e-07    3.33369e+00   
 6.98505e-07    2.31152e-01   
 7.98505e-07    3.59912e+00   
 8.98505e-07    2.46094e-02   
 9.98505e-07    3.59912e+00   
 1.09850e-06    2.63672e-01   
 1.19850e-06    3.28623e+00   
 1.29850e-06    8.93848e-01   
 1.39850e-06    2.51367e+00   
 1.49850e-06    1.76396e+00   
 1.59850e-06    1.60225e+00   
 1.69850e-06    2.66572e+00   
 1.79850e-06    7.60254e-01   
 1.89850e-06    3.39346e+00   
 1.99850e-06    1.90723e-01   
