
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/full_adc_bypass_debug2u_800m/psf" ?result "tran") (V)

 9.85050e-08    2.36953e+00   
 1.98505e-07    1.58467e+00   
 2.98505e-07    1.60400e+00   
 3.98505e-07    2.39941e+00   
 4.98505e-07    8.31445e-01   
 5.98505e-07    3.07705e+00   
 6.98505e-07    2.88281e-01   
 7.98505e-07    3.45322e+00   
 8.98505e-07    1.02832e-01   
 9.98505e-07    3.43740e+00   
 1.09850e-06    3.18164e-01   
 1.19850e-06    3.03486e+00   
 1.29850e-06    8.84180e-01   
 1.39850e-06    2.33965e+00   
 1.49850e-06    1.66641e+00   
 1.59850e-06    1.52139e+00   
 1.69850e-06    2.47676e+00   
 1.79850e-06    7.64648e-01   
 1.89850e-06    3.13066e+00   
 1.99850e-06    2.52246e-01   
