index,time_s,out_v,code
0,1.009850000000e-05,3.194820000000e+00,3635
1,1.019850000000e-05,6.820310000000e-01,776
2,1.029850000000e-05,2.572560000000e+00,2927
3,1.039850000000e-05,1.417680000000e+00,1613
4,1.049850000000e-05,1.768360000000e+00,2012
5,1.059850000000e-05,2.242970000000e+00,2552
6,1.069850000000e-05,9.711910000000e-01,1105
7,1.079850000000e-05,2.964550000000e+00,3373
8,1.089850000000e-05,3.700200000000e-01,421
9,1.099850000000e-05,3.410160000000e+00,3880
10,1.109850000000e-05,1.063480000000e-01,121
11,1.119850000000e-05,3.476070000000e+00,3955
12,1.129850000000e-05,2.425780000000e-01,276
13,1.139850000000e-05,3.145610000000e+00,3579
14,1.149850000000e-05,7.461910000000e-01,849
15,1.159850000000e-05,2.497850000000e+00,2842
16,1.169850000000e-05,1.499410000000e+00,1706
17,1.179850000000e-05,1.684860000000e+00,1917
18,1.189850000000e-05,2.322950000000e+00,2643
19,1.199850000000e-05,8.991210000000e-01,1023
20,1.209850000000e-05,3.023440000000e+00,3440
21,1.219850000000e-05,3.260740000000e-01,371
22,1.229850000000e-05,3.434770000000e+00,3908
23,1.239850000000e-05,1.019530000000e-01,116
24,1.249850000000e-05,3.460250000000e+00,3937
25,1.259850000000e-05,2.777340000000e-01,316
26,1.269850000000e-05,3.092870000000e+00,3519
27,1.279850000000e-05,8.129880000000e-01,925
28,1.289850000000e-05,2.420510000000e+00,2754
29,1.299850000000e-05,1.582030000000e+00,1800
30,1.309850000000e-05,1.602250000000e+00,1823
31,1.319850000000e-05,2.402050000000e+00,2733
32,1.329850000000e-05,8.296880000000e-01,944
33,1.339850000000e-05,3.079690000000e+00,3504
34,1.349850000000e-05,2.865230000000e-01,326
35,1.359850000000e-05,3.455860000000e+00,3932
36,1.369850000000e-05,1.010740000000e-01,115
37,1.379850000000e-05,3.440040000000e+00,3914
38,1.389850000000e-05,3.164060000000e-01,360
39,1.399850000000e-05,3.037500000000e+00,3456
40,1.409850000000e-05,8.824220000000e-01,1004
41,1.419850000000e-05,2.342290000000e+00,2665
42,1.429850000000e-05,1.664650000000e+00,1894
43,1.439850000000e-05,1.519630000000e+00,1729
44,1.449850000000e-05,2.479390000000e+00,2821
45,1.459850000000e-05,7.628910000000e-01,868
46,1.469850000000e-05,3.133300000000e+00,3565
47,1.479850000000e-05,2.504880000000e-01,285
48,1.489850000000e-05,3.472560000000e+00,3951
49,1.499850000000e-05,1.045900000000e-01,119
50,1.509850000000e-05,3.416310000000e+00,3887
51,1.519850000000e-05,3.585940000000e-01,408
52,1.529850000000e-05,2.978610000000e+00,3389
53,1.539850000000e-05,9.536130000000e-01,1085
54,1.549850000000e-05,2.263180000000e+00,2575
55,1.559850000000e-05,1.748140000000e+00,1989
56,1.569850000000e-05,1.437890000000e+00,1636
57,1.579850000000e-05,2.554980000000e+00,2907
58,1.589850000000e-05,6.978520000000e-01,794
59,1.599850000000e-05,3.183400000000e+00,3622
60,1.609850000000e-05,2.179690000000e-01,248
61,1.619850000000e-05,3.484860000000e+00,3965
62,1.629850000000e-05,1.125000000000e-01,128
63,1.639850000000e-05,3.389060000000e+00,3856
64,1.649850000000e-05,4.051760000000e-01,461
65,1.659850000000e-05,2.917090000000e+00,3319
66,1.669850000000e-05,1.027440000000e+00,1169
67,1.679850000000e-05,2.182320000000e+00,2483
68,1.689850000000e-05,1.831640000000e+00,2084
69,1.699850000000e-05,1.356150000000e+00,1543
70,1.709850000000e-05,2.628810000000e+00,2991
71,1.719850000000e-05,6.354490000000e-01,723
72,1.729850000000e-05,3.229980000000e+00,3675
73,1.739850000000e-05,1.898440000000e-01,216
74,1.749850000000e-05,3.493650000000e+00,3975
75,1.759850000000e-05,1.239260000000e-01,141
76,1.769850000000e-05,3.357420000000e+00,3820
77,1.779850000000e-05,4.543950000000e-01,517
78,1.789850000000e-05,2.852930000000e+00,3246
79,1.799850000000e-05,1.102150000000e+00,1254
80,1.809850000000e-05,2.100590000000e+00,2390
81,1.819850000000e-05,1.915140000000e+00,2179
82,1.829850000000e-05,1.276170000000e+00,1452
83,1.839850000000e-05,2.700000000000e+00,3072
84,1.849850000000e-05,5.765620000000e-01,656
85,1.859850000000e-05,3.273930000000e+00,3725
86,1.869850000000e-05,1.652340000000e-01,188
87,1.879850000000e-05,3.498050000000e+00,3980
88,1.889850000000e-05,1.397460000000e-01,159
89,1.899850000000e-05,3.322270000000e+00,3780
90,1.909850000000e-05,5.071290000000e-01,577
