bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-91.829702808
2,1.562500000000e+05,-100.792366763
3,2.343750000000e+05,-96.502777372
4,3.125000000000e+05,-95.650939896
5,3.906250000000e+05,-100.696209856
6,4.687500000000e+05,-95.970771913
7,5.468750000000e+05,-87.295379596
8,6.250000000000e+05,-99.294171980
9,7.031250000000e+05,-86.437161799
10,7.812500000000e+05,-85.578763807
11,8.593750000000e+05,-86.414961504
12,9.375000000000e+05,-89.733834383
13,1.015625000000e+06,-90.026914062
14,1.093750000000e+06,-98.742352602
15,1.171875000000e+06,-98.487553395
16,1.250000000000e+06,-87.647699828
17,1.328125000000e+06,-107.571397651
18,1.406250000000e+06,-91.480819847
19,1.484375000000e+06,-88.707630834
20,1.562500000000e+06,-92.933837710
21,1.640625000000e+06,-89.452914882
22,1.718750000000e+06,-92.427348281
23,1.796875000000e+06,-85.976256747
24,1.875000000000e+06,-97.587371394
25,1.953125000000e+06,-96.937080471
26,2.031250000000e+06,-93.175133852
27,2.109375000000e+06,-93.639920068
28,2.187500000000e+06,-83.988392263
29,2.265625000000e+06,-90.102875575
30,2.343750000000e+06,-90.133569200
31,2.421875000000e+06,-88.722994227
32,2.500000000000e+06,-101.849520421
33,2.578125000000e+06,-88.404389440
34,2.656250000000e+06,-103.519695974
35,2.734375000000e+06,-89.481431612
36,2.812500000000e+06,-97.123500966
37,2.890625000000e+06,-89.856978165
38,2.968750000000e+06,-86.870427355
39,3.046875000000e+06,-100.922695858
40,3.125000000000e+06,-104.830438025
41,3.203125000000e+06,-92.577316463
42,3.281250000000e+06,-100.549180996
43,3.359375000000e+06,-96.686582772
44,3.437500000000e+06,-94.865394421
45,3.515625000000e+06,-99.084142068
46,3.593750000000e+06,-96.524499501
47,3.671875000000e+06,-93.781108274
48,3.750000000000e+06,-96.183623672
49,3.828125000000e+06,-89.110356384
50,3.906250000000e+06,-97.551571792
51,3.984375000000e+06,-102.745861827
52,4.062500000000e+06,-106.912718424
53,4.140625000000e+06,-92.637758552
54,4.218750000000e+06,-104.898194339
55,4.296875000000e+06,-101.652247925
56,4.375000000000e+06,-93.381611073
57,4.453125000000e+06,-95.074809332
58,4.531250000000e+06,-91.738605201
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-93.800587379
61,4.765625000000e+06,-93.535359855
62,4.843750000000e+06,-98.371181687
63,4.921875000000e+06,-93.526630767
64,5.000000000000e+06,-101.849520421
