
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/full_adc_frame_cal_800m/psf" ?result "tran") (V)

 1.00985e-05    3.19482e+00   
 1.01985e-05    6.82031e-01   
 1.02985e-05    2.57256e+00   
 1.03985e-05    1.41768e+00   
 1.04985e-05    1.76836e+00   
 1.05985e-05    2.24297e+00   
 1.06985e-05    9.71191e-01   
 1.07985e-05    2.96455e+00   
 1.08985e-05    3.70020e-01   
 1.09985e-05    3.41016e+00   
 1.10985e-05    1.06348e-01   
 1.11985e-05    3.47607e+00   
 1.12985e-05    2.42578e-01   
 1.13985e-05    3.14561e+00   
 1.14985e-05    7.46191e-01   
 1.15985e-05    2.49785e+00   
 1.16985e-05    1.49941e+00   
 1.17985e-05    1.68486e+00   
 1.18985e-05    2.32295e+00   
 1.19985e-05    8.99121e-01   
 1.20985e-05    3.02344e+00   
 1.21985e-05    3.26074e-01   
 1.22985e-05    3.43477e+00   
 1.23985e-05    1.01953e-01   
 1.24985e-05    3.46025e+00   
 1.25985e-05    2.77734e-01   
 1.26985e-05    3.09287e+00   
 1.27985e-05    8.12988e-01   
 1.28985e-05    2.42051e+00   
 1.29985e-05    1.58203e+00   
 1.30985e-05    1.60225e+00   
 1.31985e-05    2.40205e+00   
 1.32985e-05    8.29688e-01   
 1.33985e-05    3.07969e+00   
 1.34985e-05    2.86523e-01   
 1.35985e-05    3.45586e+00   
 1.36985e-05    1.01074e-01   
 1.37985e-05    3.44004e+00   
 1.38985e-05    3.16406e-01   
 1.39985e-05    3.03750e+00   
 1.40985e-05    8.82422e-01   
 1.41985e-05    2.34229e+00   
 1.42985e-05    1.66465e+00   
 1.43985e-05    1.51963e+00   
 1.44985e-05    2.47939e+00   
 1.45985e-05    7.62891e-01   
 1.46985e-05    3.13330e+00   
 1.47985e-05    2.50488e-01   
 1.48985e-05    3.47256e+00   
 1.49985e-05    1.04590e-01   
 1.50985e-05    3.41631e+00   
 1.51985e-05    3.58594e-01   
 1.52985e-05    2.97861e+00   
 1.53985e-05    9.53613e-01   
 1.54985e-05    2.26318e+00   
 1.55985e-05    1.74814e+00   
 1.56985e-05    1.43789e+00   
 1.57985e-05    2.55498e+00   
 1.58985e-05    6.97852e-01   
 1.59985e-05    3.18340e+00   
 1.60985e-05    2.17969e-01   
 1.61985e-05    3.48486e+00   
 1.62985e-05    1.12500e-01   
 1.63985e-05    3.38906e+00   
 1.64985e-05    4.05176e-01   
 1.65985e-05    2.91709e+00   
 1.66985e-05    1.02744e+00   
 1.67985e-05    2.18232e+00   
 1.68985e-05    1.83164e+00   
 1.69985e-05    1.35615e+00   
 1.70985e-05    2.62881e+00   
 1.71985e-05    6.35449e-01   
 1.72985e-05    3.22998e+00   
 1.73985e-05    1.89844e-01   
 1.74985e-05    3.49365e+00   
 1.75985e-05    1.23926e-01   
 1.76985e-05    3.35742e+00   
 1.77985e-05    4.54395e-01   
 1.78985e-05    2.85293e+00   
 1.79985e-05    1.10215e+00   
 1.80985e-05    2.10059e+00   
 1.81985e-05    1.91514e+00   
 1.82985e-05    1.27617e+00   
 1.83985e-05    2.70000e+00   
 1.84985e-05    5.76562e-01   
 1.85985e-05    3.27393e+00   
 1.86985e-05    1.65234e-01   
 1.87985e-05    3.49805e+00   
 1.88985e-05    1.39746e-01   
 1.89985e-05    3.32227e+00   
 1.90985e-05    5.07129e-01   
 1.91985e-05    2.78613e+00   
 1.92985e-05    1.17861e+00   
 1.93985e-05    2.01797e+00   
 1.94985e-05    1.99775e+00   
 1.95985e-05    1.19795e+00   
 1.96985e-05    2.77031e+00   
 1.97985e-05    5.20312e-01   
 1.98985e-05    3.31348e+00   
 1.99985e-05    1.44141e-01   
 2.00985e-05    3.49893e+00   
 2.01985e-05    1.59961e-01   
 2.02985e-05    3.28359e+00   
 2.03985e-05    5.62500e-01   
 2.04985e-05    2.71758e+00   
 2.05985e-05    1.25684e+00   
 2.06985e-05    1.93447e+00   
 2.07985e-05    2.08037e+00   
 2.08985e-05    1.12061e+00   
 2.09985e-05    2.83711e+00   
 2.10985e-05    4.66699e-01   
 2.11985e-05    3.34951e+00   
 2.12985e-05    1.27441e-01   
 2.13985e-05    3.49541e+00   
 2.14985e-05    1.83691e-01   
 2.15985e-05    3.24053e+00   
 2.16985e-05    6.20508e-01   
 2.17985e-05    2.64639e+00   
 2.18985e-05    1.33682e+00   
 2.19985e-05    1.85186e+00   
 2.20985e-05    2.16211e+00   
 2.21985e-05    1.04502e+00   
 2.22985e-05    2.90215e+00   
 2.23985e-05    4.16602e-01   
 2.24985e-05    3.38203e+00   
 2.25985e-05    1.15137e-01   
 2.26985e-05    3.48750e+00   
 2.27985e-05    2.10938e-01   
