bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-83.891699157
2,1.562500000000e+05,-91.215984768
3,2.343750000000e+05,-87.159222540
4,3.125000000000e+05,-92.348956876
5,3.906250000000e+05,-86.632155812
6,4.687500000000e+05,-99.261785115
7,5.468750000000e+05,-98.884496072
8,6.250000000000e+05,-90.416541298
9,7.031250000000e+05,-97.923169001
10,7.812500000000e+05,-104.641719722
11,8.593750000000e+05,-80.504803697
12,9.375000000000e+05,-95.493817663
13,1.015625000000e+06,-89.057607198
14,1.093750000000e+06,-94.141454382
15,1.171875000000e+06,-97.085118254
16,1.250000000000e+06,-86.006514385
17,1.328125000000e+06,-87.433181277
18,1.406250000000e+06,-89.029249022
19,1.484375000000e+06,-89.517824972
20,1.562500000000e+06,-92.541553159
21,1.640625000000e+06,-88.831293376
22,1.718750000000e+06,-93.466587134
23,1.796875000000e+06,-82.145589379
24,1.875000000000e+06,-87.856263597
25,1.953125000000e+06,-94.449076746
26,2.031250000000e+06,-93.744890170
27,2.109375000000e+06,-88.076256332
28,2.187500000000e+06,-85.734146219
29,2.265625000000e+06,-79.158622362
30,2.343750000000e+06,-101.516073381
31,2.421875000000e+06,-81.946561397
32,2.500000000000e+06,-102.235962308
33,2.578125000000e+06,-82.134202433
34,2.656250000000e+06,-94.927698483
35,2.734375000000e+06,-82.695224263
36,2.812500000000e+06,-100.141139421
37,2.890625000000e+06,-87.452262349
38,2.968750000000e+06,-88.173040212
39,3.046875000000e+06,-71.446819011
40,3.125000000000e+06,-90.805855342
41,3.203125000000e+06,-87.617612095
42,3.281250000000e+06,-91.945782169
43,3.359375000000e+06,-89.816913607
44,3.437500000000e+06,-91.530567330
45,3.515625000000e+06,-88.628316564
46,3.593750000000e+06,-85.917551817
47,3.671875000000e+06,-93.324489680
48,3.750000000000e+06,-93.189111223
49,3.828125000000e+06,-76.595779445
50,3.906250000000e+06,-93.499240708
51,3.984375000000e+06,-89.605061328
52,4.062500000000e+06,-94.521079382
53,4.140625000000e+06,-84.080384794
54,4.218750000000e+06,-97.207043269
55,4.296875000000e+06,-87.864494745
56,4.375000000000e+06,-96.816623057
57,4.453125000000e+06,-78.891446590
58,4.531250000000e+06,-98.753261014
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-87.152796671
61,4.765625000000e+06,-81.778456096
62,4.843750000000e+06,-85.046147199
63,4.921875000000e+06,-83.855304940
64,5.000000000000e+06,-102.235962308
