index,time_s,out_v,code
0,1.009850000000e-05,3.257230000000e+00,3706
1,1.019850000000e-05,6.310550000000e-01,718
2,1.029850000000e-05,2.608590000000e+00,2968
3,1.039850000000e-05,1.399220000000e+00,1592
4,1.049850000000e-05,1.766600000000e+00,2010
5,1.059850000000e-05,2.263180000000e+00,2575
6,1.069850000000e-05,9.342770000000e-01,1063
7,1.079850000000e-05,3.016410000000e+00,3432
8,1.089850000000e-05,3.041020000000e-01,346
9,1.099850000000e-05,3.483110000000e+00,3963
10,1.109850000000e-05,2.812500000000e-02,32
11,1.119850000000e-05,3.551660000000e+00,4041
12,1.129850000000e-05,1.713870000000e-01,195
13,1.139850000000e-05,3.206250000000e+00,3648
14,1.149850000000e-05,6.987300000000e-01,795
15,1.159850000000e-05,2.529490000000e+00,2878
16,1.169850000000e-05,1.484470000000e+00,1689
17,1.179850000000e-05,1.679590000000e+00,1911
18,1.189850000000e-05,2.346680000000e+00,2670
19,1.199850000000e-05,8.586910000000e-01,977
20,1.209850000000e-05,3.077930000000e+00,3502
21,1.219850000000e-05,2.592770000000e-01,295
22,1.229850000000e-05,3.508590000000e+00,3992
23,1.239850000000e-05,2.285160000000e-02,26
24,1.249850000000e-05,3.535840000000e+00,4023
25,1.259850000000e-05,2.074220000000e-01,236
26,1.269850000000e-05,3.150880000000e+00,3585
27,1.279850000000e-05,7.681640000000e-01,874
28,1.289850000000e-05,2.449510000000e+00,2787
29,1.299850000000e-05,1.571480000000e+00,1788
30,1.309850000000e-05,1.592580000000e+00,1812
31,1.319850000000e-05,2.429300000000e+00,2764
32,1.329850000000e-05,7.857420000000e-01,894
33,1.339850000000e-05,3.136820000000e+00,3569
34,1.349850000000e-05,2.179690000000e-01,248
35,1.359850000000e-05,3.530570000000e+00,4017
36,1.369850000000e-05,2.285160000000e-02,26
37,1.379850000000e-05,3.514750000000e+00,3999
38,1.389850000000e-05,2.487300000000e-01,283
39,1.399850000000e-05,3.092870000000e+00,3519
40,1.409850000000e-05,8.411130000000e-01,957
41,1.419850000000e-05,2.367770000000e+00,2694
42,1.429850000000e-05,1.658500000000e+00,1887
43,1.439850000000e-05,1.505570000000e+00,1713
44,1.449850000000e-05,2.510160000000e+00,2856
45,1.459850000000e-05,7.154300000000e-01,814
46,1.469850000000e-05,3.193070000000e+00,3633
47,1.479850000000e-05,1.792970000000e-01,204
48,1.489850000000e-05,3.549020000000e+00,4038
49,1.499850000000e-05,2.636720000000e-02,30
50,1.509850000000e-05,3.490140000000e+00,3971
51,1.519850000000e-05,2.935550000000e-01,334
52,1.529850000000e-05,3.031350000000e+00,3449
53,1.539850000000e-05,9.158200000000e-01,1042
54,1.549850000000e-05,2.284280000000e+00,2599
55,1.559850000000e-05,1.745510000000e+00,1986
56,1.569850000000e-05,1.420310000000e+00,1616
57,1.579850000000e-05,2.590140000000e+00,2947
58,1.589850000000e-05,6.477540000000e-01,737
59,1.599850000000e-05,3.244920000000e+00,3692
60,1.609850000000e-05,1.458980000000e-01,166
61,1.619850000000e-05,3.562210000000e+00,4053
62,1.629850000000e-05,3.515620000000e-02,40
63,1.639850000000e-05,3.461130000000e+00,3938
64,1.649850000000e-05,3.418950000000e-01,389
65,1.659850000000e-05,2.968070000000e+00,3377
66,1.669850000000e-05,9.905270000000e-01,1127
67,1.679850000000e-05,2.199900000000e+00,2503
68,1.689850000000e-05,1.832520000000e+00,2085
69,1.699850000000e-05,1.335940000000e+00,1520
