bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-81.164529326
2,1.562500000000e+05,-96.383904071
3,2.343750000000e+05,-88.576825666
4,3.125000000000e+05,-96.903075939
5,3.906250000000e+05,-87.755120806
6,4.687500000000e+05,-97.818455224
7,5.468750000000e+05,-93.858331068
8,6.250000000000e+05,-99.225682814
9,7.031250000000e+05,-89.134406355
10,7.812500000000e+05,-101.320603486
11,8.593750000000e+05,-80.892205811
12,9.375000000000e+05,-104.558589646
13,1.015625000000e+06,-92.224315517
14,1.093750000000e+06,-110.410668346
15,1.171875000000e+06,-84.724574192
16,1.250000000000e+06,-6153.053111372
17,1.328125000000e+06,-88.581531655
18,1.406250000000e+06,-110.410668346
19,1.484375000000e+06,-87.670501639
20,1.562500000000e+06,-104.558589646
21,1.640625000000e+06,-94.308002055
22,1.718750000000e+06,-101.320603486
23,1.796875000000e+06,-82.399444717
24,1.875000000000e+06,-99.225682814
25,1.953125000000e+06,-94.805445819
26,2.031250000000e+06,-97.818455224
27,2.109375000000e+06,-87.355306900
28,2.187500000000e+06,-96.903075939
29,2.265625000000e+06,-79.314306352
30,2.343750000000e+06,-96.383904071
31,2.421875000000e+06,-83.665546742
32,2.500000000000e+06,-96.215382857
33,2.578125000000e+06,-80.773225247
34,2.656250000000e+06,-96.383904071
35,2.734375000000e+06,-80.257719790
36,2.812500000000e+06,-96.903075939
37,2.890625000000e+06,-84.233179425
38,2.968750000000e+06,-97.818455224
39,3.046875000000e+06,-70.606924719
40,3.125000000000e+06,-99.225682814
41,3.203125000000e+06,-90.461396299
42,3.281250000000e+06,-101.320603486
43,3.359375000000e+06,-84.485085627
44,3.437500000000e+06,-104.558589646
45,3.515625000000e+06,-95.273152556
46,3.593750000000e+06,-110.410668346
47,3.671875000000e+06,-85.872029328
48,3.750000000000e+06,-6153.053111372
49,3.828125000000e+06,-76.869872135
50,3.906250000000e+06,-110.410668346
51,3.984375000000e+06,-85.626156972
52,4.062500000000e+06,-104.558589646
53,4.140625000000e+06,-81.029259040
54,4.218750000000e+06,-101.320603486
55,4.296875000000e+06,-86.858800701
56,4.375000000000e+06,-99.225682814
57,4.453125000000e+06,-81.077814845
58,4.531250000000e+06,-97.818455224
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-96.903075939
61,4.765625000000e+06,-78.566074118
62,4.843750000000e+06,-96.383904071
63,4.921875000000e+06,-88.460612547
64,5.000000000000e+06,-96.215382857
