index,time_s,out_v,code
0,1.009850000000e-05,3.258110000000e+00,3707
1,1.019850000000e-05,6.301760000000e-01,717
2,1.029850000000e-05,2.607710000000e+00,2967
3,1.039850000000e-05,1.400100000000e+00,1593
4,1.049850000000e-05,1.766600000000e+00,2010
5,1.059850000000e-05,2.263180000000e+00,2575
6,1.069850000000e-05,9.333980000000e-01,1062
7,1.079850000000e-05,3.017290000000e+00,3433
8,1.089850000000e-05,3.041020000000e-01,346
9,1.099850000000e-05,3.483110000000e+00,3963
10,1.109850000000e-05,2.812500000000e-02,32
11,1.119850000000e-05,3.551660000000e+00,4041
12,1.129850000000e-05,1.713870000000e-01,195
13,1.139850000000e-05,3.206250000000e+00,3648
14,1.149850000000e-05,6.987300000000e-01,795
15,1.159850000000e-05,2.528610000000e+00,2877
16,1.169850000000e-05,1.485350000000e+00,1690
17,1.179850000000e-05,1.679590000000e+00,1911
18,1.189850000000e-05,2.346680000000e+00,2670
19,1.199850000000e-05,8.578120000000e-01,976
20,1.209850000000e-05,3.078810000000e+00,3503
21,1.219850000000e-05,2.583980000000e-01,294
22,1.229850000000e-05,3.509470000000e+00,3993
23,1.239850000000e-05,2.285160000000e-02,26
24,1.249850000000e-05,3.536720000000e+00,4024
25,1.259850000000e-05,2.074220000000e-01,236
26,1.269850000000e-05,3.150880000000e+00,3585
27,1.279850000000e-05,7.681640000000e-01,874
28,1.289850000000e-05,2.448630000000e+00,2786
29,1.299850000000e-05,1.570610000000e+00,1787
30,1.309850000000e-05,1.592580000000e+00,1812
31,1.319850000000e-05,2.429300000000e+00,2764
32,1.329850000000e-05,7.848630000000e-01,893
33,1.339850000000e-05,3.136820000000e+00,3569
34,1.349850000000e-05,2.170900000000e-01,247
35,1.359850000000e-05,3.530570000000e+00,4017
36,1.369850000000e-05,2.285160000000e-02,26
37,1.379850000000e-05,3.514750000000e+00,3999
38,1.389850000000e-05,2.487300000000e-01,283
39,1.399850000000e-05,3.093750000000e+00,3520
40,1.409850000000e-05,8.402340000000e-01,956
41,1.419850000000e-05,2.366890000000e+00,2693
42,1.429850000000e-05,1.658500000000e+00,1887
43,1.439850000000e-05,1.505570000000e+00,1713
44,1.449850000000e-05,2.510160000000e+00,2856
45,1.459850000000e-05,7.145510000000e-01,813
46,1.469850000000e-05,3.193070000000e+00,3633
47,1.479850000000e-05,1.792970000000e-01,204
48,1.489850000000e-05,3.549020000000e+00,4038
49,1.499850000000e-05,2.636720000000e-02,30
50,1.509850000000e-05,3.490140000000e+00,3971
51,1.519850000000e-05,2.926760000000e-01,333
52,1.529850000000e-05,3.032230000000e+00,3450
53,1.539850000000e-05,9.149410000000e-01,1041
54,1.549850000000e-05,2.283400000000e+00,2598
55,1.559850000000e-05,1.745510000000e+00,1986
56,1.569850000000e-05,1.420310000000e+00,1616
57,1.579850000000e-05,2.588380000000e+00,2945
58,1.589850000000e-05,6.468750000000e-01,736
59,1.599850000000e-05,3.245800000000e+00,3693
60,1.609850000000e-05,1.458980000000e-01,166
61,1.619850000000e-05,3.562210000000e+00,4053
62,1.629850000000e-05,3.427730000000e-02,39
63,1.639850000000e-05,3.461130000000e+00,3938
64,1.649850000000e-05,3.410160000000e-01,388
65,1.659850000000e-05,2.968950000000e+00,3378
66,1.669850000000e-05,9.905270000000e-01,1127
67,1.679850000000e-05,2.199020000000e+00,2502
68,1.689850000000e-05,1.832520000000e+00,2085
69,1.699850000000e-05,1.335940000000e+00,1520
70,1.709850000000e-05,2.665720000000e+00,3033
71,1.719850000000e-05,5.818360000000e-01,662
72,1.729850000000e-05,3.294140000000e+00,3748
73,1.739850000000e-05,1.168950000000e-01,133
74,1.749850000000e-05,3.570120000000e+00,4062
75,1.759850000000e-05,4.746090000000e-02,54
76,1.769850000000e-05,3.427730000000e+00,3900
77,1.779850000000e-05,3.928710000000e-01,447
78,1.789850000000e-05,2.900390000000e+00,3300
79,1.799850000000e-05,1.070510000000e+00,1218
80,1.809850000000e-05,2.112890000000e+00,2404
81,1.819850000000e-05,1.919530000000e+00,2184
82,1.829850000000e-05,1.252440000000e+00,1425
83,1.839850000000e-05,2.740430000000e+00,3118
84,1.849850000000e-05,5.203130000000e-01,592
85,1.859850000000e-05,3.340720000000e+00,3801
86,1.869850000000e-05,8.964840000000e-02,102
87,1.879850000000e-05,3.576270000000e+00,4069
88,1.889850000000e-05,6.328120000000e-02,72
89,1.899850000000e-05,3.390820000000e+00,3858
90,1.909850000000e-05,4.482420000000e-01,510
91,1.919850000000e-05,2.830960000000e+00,3221
92,1.929850000000e-05,1.150490000000e+00,1309
93,1.939850000000e-05,2.027640000000e+00,2307
94,1.949850000000e-05,2.006540000000e+00,2283
95,1.959850000000e-05,1.169820000000e+00,1331
96,1.969850000000e-05,2.814260000000e+00,3202
97,1.979850000000e-05,4.623050000000e-01,526
98,1.989850000000e-05,3.382030000000e+00,3848
99,1.999850000000e-05,6.767580000000e-02,77
100,2.009850000000e-05,3.576270000000e+00,4069
101,2.019850000000e-05,8.437500000000e-02,96
102,2.029850000000e-05,3.350390000000e+00,3812
103,2.039850000000e-05,5.053710000000e-01,575
104,2.049850000000e-05,2.759770000000e+00,3140
105,2.059850000000e-05,1.232230000000e+00,1402
106,2.069850000000e-05,1.940630000000e+00,2208
107,2.079850000000e-05,2.093550000000e+00,2382
108,2.089850000000e-05,1.088960000000e+00,1239
109,2.099850000000e-05,2.884570000000e+00,3282
110,2.109850000000e-05,4.060550000000e-01,462
111,2.119850000000e-05,3.419820000000e+00,3891
112,2.129850000000e-05,5.009770000000e-02,57
113,2.139850000000e-05,3.572750000000e+00,4065
114,2.149850000000e-05,1.089840000000e-01,124
115,2.159850000000e-05,3.305570000000e+00,3761
116,2.169850000000e-05,5.660160000000e-01,644
117,2.179850000000e-05,2.684180000000e+00,3054
118,2.189850000000e-05,1.316600000000e+00,1498
119,2.199850000000e-05,1.853610000000e+00,2109
120,2.209850000000e-05,2.178810000000e+00,2479
121,2.219850000000e-05,1.009860000000e+00,1149
122,2.229850000000e-05,2.952250000000e+00,3359
123,2.239850000000e-05,3.533200000000e-01,402
124,2.249850000000e-05,3.453220000000e+00,3929
125,2.259850000000e-05,3.691410000000e-02,42
126,2.269850000000e-05,3.564840000000e+00,4056
127,2.279850000000e-05,1.379880000000e-01,157
