bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-84.656982680
2,1.562500000000e+05,-95.835183259
3,2.343750000000e+05,-87.892771210
4,3.125000000000e+05,-98.470593473
5,3.906250000000e+05,-94.103421230
6,4.687500000000e+05,-93.736253478
7,5.468750000000e+05,-101.085758747
8,6.250000000000e+05,-90.753615217
9,7.031250000000e+05,-85.109882206
10,7.812500000000e+05,-104.815590846
11,8.593750000000e+05,-81.894919321
12,9.375000000000e+05,-96.773918661
13,1.015625000000e+06,-107.754737102
14,1.093750000000e+06,-96.515739418
15,1.171875000000e+06,-93.739124006
16,1.250000000000e+06,-86.677945535
17,1.328125000000e+06,-89.214339559
18,1.406250000000e+06,-88.173252205
19,1.484375000000e+06,-86.759471737
20,1.562500000000e+06,-96.993800116
21,1.640625000000e+06,-85.719426928
22,1.718750000000e+06,-96.528761400
23,1.796875000000e+06,-88.954606939
24,1.875000000000e+06,-89.383384765
25,1.953125000000e+06,-95.244353691
26,2.031250000000e+06,-91.874446631
27,2.109375000000e+06,-92.197262159
28,2.187500000000e+06,-85.372599141
29,2.265625000000e+06,-83.376823132
30,2.343750000000e+06,-99.303950165
31,2.421875000000e+06,-79.825326242
32,2.500000000000e+06,-102.237417857
33,2.578125000000e+06,-103.674872007
34,2.656250000000e+06,-94.554858111
35,2.734375000000e+06,-85.367516356
36,2.812500000000e+06,-109.371479422
37,2.890625000000e+06,-80.622389242
38,2.968750000000e+06,-88.342924770
39,3.046875000000e+06,-80.058562307
40,3.125000000000e+06,-87.636113511
41,3.203125000000e+06,-93.529968128
42,3.281250000000e+06,-88.007242009
43,3.359375000000e+06,-96.265826436
44,3.437500000000e+06,-88.183117699
45,3.515625000000e+06,-81.330184673
46,3.593750000000e+06,-87.078950323
47,3.671875000000e+06,-84.856693105
48,3.750000000000e+06,-99.163661579
49,3.828125000000e+06,-79.449386665
50,3.906250000000e+06,-95.851991541
51,3.984375000000e+06,-82.557190508
52,4.062500000000e+06,-93.534750825
53,4.140625000000e+06,-81.011808901
54,4.218750000000e+06,-98.199169229
55,4.296875000000e+06,-103.380703059
56,4.375000000000e+06,-94.614329776
57,4.453125000000e+06,-88.732034838
58,4.531250000000e+06,-94.749107659
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-85.693004451
61,4.765625000000e+06,-83.631608650
62,4.843750000000e+06,-85.420025702
63,4.921875000000e+06,-78.777293690
64,5.000000000000e+06,-92.694992763
