bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-81.052725431
2,1.562500000000e+05,-96.385863659
3,2.343750000000e+05,-98.279877591
4,3.125000000000e+05,-96.905035527
5,3.906250000000e+05,-95.308872019
6,4.687500000000e+05,-97.820414812
7,5.468750000000e+05,-91.142423401
8,6.250000000000e+05,-99.227642402
9,7.031250000000e+05,-81.558131682
10,7.812500000000e+05,-101.322563074
11,8.593750000000e+05,-90.684008178
12,9.375000000000e+05,-104.560549234
13,1.015625000000e+06,-87.018824364
14,1.093750000000e+06,-110.412627934
15,1.171875000000e+06,-80.934208608
16,1.250000000000e+06,-6153.053111372
17,1.328125000000e+06,-91.080828212
18,1.406250000000e+06,-110.412627934
19,1.484375000000e+06,-87.916183793
20,1.562500000000e+06,-104.560549234
21,1.640625000000e+06,-92.903900092
22,1.718750000000e+06,-101.322563074
23,1.796875000000e+06,-83.091237750
24,1.875000000000e+06,-99.227642402
25,1.953125000000e+06,-89.566383393
26,2.031250000000e+06,-97.820414812
27,2.109375000000e+06,-83.770616476
28,2.187500000000e+06,-96.905035527
29,2.265625000000e+06,-75.845782938
30,2.343750000000e+06,-96.385863659
31,2.421875000000e+06,-82.702002217
32,2.500000000000e+06,-96.217342445
33,2.578125000000e+06,-90.863141514
34,2.656250000000e+06,-96.385863659
35,2.734375000000e+06,-87.522995506
36,2.812500000000e+06,-96.905035527
37,2.890625000000e+06,-89.327471508
38,2.968750000000e+06,-97.820414812
39,3.046875000000e+06,-84.884736052
40,3.125000000000e+06,-99.227642402
41,3.203125000000e+06,-83.198391678
42,3.281250000000e+06,-101.322563074
43,3.359375000000e+06,-88.786818586
44,3.437500000000e+06,-104.560549234
45,3.515625000000e+06,-93.033105316
46,3.593750000000e+06,-110.412627934
47,3.671875000000e+06,-88.956789318
48,3.750000000000e+06,-6153.053111372
49,3.828125000000e+06,-80.580018447
50,3.906250000000e+06,-110.412627934
51,3.984375000000e+06,-90.157854854
52,4.062500000000e+06,-104.560549234
53,4.140625000000e+06,-82.744544776
54,4.218750000000e+06,-101.322563074
55,4.296875000000e+06,-88.175070020
56,4.375000000000e+06,-99.227642402
57,4.453125000000e+06,-101.980416263
58,4.531250000000e+06,-97.820414812
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-96.905035527
61,4.765625000000e+06,-83.609441367
62,4.843750000000e+06,-96.385863659
63,4.921875000000e+06,-87.005484882
64,5.000000000000e+06,-96.217342445
