index,time_s,out_v,code
0,1.298510000000e-06,8.806640000000e-01,1002
1,1.398510000000e-06,2.343160000000e+00,2666
2,1.498510000000e-06,1.664650000000e+00,1894
3,1.598500000000e-06,1.518750000000e+00,1728
4,1.698510000000e-06,2.480270000000e+00,2822
5,1.798510000000e-06,7.611330000000e-01,866
6,1.898510000000e-06,3.135060000000e+00,3567
7,1.998500000000e-06,2.487300000000e-01,283
8,2.098500000000e-06,3.474320000000e+00,3953
9,2.198510000000e-06,1.028320000000e-01,117
10,2.298510000000e-06,3.418950000000e+00,3890
11,2.398510000000e-06,3.568360000000e-01,406
12,2.498510000000e-06,2.980370000000e+00,3391
13,2.598510000000e-06,9.527340000000e-01,1084
14,2.698510000000e-06,2.263180000000e+00,2575
15,2.798500000000e-06,1.748140000000e+00,1989
16,2.898500000000e-06,1.437010000000e+00,1635
17,2.998500000000e-06,2.555860000000e+00,2908
18,3.098500000000e-06,6.960940000000e-01,792
19,3.198510000000e-06,3.185160000000e+00,3624
20,3.298510000000e-06,2.162110000000e-01,246
21,3.398510000000e-06,3.487500000000e+00,3968
22,3.498500000000e-06,1.098630000000e-01,125
23,3.598500000000e-06,3.390820000000e+00,3858
24,3.698500000000e-06,4.034180000000e-01,459
25,3.798500000000e-06,2.918850000000e+00,3321
26,3.898500000000e-06,1.025680000000e+00,1167
27,3.998510000000e-06,2.182320000000e+00,2483
28,4.098510000000e-06,1.831640000000e+00,2084
29,4.198510000000e-06,1.356150000000e+00,1543
30,4.298500000000e-06,2.629690000000e+00,2992
31,4.398500000000e-06,6.336910000000e-01,721
32,4.498500000000e-06,3.231740000000e+00,3677
33,4.598500000000e-06,1.872070000000e-01,213
34,4.698500000000e-06,3.496290000000e+00,3978
35,4.798510000000e-06,1.221680000000e-01,139
36,4.898510000000e-06,3.359180000000e+00,3822
37,4.998510000000e-06,4.526370000000e-01,515
38,5.098500000000e-06,2.854690000000e+00,3248
39,5.198500000000e-06,1.101270000000e+00,1253
