bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-85.075888984
2,1.562500000000e+05,-96.699582917
3,2.343750000000e+05,-100.742874337
4,3.125000000000e+05,-97.994086529
5,3.906250000000e+05,-87.984572572
6,4.687500000000e+05,-92.440167739
7,5.468750000000e+05,-90.902661811
8,6.250000000000e+05,-95.752098133
9,7.031250000000e+05,-93.374009924
10,7.812500000000e+05,-99.693526590
11,8.593750000000e+05,-91.525800394
12,9.375000000000e+05,-92.809374562
13,1.015625000000e+06,-89.338448059
14,1.093750000000e+06,-95.111882601
15,1.171875000000e+06,-90.457627183
16,1.250000000000e+06,-101.861245389
17,1.328125000000e+06,-90.111864013
18,1.406250000000e+06,-93.442625974
19,1.484375000000e+06,-94.017997311
20,1.562500000000e+06,-94.755694272
21,1.640625000000e+06,-85.108123601
22,1.718750000000e+06,-104.465415137
23,1.796875000000e+06,-89.082103904
24,1.875000000000e+06,-94.369197532
25,1.953125000000e+06,-89.967547763
26,2.031250000000e+06,-94.674323886
27,2.109375000000e+06,-89.545940597
28,2.187500000000e+06,-106.905415508
29,2.265625000000e+06,-87.756862493
30,2.343750000000e+06,-95.634433105
31,2.421875000000e+06,-95.019523833
32,2.500000000000e+06,-94.871545346
33,2.578125000000e+06,-83.235658686
34,2.656250000000e+06,-107.471768386
35,2.734375000000e+06,-90.172182911
36,2.812500000000e+06,-97.299795027
37,2.890625000000e+06,-86.943780794
38,2.968750000000e+06,-95.364758560
39,3.046875000000e+06,-88.658845005
40,3.125000000000e+06,-105.985549162
41,3.203125000000e+06,-90.439310709
42,3.281250000000e+06,-99.417315306
43,3.359375000000e+06,-86.829019977
44,3.437500000000e+06,-96.187153926
45,3.515625000000e+06,-95.964145522
46,3.593750000000e+06,-104.206798003
47,3.671875000000e+06,-85.909199700
48,3.750000000000e+06,-101.861245389
49,3.828125000000e+06,-97.083552587
50,3.906250000000e+06,-97.389796432
51,3.984375000000e+06,-86.038418298
52,4.062500000000e+06,-102.886603238
53,4.140625000000e+06,-100.012807161
54,4.218750000000e+06,-103.684369134
55,4.296875000000e+06,-104.737024614
56,4.375000000000e+06,-99.033647514
57,4.453125000000e+06,-97.679349082
58,4.531250000000e+06,-102.113785192
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-103.196266961
61,4.765625000000e+06,-93.105772065
62,4.843750000000e+06,-101.116529086
63,4.921875000000e+06,-87.414655594
64,5.000000000000e+06,-101.861245389
