index,time_s,out_v,code
0,1.298510000000e-06,8.833010000000e-01,1005
1,1.398510000000e-06,2.341410000000e+00,2664
2,1.498510000000e-06,1.663770000000e+00,1893
3,1.598500000000e-06,1.519630000000e+00,1729
4,1.698510000000e-06,2.477640000000e+00,2819
5,1.798510000000e-06,7.637700000000e-01,869
6,1.898510000000e-06,3.130660000000e+00,3562
7,1.998500000000e-06,2.522460000000e-01,287
8,2.098500000000e-06,3.469040000000e+00,3947
9,2.198510000000e-06,1.072270000000e-01,122
10,2.298510000000e-06,3.413670000000e+00,3884
11,2.398510000000e-06,3.612300000000e-01,411
12,2.498510000000e-06,2.975980000000e+00,3386
13,2.598510000000e-06,9.544920000000e-01,1086
14,2.698510000000e-06,2.261430000000e+00,2573
15,2.798500000000e-06,1.748140000000e+00,1989
16,2.898500000000e-06,1.437890000000e+00,1636
17,2.998500000000e-06,2.552340000000e+00,2904
18,3.098500000000e-06,6.987300000000e-01,795
19,3.198510000000e-06,3.180760000000e+00,3619
20,3.298510000000e-06,2.206050000000e-01,251
21,3.398510000000e-06,3.482230000000e+00,3962
22,3.498500000000e-06,1.151370000000e-01,131
23,3.598500000000e-06,3.385550000000e+00,3852
24,3.698500000000e-06,4.069340000000e-01,463
25,3.798500000000e-06,2.915330000000e+00,3317
26,3.898500000000e-06,1.028320000000e+00,1170
27,3.998510000000e-06,2.180570000000e+00,2481
28,4.098510000000e-06,1.830760000000e+00,2083
29,4.198510000000e-06,1.357030000000e+00,1544
30,4.298500000000e-06,2.627050000000e+00,2989
31,4.398500000000e-06,6.380860000000e-01,726
32,4.498500000000e-06,3.227340000000e+00,3672
33,4.598500000000e-06,1.924800000000e-01,219
34,4.698500000000e-06,3.490140000000e+00,3971
35,4.798510000000e-06,1.265620000000e-01,144
36,4.898510000000e-06,3.354790000000e+00,3817
37,4.998510000000e-06,4.552730000000e-01,518
38,5.098500000000e-06,2.851170000000e+00,3244
39,5.198500000000e-06,1.103910000000e+00,1256
40,5.298500000000e-06,2.099710000000e+00,2389
41,5.398500000000e-06,1.915140000000e+00,2179
42,5.498500000000e-06,1.277050000000e+00,1453
43,5.598500000000e-06,2.699120000000e+00,3071
44,5.698510000000e-06,5.783200000000e-01,658
45,5.798500000000e-06,3.271290000000e+00,3722
46,5.898500000000e-06,1.678710000000e-01,191
47,5.998500000000e-06,3.495410000000e+00,3977
48,6.098500000000e-06,1.423830000000e-01,162
49,6.198500000000e-06,3.319630000000e+00,3777
50,6.298500000000e-06,5.080080000000e-01,578
51,6.398500000000e-06,2.784380000000e+00,3168
52,6.498500000000e-06,1.179490000000e+00,1342
53,6.598500000000e-06,2.017970000000e+00,2296
54,6.698500000000e-06,1.997750000000e+00,2273
55,6.798500000000e-06,1.197950000000e+00,1363
56,6.898500000000e-06,2.768550000000e+00,3150
57,6.998500000000e-06,5.211910000000e-01,593
