bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-100.884915688
2,1.562500000000e+05,-6153.053111372
3,2.343750000000e+05,-90.072451877
4,3.125000000000e+05,-6153.053111372
5,3.906250000000e+05,-93.241563108
6,4.687500000000e+05,-6153.053111372
7,5.468750000000e+05,-87.551100859
8,6.250000000000e+05,-6153.053111372
9,7.031250000000e+05,-78.438008055
10,7.812500000000e+05,-6153.053111372
11,8.593750000000e+05,-81.654110950
12,9.375000000000e+05,-6153.053111372
13,1.015625000000e+06,-89.538214488
14,1.093750000000e+06,-6153.053111372
15,1.171875000000e+06,-83.517276965
16,1.250000000000e+06,-6153.053111372
17,1.328125000000e+06,-85.953360545
18,1.406250000000e+06,-6153.053111372
19,1.484375000000e+06,-76.838769343
20,1.562500000000e+06,-6153.053111372
21,1.640625000000e+06,-81.746353893
22,1.718750000000e+06,-6153.053111372
23,1.796875000000e+06,-100.459798729
24,1.875000000000e+06,-6153.053111372
25,1.953125000000e+06,-91.496823198
26,2.031250000000e+06,-6153.053111372
27,2.109375000000e+06,-89.889937512
28,2.187500000000e+06,-6153.053111372
29,2.265625000000e+06,-80.167447722
30,2.343750000000e+06,-6153.053111372
31,2.421875000000e+06,-93.216623378
32,2.500000000000e+06,-6153.053111372
33,2.578125000000e+06,-90.166017771
34,2.656250000000e+06,-6153.053111372
35,2.734375000000e+06,-93.393161538
36,2.812500000000e+06,-6153.053111372
37,2.890625000000e+06,-86.398046103
38,2.968750000000e+06,-6153.053111372
39,3.046875000000e+06,-78.823749580
40,3.125000000000e+06,-6153.053111372
41,3.203125000000e+06,-89.945247482
42,3.281250000000e+06,-6153.053111372
43,3.359375000000e+06,-90.559924126
44,3.437500000000e+06,-6153.053111372
45,3.515625000000e+06,-83.088733086
46,3.593750000000e+06,-6153.053111372
47,3.671875000000e+06,-87.160306178
48,3.750000000000e+06,-6153.053111372
49,3.828125000000e+06,-85.656082082
50,3.906250000000e+06,-6153.053111372
51,3.984375000000e+06,-91.170364817
52,4.062500000000e+06,-6153.053111372
53,4.140625000000e+06,-94.705510182
54,4.218750000000e+06,-6153.053111372
55,4.296875000000e+06,-91.851161149
56,4.375000000000e+06,-6153.053111372
57,4.453125000000e+06,-85.520012231
58,4.531250000000e+06,-6153.053111372
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-6153.053111372
61,4.765625000000e+06,-95.925279517
62,4.843750000000e+06,-6153.053111372
63,4.921875000000e+06,-87.184722696
64,5.000000000000e+06,-6153.053111372
