bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-83.859676908
2,1.562500000000e+05,-98.944752469
3,2.343750000000e+05,-89.102951368
4,3.125000000000e+05,-102.823082646
5,3.906250000000e+05,-86.748554392
6,4.687500000000e+05,-111.461763514
7,5.468750000000e+05,-91.702071440
8,6.250000000000e+05,-94.305676940
9,7.031250000000e+05,-81.167728440
10,7.812500000000e+05,-93.537929865
11,8.593750000000e+05,-89.833799765
12,9.375000000000e+05,-106.841894916
13,1.015625000000e+06,-101.934513324
14,1.093750000000e+06,-99.208647526
15,1.171875000000e+06,-103.390609742
16,1.250000000000e+06,-101.797724797
17,1.328125000000e+06,-103.106129650
18,1.406250000000e+06,-93.142792101
19,1.484375000000e+06,-84.698731310
20,1.562500000000e+06,-97.930565937
21,1.640625000000e+06,-84.823589604
22,1.718750000000e+06,-98.378320116
23,1.796875000000e+06,-92.226687131
24,1.875000000000e+06,-98.970126922
25,1.953125000000e+06,-93.125726589
26,2.031250000000e+06,-97.204211254
27,2.109375000000e+06,-85.593471164
28,2.187500000000e+06,-94.692173680
29,2.265625000000e+06,-92.812820876
30,2.343750000000e+06,-101.480602557
31,2.421875000000e+06,-97.629542210
32,2.500000000000e+06,-94.808024754
33,2.578125000000e+06,-81.678463679
34,2.656250000000e+06,-100.903161179
35,2.734375000000e+06,-92.508612731
36,2.812500000000e+06,-96.123633334
37,2.890625000000e+06,-95.300120873
38,2.968750000000e+06,-99.785012829
39,3.046875000000e+06,-83.817942148
40,3.125000000000e+06,-95.688577541
41,3.203125000000e+06,-85.577457868
42,3.281250000000e+06,-94.527866359
43,3.359375000000e+06,-85.593461086
44,3.437500000000e+06,-103.132746369
45,3.515625000000e+06,-104.243002561
46,3.593750000000e+06,-98.070547226
47,3.671875000000e+06,-94.895936857
48,3.750000000000e+06,-101.797724797
49,3.828125000000e+06,-80.549355516
50,3.906250000000e+06,-92.832248698
51,3.984375000000e+06,-86.665885997
52,4.062500000000e+06,-97.236274435
53,4.140625000000e+06,-89.409402207
54,4.218750000000e+06,-102.595427133
55,4.296875000000e+06,-90.531776534
56,4.375000000000e+06,-105.922028571
57,4.453125000000e+06,-90.432143547
58,4.531250000000e+06,-95.401641464
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-92.745853970
61,4.765625000000e+06,-89.540118074
62,4.843750000000e+06,-106.050037696
63,4.921875000000e+06,-91.077392636
64,5.000000000000e+06,-101.797724797
