index,time_s,code,raw_sum_q
0,1.298510000000e-06,1009,72208
1,1.398510000000e-06,2661,177954
2,1.498510000000e-06,1895,128882
3,1.598500000000e-06,1730,118324
4,1.698510000000e-06,2816,187874
5,1.798510000000e-06,874,63566
6,1.898510000000e-06,3556,235200
7,1.998500000000e-06,294,26438
8,2.098500000000e-06,3940,259782
9,2.198510000000e-06,129,15878
10,2.298510000000e-06,3877,255750
11,2.398510000000e-06,417,34312
12,2.498510000000e-06,3382,224062
13,2.598510000000e-06,1090,77354
14,2.698510000000e-06,2571,172194
15,2.798500000000e-06,1989,134900
16,2.898500000000e-06,1638,112434
17,2.998500000000e-06,2902,193378
18,3.098500000000e-06,800,58830
19,3.198510000000e-06,3613,238854
20,3.298510000000e-06,258,24136
21,3.398510000000e-06,3955,260742
22,3.498500000000e-06,137,16392
23,3.598500000000e-06,3846,253766
24,3.698500000000e-06,469,37640
25,3.798500000000e-06,3312,219584
26,3.898500000000e-06,1173,82668
27,3.998510000000e-06,2479,166300
28,4.098510000000e-06,2083,140954
29,4.198510000000e-06,1546,106546
30,4.298500000000e-06,2985,198692
31,4.398500000000e-06,730,54352
32,4.498500000000e-06,3666,242246
33,4.598500000000e-06,225,22024
34,4.698500000000e-06,3964,261320
35,4.798510000000e-06,151,17288
36,4.898510000000e-06,3810,251464
37,4.998510000000e-06,524,41166
38,5.098500000000e-06,3239,214912
39,5.198500000000e-06,1258,88108
40,5.298500000000e-06,2387,160410
41,5.398500000000e-06,2177,146972
42,5.498500000000e-06,1455,100716
43,5.598500000000e-06,3067,203882
44,5.698510000000e-06,663,50064
45,5.798500000000e-06,3715,245384
46,5.898500000000e-06,197,20232
47,5.998500000000e-06,3970,261704
48,6.098500000000e-06,169,18440
49,6.198500000000e-06,3770,248904
50,6.298500000000e-06,584,45006
51,6.398500000000e-06,3164,210110
52,6.498500000000e-06,1345,93674
53,6.598500000000e-06,2294,154460
54,6.698500000000e-06,2271,152988
55,6.798500000000e-06,1366,95018
56,6.898500000000e-06,3145,208894
57,6.998500000000e-06,599,45966
58,7.098500000000e-06,3760,248264
59,7.198500000000e-06,174,18760
60,7.298510000000e-06,3970,261704
61,7.398500000000e-06,191,19848
62,7.498500000000e-06,3726,246088
63,7.598500000000e-06,647,49040
64,7.698500000000e-06,3086,205118
65,7.798510000000e-06,1434,99372
66,7.898500000000e-06,2200,148444
67,7.998510000000e-06,2365,159002
68,8.098500000000e-06,1279,89452
69,8.198500000000e-06,3221,213760
70,8.298510000000e-06,539,42126
71,8.398500000000e-06,3801,250888
72,8.498510000000e-06,155,17544
73,8.598500000000e-06,3966,261448
74,8.698510000000e-06,218,21576
75,8.798500000000e-06,3678,243014
76,8.898500000000e-06,713,53264
77,8.998500000000e-06,3005,199972
78,9.098500000000e-06,1524,105132
79,9.198500000000e-06,2106,142426
80,9.298500000000e-06,2457,164892
81,9.398510000000e-06,1193,83948
82,9.498500000000e-06,3295,218496
83,9.598510000000e-06,482,38472
84,9.698500000000e-06,3837,253190
85,9.798500000000e-06,140,16584
86,9.898500000000e-06,3958,260934
87,9.998500000000e-06,249,23560
88,1.009850000000e-05,3626,239686
89,1.019850000000e-05,783,57742
90,1.029850000000e-05,2922,194658
91,1.039850000000e-05,1615,110962
92,1.049850000000e-05,2012,136372
93,1.059850000000e-05,2549,170780
94,1.069850000000e-05,1110,78634
95,1.079850000000e-05,3365,222974
96,1.089850000000e-05,429,35080
97,1.099850000000e-05,3870,255302
98,1.109850000000e-05,131,16006
99,1.119850000000e-05,3944,260038
100,1.129850000000e-05,285,25862
101,1.139850000000e-05,3571,236160
102,1.149850000000e-05,856,62414
103,1.159850000000e-05,2837,189218
104,1.169850000000e-05,1708,116916
105,1.179850000000e-05,1918,130354
106,1.189850000000e-05,2639,176546
107,1.199850000000e-05,1028,73444
108,1.209850000000e-05,3432,227262
109,1.219850000000e-05,380,31942
110,1.229850000000e-05,3898,257094
111,1.239850000000e-05,125,15622
112,1.249850000000e-05,3926,258886
113,1.259850000000e-05,325,28422
114,1.269850000000e-05,3511,232320
115,1.279850000000e-05,931,67216
116,1.289850000000e-05,2750,183652
117,1.299850000000e-05,1801,122866
118,1.309850000000e-05,1824,124338
119,1.319850000000e-05,2728,182244
120,1.329850000000e-05,950,68432
121,1.339850000000e-05,3496,231360
122,1.349850000000e-05,335,29062
123,1.359850000000e-05,3921,258566
124,1.369850000000e-05,125,15622
125,1.379850000000e-05,3904,257478
126,1.389850000000e-05,369,31238
127,1.399850000000e-05,3448,228286
