
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/mismatch_case02_sigma03x_full_frozen_avg1_fftmin/psf" ?result "tran") (V)

 1.29851e-06    8.87695e-01   
 1.39851e-06    2.33877e+00   
 1.49851e-06    1.66553e+00   
 1.59850e-06    1.52051e+00   
 1.69851e-06    2.47500e+00   
 1.79851e-06    7.69043e-01   
 1.89851e-06    3.12451e+00   
 1.99850e-06    2.59277e-01   
 2.09850e-06    3.46201e+00   
 2.19851e-06    1.14258e-01   
 2.29851e-06    3.40664e+00   
 2.39851e-06    3.67383e-01   
 2.49851e-06    2.97158e+00   
 2.59851e-06    9.58008e-01   
 2.69851e-06    2.25967e+00   
 2.79850e-06    1.74814e+00   
 2.89850e-06    1.43965e+00   
 2.99850e-06    2.55059e+00   
 3.09850e-06    7.04004e-01   
 3.19851e-06    3.17461e+00   
 3.29851e-06    2.27637e-01   
 3.39851e-06    3.47520e+00   
 3.49850e-06    1.21289e-01   
 3.59850e-06    3.37939e+00   
 3.69850e-06    4.13086e-01   
 3.79850e-06    2.91006e+00   
 3.89850e-06    1.03096e+00   
 3.99851e-06    2.17881e+00   
 4.09851e-06    1.83076e+00   
 4.19851e-06    1.35879e+00   
 4.29850e-06    2.62354e+00   
 4.39850e-06    6.42480e-01   
 4.49850e-06    3.22119e+00   
 4.59850e-06    1.98633e-01   
 4.69850e-06    3.48311e+00   
 4.79851e-06    1.33594e-01   
 4.89851e-06    3.34775e+00   
 4.99851e-06    4.61426e-01   
 5.09850e-06    2.84590e+00   
 5.19850e-06    1.10566e+00   
 5.29850e-06    2.09795e+00   
 5.39850e-06    1.91338e+00   
 5.49850e-06    1.27881e+00   
 5.59850e-06    2.69473e+00   
 5.69851e-06    5.83594e-01   
 5.79850e-06    3.26426e+00   
 5.89850e-06    1.74023e-01   
 5.99850e-06    3.48838e+00   
 6.09850e-06    1.49414e-01   
 6.19850e-06    3.31260e+00   
 6.29850e-06    5.14160e-01   
 6.39850e-06    2.77998e+00   
 6.49850e-06    1.18213e+00   
 6.59850e-06    2.01621e+00   
 6.69850e-06    1.99600e+00   
 6.79850e-06    1.20059e+00   
 6.89850e-06    2.76328e+00   
 6.99850e-06    5.27344e-01   
 7.09850e-06    3.30381e+00   
 7.19850e-06    1.53809e-01   
 7.29851e-06    3.48838e+00   
 7.39850e-06    1.68750e-01   
 7.49850e-06    3.27393e+00   
 7.59850e-06    5.69531e-01   
 7.69850e-06    2.71143e+00   
 7.79851e-06    1.26035e+00   
 7.89850e-06    1.93359e+00   
 7.99851e-06    2.07861e+00   
 8.09850e-06    1.12412e+00   
 8.19850e-06    2.83008e+00   
 8.29851e-06    4.74609e-01   
 8.39850e-06    3.33984e+00   
 8.49851e-06    1.37109e-01   
 8.59850e-06    3.48486e+00   
 8.69851e-06    1.92480e-01   
 8.79850e-06    3.23174e+00   
 8.89850e-06    6.27539e-01   
 8.99850e-06    2.64111e+00   
 9.09850e-06    1.33945e+00   
 9.19850e-06    1.85098e+00   
 9.29850e-06    2.15947e+00   
 9.39851e-06    1.04854e+00   
 9.49850e-06    2.89512e+00   
 9.59851e-06    4.24512e-01   
 9.69850e-06    3.37148e+00   
 9.79850e-06    1.23926e-01   
 9.89850e-06    3.47783e+00   
 9.99850e-06    2.19727e-01   
 1.00985e-05    3.18604e+00   
 1.01985e-05    6.89063e-01   
 1.02985e-05    2.56816e+00   
 1.03985e-05    1.41943e+00   
 1.04985e-05    1.76836e+00   
 1.05985e-05    2.24033e+00   
 1.06985e-05    9.75586e-01   
 1.07985e-05    2.95664e+00   
 1.08985e-05    3.77930e-01   
 1.09985e-05    3.40049e+00   
 1.10985e-05    1.16016e-01   
 1.11985e-05    3.46553e+00   
 1.12985e-05    2.51367e-01   
 1.13985e-05    3.13770e+00   
 1.14985e-05    7.53223e-01   
 1.15985e-05    2.49346e+00   
 1.16985e-05    1.50117e+00   
 1.17985e-05    1.68574e+00   
 1.18985e-05    2.31943e+00   
 1.19985e-05    9.04395e-01   
 1.20985e-05    3.01553e+00   
 1.21985e-05    3.34863e-01   
 1.22985e-05    3.42510e+00   
 1.23985e-05    1.10742e-01   
 1.24985e-05    3.44971e+00   
 1.25985e-05    2.86523e-01   
 1.26985e-05    3.08496e+00   
 1.27985e-05    8.19141e-01   
 1.28985e-05    2.41699e+00   
 1.29985e-05    1.58291e+00   
 1.30985e-05    1.60313e+00   
 1.31985e-05    2.39766e+00   
 1.32985e-05    8.35840e-01   
 1.33985e-05    3.07178e+00   
 1.34985e-05    2.95313e-01   
 1.35985e-05    3.44531e+00   
 1.36985e-05    1.10742e-01   
 1.37985e-05    3.43037e+00   
 1.38985e-05    3.25195e-01   
 1.39985e-05    3.02959e+00   
