index,time_s,code,raw_sum_q
0,1.298510000000e-06,1005,72501
1,1.398510000000e-06,2664,178691
2,1.498510000000e-06,1894,129393
3,1.598500000000e-06,1729,118833
4,1.698510000000e-06,2819,188611
5,1.798510000000e-06,869,63797
6,1.898510000000e-06,3562,236170
7,1.998500000000e-06,287,26560
8,2.098500000000e-06,3948,260863
9,2.198510000000e-06,121,15936
10,2.298510000000e-06,3885,256831
11,2.398510000000e-06,410,34432
12,2.498510000000e-06,3387,224970
13,2.598510000000e-06,1086,77692
14,2.698510000000e-06,2573,172867
15,2.798500000000e-06,1989,135473
16,2.898500000000e-06,1636,112881
17,2.998500000000e-06,2905,194115
18,3.098500000000e-06,795,59061
19,3.198510000000e-06,3620,239871
20,3.298510000000e-06,250,24192
21,3.398510000000e-06,3963,261823
22,3.498500000000e-06,130,16512
23,3.598500000000e-06,3853,254783
24,3.698500000000e-06,462,37760
25,3.798500000000e-06,3317,220490
26,3.898500000000e-06,1169,83004
27,3.998510000000e-06,2481,166990
28,4.098510000000e-06,2083,141518
29,4.198510000000e-06,1544,106993
30,4.298500000000e-06,2989,199491
31,4.398500000000e-06,724,54517
32,4.498500000000e-06,3673,243263
33,4.598500000000e-06,218,22144
34,4.698500000000e-06,3972,262399
35,4.798510000000e-06,143,17344
36,4.898510000000e-06,3817,252479
37,4.998510000000e-06,518,41333
38,5.098500000000e-06,3244,215818
39,5.198500000000e-06,1255,88508
40,5.298500000000e-06,2389,161102
41,5.398500000000e-06,2178,147598
42,5.498500000000e-06,1453,101180
43,5.598500000000e-06,3071,204739
44,5.698510000000e-06,657,50229
45,5.798500000000e-06,3722,246399
46,5.898500000000e-06,190,20352
47,5.998500000000e-06,3978,262783
48,6.098500000000e-06,161,18496
49,6.198500000000e-06,3777,249919
50,6.298500000000e-06,578,45173
51,6.398500000000e-06,3169,211018
52,6.498500000000e-06,1342,94076
53,6.598500000000e-06,2295,155086
54,6.698500000000e-06,2272,153614
55,6.798500000000e-06,1363,95420
56,6.898500000000e-06,3150,209802
57,6.998500000000e-06,593,46133
58,7.098500000000e-06,3767,249279
59,7.198500000000e-06,166,18816
60,7.298510000000e-06,3978,262783
61,7.398500000000e-06,183,19904
62,7.498500000000e-06,3733,247103
63,7.598500000000e-06,641,49205
64,7.698500000000e-06,3090,205962
65,7.798510000000e-06,1431,99772
66,7.898500000000e-06,2201,149070
67,7.998510000000e-06,2366,159630
68,8.098500000000e-06,1275,89788
69,8.198500000000e-06,3226,214666
70,8.298510000000e-06,532,42229
71,8.398500000000e-06,3808,251903
72,8.498510000000e-06,147,17600
73,8.598500000000e-06,3974,262527
74,8.698510000000e-06,210,21632
75,8.798500000000e-06,3685,244031
76,8.898500000000e-06,708,53493
77,8.998500000000e-06,3009,200771
78,9.098500000000e-06,1521,105532
79,9.198500000000e-06,2106,142990
80,9.298500000000e-06,2459,165582
81,9.398510000000e-06,1190,84348
82,9.498500000000e-06,3300,219402
83,9.598510000000e-06,475,38592
84,9.698500000000e-06,3845,254271
85,9.798500000000e-06,132,16640
86,9.898500000000e-06,3965,261951
87,9.998500000000e-06,242,23680
88,1.009850000000e-05,3633,240703
89,1.019850000000e-05,778,57973
90,1.029850000000e-05,2926,195459
91,1.039850000000e-05,1613,111409
92,1.049850000000e-05,2012,136945
93,1.059850000000e-05,2551,171470
94,1.069850000000e-05,1106,78972
95,1.079850000000e-05,3370,223882
96,1.089850000000e-05,422,35200
97,1.099850000000e-05,3877,256319
98,1.109850000000e-05,123,16064
99,1.119850000000e-05,3952,261119
100,1.129850000000e-05,277,25920
101,1.139850000000e-05,3577,237130
102,1.149850000000e-05,851,62645
103,1.159850000000e-05,2840,189955
104,1.169850000000e-05,1706,117361
105,1.179850000000e-05,1917,130865
106,1.189850000000e-05,2642,177283
107,1.199850000000e-05,1024,73724
108,1.209850000000e-05,3438,228234
109,1.219850000000e-05,373,32064
110,1.229850000000e-05,3905,258111
111,1.239850000000e-05,117,15680
112,1.249850000000e-05,3934,259967
113,1.259850000000e-05,317,28480
114,1.269850000000e-05,3517,233290
115,1.279850000000e-05,926,67445
116,1.289850000000e-05,2753,184387
117,1.299850000000e-05,1800,123377
118,1.309850000000e-05,1823,124849
119,1.319850000000e-05,2732,183043
120,1.329850000000e-05,945,68661
121,1.339850000000e-05,3502,232330
122,1.349850000000e-05,328,29184
123,1.359850000000e-05,3929,259647
124,1.369850000000e-05,117,15680
125,1.379850000000e-05,3912,258559
126,1.389850000000e-05,362,31360
127,1.399850000000e-05,3454,229258
