
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/sample01_paper_vertical_high3_full_frozen_fft/psf" ?result "tran") (V)

 1.29851e-06    8.85059e-01   
 1.39851e-06    2.34053e+00   
 1.49851e-06    1.66465e+00   
 1.59850e-06    1.51963e+00   
 1.69851e-06    2.47676e+00   
 1.79851e-06    7.65527e-01   
 1.89851e-06    3.12891e+00   
 1.99850e-06    2.54883e-01   
 2.09850e-06    3.46729e+00   
 2.19851e-06    1.08984e-01   
 2.29851e-06    3.41191e+00   
 2.39851e-06    3.62988e-01   
 2.49851e-06    2.97510e+00   
 2.59851e-06    9.55371e-01   
 2.69851e-06    2.26055e+00   
 2.79850e-06    1.74814e+00   
 2.89850e-06    1.43789e+00   
 2.99850e-06    2.55234e+00   
 3.09850e-06    7.00488e-01   
 3.19851e-06    3.17900e+00   
 3.29851e-06    2.22363e-01   
 3.39851e-06    3.48047e+00   
 3.49850e-06    1.16895e-01   
 3.59850e-06    3.38379e+00   
 3.69850e-06    4.08691e-01   
 3.79850e-06    2.91357e+00   
 3.89850e-06    1.02832e+00   
 3.99851e-06    2.18057e+00   
 4.09851e-06    1.83076e+00   
 4.19851e-06    1.35703e+00   
 4.29850e-06    2.62617e+00   
 4.39850e-06    6.38086e-01   
 4.49850e-06    3.22559e+00   
 4.59850e-06    1.94238e-01   
 4.69850e-06    3.48838e+00   
 4.79851e-06    1.28320e-01   
 4.89851e-06    3.35215e+00   
 4.99851e-06    4.57031e-01   
 5.09850e-06    2.84941e+00   
 5.19850e-06    1.10391e+00   
 5.29850e-06    2.09971e+00   
 5.39850e-06    1.91426e+00   
 5.49850e-06    1.27793e+00   
 5.59850e-06    2.69824e+00   
 5.69851e-06    5.79199e-01   
 5.79850e-06    3.26865e+00   
 5.89850e-06    1.69629e-01   
 5.99850e-06    3.49365e+00   
 6.09850e-06    1.44141e-01   
 6.19850e-06    3.31699e+00   
 6.29850e-06    5.09766e-01   
 6.39850e-06    2.78350e+00   
 6.49850e-06    1.18037e+00   
 6.59850e-06    2.01709e+00   
 6.69850e-06    1.99688e+00   
 6.79850e-06    1.19883e+00   
 6.89850e-06    2.76680e+00   
 6.99850e-06    5.22949e-01   
 7.09850e-06    3.30820e+00   
 7.19850e-06    1.48535e-01   
 7.29851e-06    3.49365e+00   
 7.39850e-06    1.63477e-01   
 7.49850e-06    3.27832e+00   
 7.59850e-06    5.65137e-01   
 7.69850e-06    2.71406e+00   
 7.79851e-06    1.25859e+00   
 7.89850e-06    1.93447e+00   
 7.99851e-06    2.07949e+00   
 8.09850e-06    1.12148e+00   
 8.19850e-06    2.83359e+00   
 8.29851e-06    4.69336e-01   
 8.39850e-06    3.34424e+00   
 8.49851e-06    1.31836e-01   
 8.59850e-06    3.49014e+00   
 8.69851e-06    1.87207e-01   
 8.79850e-06    3.23613e+00   
 8.89850e-06    6.24023e-01   
 8.99850e-06    2.64375e+00   
 9.09850e-06    1.33770e+00   
 9.19850e-06    1.85098e+00   
 9.29850e-06    2.16123e+00   
 9.39851e-06    1.04678e+00   
 9.49850e-06    2.89863e+00   
 9.59851e-06    4.20117e-01   
 9.69850e-06    3.37676e+00   
 9.79850e-06    1.18652e-01   
 9.89850e-06    3.48223e+00   
 9.99850e-06    2.15332e-01   
 1.00985e-05    3.19043e+00   
 1.01985e-05    6.85547e-01   
 1.02985e-05    2.57080e+00   
 1.03985e-05    1.41768e+00   
 1.04985e-05    1.76836e+00   
 1.05985e-05    2.24209e+00   
 1.06985e-05    9.72949e-01   
 1.07985e-05    2.96016e+00   
 1.08985e-05    3.73535e-01   
 1.09985e-05    3.40488e+00   
 1.10985e-05    1.10742e-01   
 1.11985e-05    3.47080e+00   
 1.12985e-05    2.46094e-01   
 1.13985e-05    3.14209e+00   
 1.14985e-05    7.49707e-01   
 1.15985e-05    2.49521e+00   
 1.16985e-05    1.49941e+00   
 1.17985e-05    1.68486e+00   
 1.18985e-05    2.32119e+00   
 1.19985e-05    9.00879e-01   
 1.20985e-05    3.01992e+00   
 1.21985e-05    3.30469e-01   
 1.22985e-05    3.42949e+00   
 1.23985e-05    1.05469e-01   
 1.24985e-05    3.45498e+00   
 1.25985e-05    2.81250e-01   
 1.26985e-05    3.08936e+00   
 1.27985e-05    8.15625e-01   
 1.28985e-05    2.41875e+00   
 1.29985e-05    1.58203e+00   
 1.30985e-05    1.60225e+00   
 1.31985e-05    2.40029e+00   
 1.32985e-05    8.32324e-01   
 1.33985e-05    3.07617e+00   
 1.34985e-05    2.90918e-01   
 1.35985e-05    3.45059e+00   
 1.36985e-05    1.05469e-01   
 1.37985e-05    3.43564e+00   
 1.38985e-05    3.20801e-01   
 1.39985e-05    3.03398e+00   
