
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/sample01_oracle_average_q6_fftmin/psf" ?result "tran") (V)

 1.29851e-06    8.83301e-01   
 1.39851e-06    2.34141e+00   
 1.49851e-06    1.66465e+00   
 1.59850e-06    1.51963e+00   
 1.69851e-06    2.47764e+00   
 1.79851e-06    7.63770e-01   
 1.89851e-06    3.13066e+00   
 1.99850e-06    2.52246e-01   
 2.09850e-06    3.46992e+00   
 2.19851e-06    1.06348e-01   
 2.29851e-06    3.41455e+00   
 2.39851e-06    3.60352e-01   
 2.49851e-06    2.97686e+00   
 2.59851e-06    9.54492e-01   
 2.69851e-06    2.26143e+00   
 2.79850e-06    1.74814e+00   
 2.89850e-06    1.43789e+00   
 2.99850e-06    2.55322e+00   
 3.09850e-06    6.98730e-01   
 3.19851e-06    3.18164e+00   
 3.29851e-06    2.19727e-01   
 3.39851e-06    3.48311e+00   
 3.49850e-06    1.14258e-01   
 3.59850e-06    3.38643e+00   
 3.69850e-06    4.06055e-01   
 3.79850e-06    2.91533e+00   
 3.89850e-06    1.02744e+00   
 3.99851e-06    2.18057e+00   
 4.09851e-06    1.83076e+00   
 4.19851e-06    1.35703e+00   
 4.29850e-06    2.62705e+00   
 4.39850e-06    6.36328e-01   
 4.49850e-06    3.22822e+00   
 4.59850e-06    1.91602e-01   
 4.69850e-06    3.49102e+00   
 4.79851e-06    1.25684e-01   
 4.89851e-06    3.35479e+00   
 4.99851e-06    4.55273e-01   
 5.09850e-06    2.85117e+00   
 5.19850e-06    1.10303e+00   
 5.29850e-06    2.09971e+00   
 5.39850e-06    1.91426e+00   
 5.49850e-06    1.27705e+00   
 5.59850e-06    2.69912e+00   
 5.69851e-06    5.77441e-01   
 5.79850e-06    3.27129e+00   
 5.89850e-06    1.66992e-01   
 5.99850e-06    3.49629e+00   
 6.09850e-06    1.41504e-01   
 6.19850e-06    3.31963e+00   
 6.29850e-06    5.08008e-01   
 6.39850e-06    2.78525e+00   
 6.49850e-06    1.17949e+00   
 6.59850e-06    2.01709e+00   
 6.69850e-06    1.99687e+00   
 6.79850e-06    1.19795e+00   
 6.89850e-06    2.76855e+00   
 6.99850e-06    5.21191e-01   
 7.09850e-06    3.31084e+00   
 7.19850e-06    1.45898e-01   
 7.29851e-06    3.49629e+00   
 7.39850e-06    1.60840e-01   
 7.49850e-06    3.28096e+00   
 7.59850e-06    5.63379e-01   
 7.69850e-06    2.71582e+00   
 7.79851e-06    1.25771e+00   
 7.89850e-06    1.93447e+00   
 7.99851e-06    2.07949e+00   
 8.09850e-06    1.12061e+00   
 8.19850e-06    2.83535e+00   
 8.29851e-06    4.67578e-01   
 8.39850e-06    3.34688e+00   
 8.49851e-06    1.29199e-01   
 8.59850e-06    3.49277e+00   
 8.69851e-06    1.84570e-01   
 8.79850e-06    3.23877e+00   
 8.89850e-06    6.22266e-01   
 8.99850e-06    2.64463e+00   
 9.09850e-06    1.33682e+00   
 9.19850e-06    1.85098e+00   
 9.29850e-06    2.16123e+00   
 9.39851e-06    1.04590e+00   
 9.49850e-06    2.90039e+00   
 9.59851e-06    4.17480e-01   
 9.69850e-06    3.37939e+00   
 9.79850e-06    1.16016e-01   
 9.89850e-06    3.48486e+00   
 9.99850e-06    2.12695e-01   
 1.00985e-05    3.19307e+00   
 1.01985e-05    6.83789e-01   
 1.02985e-05    2.57168e+00   
 1.03985e-05    1.41768e+00   
 1.04985e-05    1.76836e+00   
 1.05985e-05    2.24209e+00   
 1.06985e-05    9.72070e-01   
 1.07985e-05    2.96191e+00   
 1.08985e-05    3.70898e-01   
 1.09985e-05    3.40752e+00   
 1.10985e-05    1.08105e-01   
 1.11985e-05    3.47344e+00   
 1.12985e-05    2.43457e-01   
 1.13985e-05    3.14385e+00   
 1.14985e-05    7.47949e-01   
 1.15985e-05    2.49609e+00   
 1.16985e-05    1.49941e+00   
 1.17985e-05    1.68486e+00   
 1.18985e-05    2.32207e+00   
 1.19985e-05    9.00000e-01   
 1.20985e-05    3.02168e+00   
 1.21985e-05    3.27832e-01   
 1.22985e-05    3.43213e+00   
 1.23985e-05    1.02832e-01   
 1.24985e-05    3.45762e+00   
 1.25985e-05    2.78613e-01   
 1.26985e-05    3.09111e+00   
 1.27985e-05    8.13867e-01   
 1.28985e-05    2.41963e+00   
 1.29985e-05    1.58203e+00   
 1.30985e-05    1.60225e+00   
 1.31985e-05    2.40117e+00   
 1.32985e-05    8.30566e-01   
 1.33985e-05    3.07793e+00   
 1.34985e-05    2.88281e-01   
 1.35985e-05    3.45322e+00   
 1.36985e-05    1.02832e-01   
 1.37985e-05    3.43828e+00   
 1.38985e-05    3.18164e-01   
 1.39985e-05    3.03574e+00   
