bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-88.110461947
2,1.562500000000e+05,-99.286857739
3,2.343750000000e+05,-85.884290915
4,3.125000000000e+05,-95.516060993
5,3.906250000000e+05,-87.661931252
6,4.687500000000e+05,-91.789986061
7,5.468750000000e+05,-95.161095693
8,6.250000000000e+05,-96.647820503
9,7.031250000000e+05,-86.871075780
10,7.812500000000e+05,-101.859973399
11,8.593750000000e+05,-89.190001284
12,9.375000000000e+05,-90.339586791
13,1.015625000000e+06,-89.242767099
14,1.093750000000e+06,-95.866675268
15,1.171875000000e+06,-87.215481460
16,1.250000000000e+06,-96.597301129
17,1.328125000000e+06,-93.774757662
18,1.406250000000e+06,-93.226001827
19,1.484375000000e+06,-97.930703733
20,1.562500000000e+06,-97.989581436
21,1.640625000000e+06,-84.820299563
22,1.718750000000e+06,-94.719791585
23,1.796875000000e+06,-99.335772298
24,1.875000000000e+06,-94.459563563
25,1.953125000000e+06,-87.948899454
26,2.031250000000e+06,-101.780317148
27,2.109375000000e+06,-93.145463964
28,2.187500000000e+06,-90.178632723
29,2.265625000000e+06,-100.465490759
30,2.343750000000e+06,-89.041139140
31,2.421875000000e+06,-91.679776141
32,2.500000000000e+06,-101.838854238
33,2.578125000000e+06,-96.386767996
34,2.656250000000e+06,-105.008360137
35,2.734375000000e+06,-88.879602366
36,2.812500000000e+06,-93.345345539
37,2.890625000000e+06,-85.130467573
38,2.968750000000e+06,-99.954309475
39,3.046875000000e+06,-84.597300462
40,3.125000000000e+06,-92.528990373
41,3.203125000000e+06,-99.532470611
42,3.281250000000e+06,-95.215144425
43,3.359375000000e+06,-91.300874417
44,3.437500000000e+06,-110.764008943
45,3.515625000000e+06,-90.377604152
46,3.593750000000e+06,-100.801445686
47,3.671875000000e+06,-86.968154119
48,3.750000000000e+06,-90.178446546
49,3.828125000000e+06,-83.746978050
50,3.906250000000e+06,-94.223694354
51,3.984375000000e+06,-95.893596473
52,4.062500000000e+06,-90.482482033
53,4.140625000000e+06,-93.515292783
54,4.218750000000e+06,-104.519338476
55,4.296875000000e+06,-93.942655524
56,4.375000000000e+06,-91.546835956
57,4.453125000000e+06,-102.300167013
58,4.531250000000e+06,-95.086048755
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-89.895514504
61,4.765625000000e+06,-98.083448344
62,4.843750000000e+06,-91.148983427
63,4.921875000000e+06,-88.716086109
64,5.000000000000e+06,-101.838854238
