index,time_s,out_v,code
0,1.298510000000e-06,8.833010000000e-01,1005
1,1.398510000000e-06,2.341410000000e+00,2664
2,1.498510000000e-06,1.664650000000e+00,1894
3,1.598500000000e-06,1.519630000000e+00,1729
4,1.698510000000e-06,2.478520000000e+00,2820
5,1.798510000000e-06,7.637700000000e-01,869
6,1.898510000000e-06,3.131540000000e+00,3563
7,1.998500000000e-06,2.522460000000e-01,287
8,2.098500000000e-06,3.469920000000e+00,3948
9,2.198510000000e-06,1.063480000000e-01,121
10,2.298510000000e-06,3.414550000000e+00,3885
11,2.398510000000e-06,3.603520000000e-01,410
12,2.498510000000e-06,2.976860000000e+00,3387
13,2.598510000000e-06,9.544920000000e-01,1086
14,2.698510000000e-06,2.262300000000e+00,2574
15,2.798500000000e-06,1.748140000000e+00,1989
16,2.898500000000e-06,1.437010000000e+00,1635
17,2.998500000000e-06,2.554100000000e+00,2906
18,3.098500000000e-06,6.987300000000e-01,795
19,3.198510000000e-06,3.180760000000e+00,3619
20,3.298510000000e-06,2.197270000000e-01,250
21,3.398510000000e-06,3.482230000000e+00,3962
22,3.498500000000e-06,1.142580000000e-01,130
23,3.598500000000e-06,3.386430000000e+00,3853
24,3.698500000000e-06,4.060550000000e-01,462
25,3.798500000000e-06,2.915330000000e+00,3317
26,3.898500000000e-06,1.027440000000e+00,1169
27,3.998510000000e-06,2.181450000000e+00,2482
28,4.098510000000e-06,1.831640000000e+00,2084
29,4.198510000000e-06,1.356150000000e+00,1543
30,4.298500000000e-06,2.627050000000e+00,2989
31,4.398500000000e-06,6.363280000000e-01,724
32,4.498500000000e-06,3.228220000000e+00,3673
33,4.598500000000e-06,1.916020000000e-01,218
34,4.698500000000e-06,3.491020000000e+00,3972
35,4.798510000000e-06,1.256840000000e-01,143
36,4.898510000000e-06,3.354790000000e+00,3817
37,4.998510000000e-06,4.552730000000e-01,518
38,5.098500000000e-06,2.851170000000e+00,3244
39,5.198500000000e-06,1.102150000000e+00,1254
40,5.298500000000e-06,2.099710000000e+00,2389
41,5.398500000000e-06,1.914260000000e+00,2178
42,5.498500000000e-06,1.277050000000e+00,1453
43,5.598500000000e-06,2.699120000000e+00,3071
44,5.698510000000e-06,5.774410000000e-01,657
45,5.798500000000e-06,3.271290000000e+00,3722
46,5.898500000000e-06,1.669920000000e-01,190
47,5.998500000000e-06,3.496290000000e+00,3978
48,6.098500000000e-06,1.415040000000e-01,161
49,6.198500000000e-06,3.319630000000e+00,3777
50,6.298500000000e-06,5.080080000000e-01,578
51,6.398500000000e-06,2.785250000000e+00,3169
52,6.498500000000e-06,1.179490000000e+00,1342
53,6.598500000000e-06,2.017090000000e+00,2295
54,6.698500000000e-06,1.997750000000e+00,2273
55,6.798500000000e-06,1.197950000000e+00,1363
56,6.898500000000e-06,2.768550000000e+00,3150
57,6.998500000000e-06,5.211910000000e-01,593
