bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-87.374478406
2,1.562500000000e+05,-101.838902439
3,2.343750000000e+05,-82.226456775
4,3.125000000000e+05,-101.838902439
5,3.906250000000e+05,-90.182521345
6,4.687500000000e+05,-101.838902439
7,5.468750000000e+05,-90.678046105
8,6.250000000000e+05,-101.838902439
9,7.031250000000e+05,-87.040931805
10,7.812500000000e+05,-101.838902439
11,8.593750000000e+05,-91.516852854
12,9.375000000000e+05,-101.838902439
13,1.015625000000e+06,-86.743596682
14,1.093750000000e+06,-101.838902439
15,1.171875000000e+06,-98.329472935
16,1.250000000000e+06,-101.838902439
17,1.328125000000e+06,-88.683014074
18,1.406250000000e+06,-101.838902439
19,1.484375000000e+06,-90.953958003
20,1.562500000000e+06,-101.838902439
21,1.640625000000e+06,-84.937167076
22,1.718750000000e+06,-101.838902439
23,1.796875000000e+06,-97.346824363
24,1.875000000000e+06,-101.838902439
25,1.953125000000e+06,-93.182866394
26,2.031250000000e+06,-101.838902439
27,2.109375000000e+06,-81.738934940
28,2.187500000000e+06,-101.838902439
29,2.265625000000e+06,-84.736247651
30,2.343750000000e+06,-101.838902439
31,2.421875000000e+06,-89.143718622
32,2.500000000000e+06,-101.838902439
33,2.578125000000e+06,-107.650291668
34,2.656250000000e+06,-101.838902439
35,2.734375000000e+06,-84.965591730
36,2.812500000000e+06,-101.838902439
37,2.890625000000e+06,-99.609378602
38,2.968750000000e+06,-101.838902439
39,3.046875000000e+06,-88.609724358
40,3.125000000000e+06,-101.838902439
41,3.203125000000e+06,-93.135234073
42,3.281250000000e+06,-101.838902439
43,3.359375000000e+06,-96.390156501
44,3.437500000000e+06,-101.838902439
45,3.515625000000e+06,-88.350324336
46,3.593750000000e+06,-101.838902439
47,3.671875000000e+06,-95.582765931
48,3.750000000000e+06,-101.838902439
49,3.828125000000e+06,-86.707224338
50,3.906250000000e+06,-101.838902439
51,3.984375000000e+06,-85.588074253
52,4.062500000000e+06,-101.838902439
53,4.140625000000e+06,-89.038730761
54,4.218750000000e+06,-101.838902439
55,4.296875000000e+06,-88.245301044
56,4.375000000000e+06,-101.838902439
57,4.453125000000e+06,-88.689794518
58,4.531250000000e+06,-101.838902439
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-101.838902439
61,4.765625000000e+06,-124.077587572
62,4.843750000000e+06,-101.838902439
63,4.921875000000e+06,-90.197810332
64,5.000000000000e+06,-101.838902439
