bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-83.356274477
2,1.562500000000e+05,-101.836038018
3,2.343750000000e+05,-81.353068150
4,3.125000000000e+05,-101.836038018
5,3.906250000000e+05,-91.906072942
6,4.687500000000e+05,-101.836038018
7,5.468750000000e+05,-92.008573661
8,6.250000000000e+05,-101.836038018
9,7.031250000000e+05,-83.357380607
10,7.812500000000e+05,-101.836038018
11,8.593750000000e+05,-99.966071066
12,9.375000000000e+05,-101.836038018
13,1.015625000000e+06,-85.230730694
14,1.093750000000e+06,-101.836038018
15,1.171875000000e+06,-94.064110401
16,1.250000000000e+06,-101.836038018
17,1.328125000000e+06,-91.611357059
18,1.406250000000e+06,-101.836038018
19,1.484375000000e+06,-96.674072053
20,1.562500000000e+06,-101.836038018
21,1.640625000000e+06,-85.212818909
22,1.718750000000e+06,-101.836038018
23,1.796875000000e+06,-95.402076309
24,1.875000000000e+06,-101.836038018
25,1.953125000000e+06,-94.474062847
26,2.031250000000e+06,-101.836038018
27,2.109375000000e+06,-82.961633387
28,2.187500000000e+06,-101.836038018
29,2.265625000000e+06,-88.256926012
30,2.343750000000e+06,-101.836038018
31,2.421875000000e+06,-85.744088305
32,2.500000000000e+06,-101.836038018
33,2.578125000000e+06,-100.941082507
34,2.656250000000e+06,-101.836038018
35,2.734375000000e+06,-85.401623778
36,2.812500000000e+06,-101.836038018
37,2.890625000000e+06,-112.016323867
38,2.968750000000e+06,-101.836038018
39,3.046875000000e+06,-89.286927633
40,3.125000000000e+06,-101.836038018
41,3.203125000000e+06,-97.360207910
42,3.281250000000e+06,-101.836038018
43,3.359375000000e+06,-92.698282240
44,3.437500000000e+06,-101.836038018
45,3.515625000000e+06,-89.586201304
46,3.593750000000e+06,-101.836038018
47,3.671875000000e+06,-96.927950077
48,3.750000000000e+06,-101.836038018
49,3.828125000000e+06,-82.662217653
50,3.906250000000e+06,-101.836038018
51,3.984375000000e+06,-83.494254076
52,4.062500000000e+06,-101.836038018
53,4.140625000000e+06,-88.029430417
54,4.218750000000e+06,-101.836038018
55,4.296875000000e+06,-88.133538781
56,4.375000000000e+06,-101.836038018
57,4.453125000000e+06,-87.214658262
58,4.531250000000e+06,-101.836038018
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-101.836038018
61,4.765625000000e+06,-96.883260134
62,4.843750000000e+06,-101.836038018
63,4.921875000000e+06,-90.763885331
64,5.000000000000e+06,-101.836038018
