
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/sourcecenter_sample03_full_huang_fft256/psf" ?result "tran") (V)

 1.29851e-06    1.34121e+00   
 1.39851e-06    1.80527e+00   
 1.49851e-06    2.24912e+00   
 1.59850e-06    9.29004e-01   
 1.69851e-06    3.02959e+00   
 1.79851e-06    3.01465e-01   
 1.89851e-06    3.45938e+00   
 1.99850e-06    1.00195e-01   
 2.09850e-06    3.41719e+00   
 2.19851e-06    3.82324e-01   
 2.29851e-06    2.91533e+00   
 2.39851e-06    1.06787e+00   
 2.49851e-06    2.09531e+00   
 2.59851e-06    1.96260e+00   
 2.69851e-06    1.19180e+00   
 2.79850e-06    2.80986e+00   
 2.89850e-06    4.61426e-01   
 2.99850e-06    3.36973e+00   
 3.09850e-06    1.11621e-01   
 3.19851e-06    3.48398e+00   
 3.29851e-06    2.42578e-01   
 3.39851e-06    3.11836e+00   
 3.49850e-06    8.16504e-01   
 3.59850e-06    2.37744e+00   
 3.69850e-06    1.66992e+00   
 3.79850e-06    1.47217e+00   
 3.89850e-06    2.56113e+00   
 3.99851e-06    6.60938e-01   
 4.09851e-06    3.23525e+00   
 4.19851e-06    1.73145e-01   
 4.29850e-06    3.50068e+00   
 4.39850e-06    1.48535e-01   
 4.49850e-06    3.28271e+00   
 4.59850e-06    5.93262e-01   
 4.69850e-06    2.64287e+00   
 4.79851e-06    1.38164e+00   
 4.89851e-06    1.76309e+00   
 4.99851e-06    2.28955e+00   
 5.09850e-06    8.92969e-01   
 5.19850e-06    3.05771e+00   
 5.29850e-06    2.82129e-01   
 5.39850e-06    3.46816e+00   
 5.49850e-06    1.02832e-01   
 5.59850e-06    3.40400e+00   
 5.69851e-06    4.06055e-01   
 5.79850e-06    2.88369e+00   
 5.89850e-06    1.10654e+00   
 5.99850e-06    2.05488e+00   
 6.09850e-06    2.00391e+00   
 6.19850e-06    1.15312e+00   
 6.29850e-06    2.84326e+00   
 6.39850e-06    4.35938e-01   
 6.49850e-06    3.38555e+00   
 6.59850e-06    1.07227e-01   
