index,time_s,out_v,code
0,1.298510000000e-06,1.341210000000e+00,1526
1,1.398510000000e-06,1.805270000000e+00,2054
2,1.498510000000e-06,2.249120000000e+00,2559
3,1.598500000000e-06,9.290040000000e-01,1057
4,1.698510000000e-06,3.029590000000e+00,3447
5,1.798510000000e-06,3.014650000000e-01,343
6,1.898510000000e-06,3.459380000000e+00,3936
7,1.998500000000e-06,1.001950000000e-01,114
8,2.098500000000e-06,3.417190000000e+00,3888
9,2.198510000000e-06,3.823240000000e-01,435
10,2.298510000000e-06,2.915330000000e+00,3317
11,2.398510000000e-06,1.067870000000e+00,1215
12,2.498510000000e-06,2.095310000000e+00,2384
13,2.598510000000e-06,1.962600000000e+00,2233
14,2.698510000000e-06,1.191800000000e+00,1356
15,2.798500000000e-06,2.809860000000e+00,3197
16,2.898500000000e-06,4.614260000000e-01,525
17,2.998500000000e-06,3.369730000000e+00,3834
18,3.098500000000e-06,1.116210000000e-01,127
19,3.198510000000e-06,3.483980000000e+00,3964
20,3.298510000000e-06,2.425780000000e-01,276
21,3.398510000000e-06,3.118360000000e+00,3548
22,3.498500000000e-06,8.165040000000e-01,929
23,3.598500000000e-06,2.377440000000e+00,2705
24,3.698500000000e-06,1.669920000000e+00,1900
25,3.798500000000e-06,1.472170000000e+00,1675
26,3.898500000000e-06,2.561130000000e+00,2914
27,3.998510000000e-06,6.609380000000e-01,752
28,4.098510000000e-06,3.235250000000e+00,3681
29,4.198510000000e-06,1.731450000000e-01,197
30,4.298500000000e-06,3.500680000000e+00,3983
31,4.398500000000e-06,1.485350000000e-01,169
32,4.498500000000e-06,3.282710000000e+00,3735
33,4.598500000000e-06,5.932620000000e-01,675
34,4.698500000000e-06,2.642870000000e+00,3007
35,4.798510000000e-06,1.381640000000e+00,1572
36,4.898510000000e-06,1.763090000000e+00,2006
37,4.998510000000e-06,2.289550000000e+00,2605
38,5.098500000000e-06,8.929690000000e-01,1016
39,5.198500000000e-06,3.057710000000e+00,3479
40,5.298500000000e-06,2.821290000000e-01,321
41,5.398500000000e-06,3.468160000000e+00,3946
42,5.498500000000e-06,1.028320000000e-01,117
43,5.598500000000e-06,3.404000000000e+00,3873
44,5.698510000000e-06,4.060550000000e-01,462
45,5.798500000000e-06,2.883690000000e+00,3281
46,5.898500000000e-06,1.106540000000e+00,1259
47,5.998500000000e-06,2.054880000000e+00,2338
48,6.098500000000e-06,2.003910000000e+00,2280
49,6.198500000000e-06,1.153120000000e+00,1312
50,6.298500000000e-06,2.843260000000e+00,3235
51,6.398500000000e-06,4.359380000000e-01,496
52,6.498500000000e-06,3.385550000000e+00,3852
53,6.598500000000e-06,1.072270000000e-01,122
54,6.698500000000e-06,3.476950000000e+00,3956
55,6.798500000000e-06,2.601560000000e-01,296
56,6.898500000000e-06,3.091990000000e+00,3518
57,6.998500000000e-06,8.507810000000e-01,968
58,7.098500000000e-06,2.337890000000e+00,2660
59,7.198500000000e-06,1.711230000000e+00,1947
60,7.298510000000e-06,1.431740000000e+00,1629
61,7.398500000000e-06,2.598050000000e+00,2956
62,7.498500000000e-06,6.301760000000e-01,717
63,7.598500000000e-06,3.257230000000e+00,3706
64,7.698500000000e-06,1.617190000000e-01,184
65,7.798510000000e-06,3.501560000000e+00,3984
66,7.898500000000e-06,1.590820000000e-01,181
67,7.998510000000e-06,3.261620000000e+00,3711
