bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,3.906250000000e+04,-98.245713449
2,7.812500000000e+04,-108.349453695
3,1.171875000000e+05,-92.117348542
4,1.562500000000e+05,-108.671750985
5,1.953125000000e+05,-92.943415760
6,2.343750000000e+05,-102.022465151
7,2.734375000000e+05,-89.620385569
8,3.125000000000e+05,-105.755860565
9,3.515625000000e+05,-98.487150969
10,3.906250000000e+05,-105.110297687
11,4.296875000000e+05,-97.093360522
12,4.687500000000e+05,-96.186484271
13,5.078125000000e+05,-86.853791538
14,5.468750000000e+05,-109.755704293
15,5.859375000000e+05,-87.499493281
16,6.250000000000e+05,-106.967209988
17,6.640625000000e+05,-95.038912648
18,7.031250000000e+05,-103.375462865
19,7.421875000000e+05,-98.565070649
20,7.812500000000e+05,-103.419826719
21,8.203125000000e+05,-93.983525510
22,8.593750000000e+05,-102.006290235
23,8.984375000000e+05,-99.827399066
24,9.375000000000e+05,-97.251479383
25,9.765625000000e+05,-91.830401023
26,1.015625000000e+06,-109.867761171
27,1.054687500000e+06,-89.061783118
28,1.093750000000e+06,-102.980753103
29,1.132812500000e+06,-89.392093885
30,1.171875000000e+06,-106.543466850
31,1.210937500000e+06,-83.652392715
32,1.250000000000e+06,-102.549682441
33,1.289062500000e+06,-86.594824401
34,1.328125000000e+06,-99.764933128
35,1.367187500000e+06,-92.506316856
36,1.406250000000e+06,-99.134744447
37,1.445312500000e+06,-88.966302252
38,1.484375000000e+06,-110.895805495
39,1.523437500000e+06,-91.112989912
40,1.562500000000e+06,-100.184056359
41,1.601562500000e+06,-100.264967754
42,1.640625000000e+06,-112.902662096
43,1.679687500000e+06,-94.234093158
44,1.718750000000e+06,-103.069096648
45,1.757812500000e+06,-88.520305126
46,1.796875000000e+06,-98.402024451
47,1.835937500000e+06,-94.285599863
48,1.875000000000e+06,-102.030510572
49,1.914062500000e+06,-98.238359307
50,1.953125000000e+06,-112.147690011
51,1.992187500000e+06,-92.848819168
52,2.031250000000e+06,-98.562179835
53,2.070312500000e+06,-97.584614214
54,2.109375000000e+06,-113.579591843
55,2.148437500000e+06,-87.153057258
56,2.187500000000e+06,-105.186561318
57,2.226562500000e+06,-94.700691160
58,2.265625000000e+06,-97.855946873
59,2.304687500000e+06,-95.740198184
60,2.343750000000e+06,-106.212641505
61,2.382812500000e+06,-89.422677913
62,2.421875000000e+06,-108.735480249
63,2.460937500000e+06,-95.861755783
64,2.500000000000e+06,-97.882589272
65,2.539062500000e+06,-101.947792011
66,2.578125000000e+06,-107.079900804
67,2.617187500000e+06,-108.799294637
68,2.656250000000e+06,-109.812675772
69,2.695312500000e+06,-91.260703293
70,2.734375000000e+06,-98.114384304
71,2.773437500000e+06,-93.326589362
72,2.812500000000e+06,-111.045268435
73,2.851562500000e+06,-91.337135166
74,2.890625000000e+06,-103.947855128
75,2.929687500000e+06,-96.710816141
76,2.968750000000e+06,-98.029227306
77,3.007812500000e+06,-91.729475360
78,3.046875000000e+06,-103.895476069
79,3.085937500000e+06,-110.379913092
80,3.125000000000e+06,-116.057274848
81,3.164062500000e+06,-93.492260991
82,3.203125000000e+06,-99.243548204
83,3.242187500000e+06,-93.948793892
84,3.281250000000e+06,-111.775538532
85,3.320312500000e+06,-88.885255702
86,3.359375000000e+06,-100.439319145
87,3.398437500000e+06,-91.405133798
88,3.437500000000e+06,-98.978151867
89,3.476562500000e+06,-90.505171096
90,3.515625000000e+06,-102.632696717
91,3.554687500000e+06,-97.343474270
92,3.593750000000e+06,-109.203093004
93,3.632812500000e+06,-96.044456002
94,3.671875000000e+06,-101.417587957
95,3.710937500000e+06,-80.865507320
96,3.750000000000e+06,-110.205196147
97,3.789062500000e+06,-117.044568635
98,3.828125000000e+06,-98.081346735
99,3.867187500000e+06,-95.055686384
100,3.906250000000e+06,-100.771743184
101,3.945312500000e+06,-91.444376142
102,3.984375000000e+06,-102.809266034
103,4.023437500000e+06,-87.554899650
104,4.062500000000e+06,-104.675359998
105,4.101562500000e+06,-97.124848026
106,4.140625000000e+06,-104.881143358
107,4.179687500000e+06,-90.127993002
108,4.218750000000e+06,-109.800005982
109,4.257812500000e+06,-90.634320461
110,4.296875000000e+06,-96.624694001
111,4.335937500000e+06,-89.982985810
112,4.375000000000e+06,-103.465061725
113,4.414062500000e+06,-104.802490349
114,4.453125000000e+06,-104.400878230
115,4.492187500000e+06,-88.571147937
116,4.531250000000e+06,-102.514936079
117,4.570312500000e+06,0.000000000
118,4.609375000000e+06,-108.586270433
119,4.648437500000e+06,-94.125492379
120,4.687500000000e+06,-109.361918166
121,4.726562500000e+06,-95.776719930
122,4.765625000000e+06,-95.927216158
123,4.804687500000e+06,-91.217362187
124,4.843750000000e+06,-106.823186474
125,4.882812500000e+06,-100.423521012
126,4.921875000000e+06,-107.364786024
127,4.960937500000e+06,-96.770051106
128,5.000000000000e+06,-101.861989359
