
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/sourcecenter_sample06_full_huang_fftmin/psf" ?result "tran") (V)

 1.29851e-06    8.80664e-01   
 1.39851e-06    2.34316e+00   
 1.49851e-06    1.66465e+00   
 1.59850e-06    1.51875e+00   
 1.69851e-06    2.48027e+00   
 1.79851e-06    7.61133e-01   
 1.89851e-06    3.13506e+00   
 1.99850e-06    2.48730e-01   
 2.09850e-06    3.47432e+00   
 2.19851e-06    1.02832e-01   
 2.29851e-06    3.41895e+00   
 2.39851e-06    3.56836e-01   
 2.49851e-06    2.98037e+00   
 2.59851e-06    9.52734e-01   
 2.69851e-06    2.26318e+00   
 2.79850e-06    1.74814e+00   
 2.89850e-06    1.43701e+00   
 2.99850e-06    2.55586e+00   
 3.09850e-06    6.96094e-01   
 3.19851e-06    3.18516e+00   
 3.29851e-06    2.16211e-01   
 3.39851e-06    3.48750e+00   
 3.49850e-06    1.09863e-01   
 3.59850e-06    3.39082e+00   
 3.69850e-06    4.03418e-01   
 3.79850e-06    2.91885e+00   
 3.89850e-06    1.02656e+00   
 3.99851e-06    2.18232e+00   
 4.09851e-06    1.83164e+00   
 4.19851e-06    1.35615e+00   
 4.29850e-06    2.62969e+00   
 4.39850e-06    6.33691e-01   
 4.49850e-06    3.23174e+00   
 4.59850e-06    1.87207e-01   
 4.69850e-06    3.49629e+00   
 4.79851e-06    1.22168e-01   
 4.89851e-06    3.35918e+00   
 4.99851e-06    4.52637e-01   
 5.09850e-06    2.85469e+00   
 5.19850e-06    1.10127e+00   
 5.29850e-06    2.10059e+00   
 5.39850e-06    1.91514e+00   
 5.49850e-06    1.27617e+00   
 5.59850e-06    2.70176e+00   
 5.69851e-06    5.74805e-01   
 5.79850e-06    3.27568e+00   
 5.89850e-06    1.62598e-01   
 5.99850e-06    3.50068e+00   
 6.09850e-06    1.37988e-01   
 6.19850e-06    3.32402e+00   
 6.29850e-06    5.04492e-01   
 6.39850e-06    2.78789e+00   
 6.49850e-06    1.17861e+00   
 6.59850e-06    2.01797e+00   
 6.69850e-06    1.99863e+00   
 6.79850e-06    1.19707e+00   
 6.89850e-06    2.77119e+00   
 6.99850e-06    5.18555e-01   
 7.09850e-06    3.31523e+00   
 7.19850e-06    1.42383e-01   
 7.29851e-06    3.50156e+00   
 7.39850e-06    1.57324e-01   
 7.49850e-06    3.28535e+00   
 7.59850e-06    5.60742e-01   
 7.69850e-06    2.71934e+00   
 7.79851e-06    1.25684e+00   
 7.89850e-06    1.93535e+00   
 7.99851e-06    2.08125e+00   
 8.09850e-06    1.11973e+00   
 8.19850e-06    2.83887e+00   
 8.29851e-06    4.64941e-01   
 8.39850e-06    3.35127e+00   
 8.49851e-06    1.25684e-01   
 8.59850e-06    3.49717e+00   
 8.69851e-06    1.81055e-01   
 8.79850e-06    3.24316e+00   
 8.89850e-06    6.19629e-01   
 8.99850e-06    2.64727e+00   
 9.09850e-06    1.33682e+00   
 9.19850e-06    1.85186e+00   
 9.29850e-06    2.16299e+00   
 9.39851e-06    1.04414e+00   
 9.49850e-06    2.90391e+00   
 9.59851e-06    4.14844e-01   
 9.69850e-06    3.38379e+00   
 9.79850e-06    1.12500e-01   
 9.89850e-06    3.49014e+00   
 9.99850e-06    2.09180e-01   
 1.00985e-05    3.19658e+00   
 1.01985e-05    6.81152e-01   
 1.02985e-05    2.57344e+00   
 1.03985e-05    1.41768e+00   
 1.04985e-05    1.76836e+00   
 1.05985e-05    2.24385e+00   
 1.06985e-05    9.70313e-01   
 1.07985e-05    2.96631e+00   
 1.08985e-05    3.68262e-01   
 1.09985e-05    3.41279e+00   
 1.10985e-05    1.03711e-01   
 1.11985e-05    3.47783e+00   
 1.12985e-05    2.39941e-01   
 1.13985e-05    3.14736e+00   
 1.14985e-05    7.45313e-01   
 1.15985e-05    2.49873e+00   
 1.16985e-05    1.49941e+00   
 1.17985e-05    1.68486e+00   
 1.18985e-05    2.32383e+00   
 1.19985e-05    8.98242e-01   
 1.20985e-05    3.02520e+00   
 1.21985e-05    3.24316e-01   
 1.22985e-05    3.43740e+00   
 1.23985e-05    9.93164e-02   
 1.24985e-05    3.46201e+00   
 1.25985e-05    2.75977e-01   
 1.26985e-05    3.09463e+00   
 1.27985e-05    8.12109e-01   
 1.28985e-05    2.42139e+00   
 1.29985e-05    1.58203e+00   
 1.30985e-05    1.60137e+00   
 1.31985e-05    2.40293e+00   
 1.32985e-05    8.28809e-01   
 1.33985e-05    3.08145e+00   
 1.34985e-05    2.84766e-01   
 1.35985e-05    3.45762e+00   
 1.36985e-05    9.84375e-02   
 1.37985e-05    3.44268e+00   
 1.38985e-05    3.14648e-01   
 1.39985e-05    3.03926e+00   
