bin,frequency_hz,magnitude_dbc
0,0.000000000000e+00,-6153.053111372
1,7.812500000000e+04,-82.772556700
2,1.562500000000e+05,-101.861384332
3,2.343750000000e+05,-101.034010905
4,3.125000000000e+05,-101.539796402
5,3.906250000000e+05,-86.150279085
6,4.687500000000e+05,-101.861384332
7,5.468750000000e+05,-89.916673652
8,6.250000000000e+05,-92.468429683
9,7.031250000000e+05,-103.095765385
10,7.812500000000e+05,-101.861384332
11,8.593750000000e+05,-92.255610096
12,9.375000000000e+05,-99.623514461
13,1.015625000000e+06,-86.761146137
14,1.093750000000e+06,-101.861384332
15,1.171875000000e+06,-89.117224498
16,1.250000000000e+06,-92.924639201
17,1.328125000000e+06,-85.183047447
18,1.406250000000e+06,-101.861384332
19,1.484375000000e+06,-92.112566475
20,1.562500000000e+06,-97.424501131
21,1.640625000000e+06,-85.743588321
22,1.718750000000e+06,-101.861384332
23,1.796875000000e+06,-89.451707661
24,1.875000000000e+06,-93.711764561
25,1.953125000000e+06,-102.387910476
26,2.031250000000e+06,-101.861384332
27,2.109375000000e+06,-92.095135718
28,2.187500000000e+06,-95.608631652
29,2.265625000000e+06,-89.428725617
30,2.343750000000e+06,-101.861384332
31,2.421875000000e+06,-94.563542144
32,2.500000000000e+06,-94.871684289
33,2.578125000000e+06,-84.289220415
34,2.656250000000e+06,-101.861384332
35,2.734375000000e+06,-96.545090484
36,2.812500000000e+06,-94.241834494
37,2.890625000000e+06,-92.256982759
38,2.968750000000e+06,-101.861384332
39,3.046875000000e+06,-90.522806853
40,3.125000000000e+06,-96.459007994
41,3.203125000000e+06,-85.731660906
42,3.281250000000e+06,-101.861384332
43,3.359375000000e+06,-85.897270842
44,3.437500000000e+06,-93.274640556
45,3.515625000000e+06,-107.819204415
46,3.593750000000e+06,-101.861384332
47,3.671875000000e+06,-87.602738801
48,3.750000000000e+06,-98.493640249
49,3.828125000000e+06,-87.755935037
50,3.906250000000e+06,-101.861384332
51,3.984375000000e+06,-87.898800448
52,4.062500000000e+06,-92.657083669
53,4.140625000000e+06,-95.765267227
54,4.218750000000e+06,-101.861384332
55,4.296875000000e+06,-93.220304159
56,4.375000000000e+06,-100.707003857
57,4.453125000000e+06,-97.708925941
58,4.531250000000e+06,-101.861384332
59,4.609375000000e+06,0.000000000
60,4.687500000000e+06,-92.356206717
61,4.765625000000e+06,-106.371995413
62,4.843750000000e+06,-101.861384332
63,4.921875000000e+06,-89.770951230
64,5.000000000000e+06,-101.861384332
