
time (s)       v("P" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/switch_cdac_map/psf" ?result "tran") (V)

 0.00000e+00    9.00000e-01   
 1.00000e-09    9.00000e-01   
 1.00250e-09    9.00000e-01   
 1.00625e-09    9.88202e-01   
 1.00685e-09    9.66400e-01   
 1.00732e-09    9.43384e-01   
 1.00777e-09    9.30317e-01   
 1.00810e-09    9.22261e-01   
 1.00858e-09    9.15084e-01   
 1.00915e-09    9.08894e-01   
 1.00957e-09    9.06387e-01   
 1.01000e-09    9.04175e-01   
 1.01085e-09    9.02475e-01   
 1.01198e-09    9.00863e-01   
 1.01336e-09    9.00218e-01   
 1.01611e-09    8.99983e-01   
 1.01935e-09    9.00002e-01   
 1.02511e-09    9.00000e-01   
 1.03620e-09    8.99999e-01   
 1.05837e-09    9.00001e-01   
 1.10272e-09    8.99999e-01   
 1.19141e-09    9.00001e-01   
 1.36880e-09    8.99999e-01   
 1.72358e-09    9.00001e-01   
 2.43313e-09    8.99999e-01   
 3.43313e-09    9.00001e-01   
 4.43313e-09    8.99999e-01   
 5.43313e-09    9.00001e-01   
 6.43313e-09    8.99999e-01   
 7.43313e-09    9.00001e-01   
 8.43313e-09    8.99999e-01   
 9.43313e-09    9.00001e-01   
 1.04331e-08    8.99999e-01   
 1.14331e-08    9.00001e-01   
 1.24331e-08    8.99999e-01   
 1.34331e-08    9.00001e-01   
 1.44331e-08    8.99999e-01   
 1.54331e-08    9.00001e-01   
 1.64331e-08    8.99999e-01   
 1.74331e-08    9.00001e-01   
 1.84331e-08    8.99999e-01   
 1.94331e-08    9.00001e-01   
 2.04331e-08    8.99999e-01   
 2.14331e-08    9.00001e-01   
 2.24331e-08    8.99999e-01   
 2.34331e-08    9.00001e-01   
 2.44331e-08    8.99999e-01   
 2.54331e-08    9.00001e-01   
 2.64331e-08    8.99999e-01   
 2.74331e-08    9.00001e-01   
 2.84331e-08    8.99999e-01   
 2.94331e-08    9.00001e-01   
 3.04331e-08    8.99999e-01   
 3.14331e-08    9.00001e-01   
 3.24331e-08    8.99999e-01   
 3.34331e-08    9.00001e-01   
 3.44331e-08    8.99999e-01   
 3.54331e-08    9.00001e-01   
 3.64331e-08    8.99999e-01   
 3.74331e-08    9.00001e-01   
 3.84331e-08    8.99999e-01   
 3.94331e-08    9.00001e-01   
 4.04331e-08    8.99999e-01   
 4.14331e-08    9.00001e-01   
 4.24331e-08    8.99999e-01   
 4.34331e-08    9.00001e-01   
 4.44331e-08    8.99999e-01   
 4.54331e-08    9.00001e-01   
 4.64331e-08    8.99999e-01   
 4.74331e-08    9.00001e-01   
 4.84331e-08    8.99999e-01   
 4.92166e-08    9.00001e-01   
 5.00000e-08    8.99999e-01   
 5.00100e-08    9.00000e-01   
 5.00300e-08    9.00000e-01   
