input_code,nominal_output,calibrated_output
0.000000000,0,0
0.062500938,0,0
0.125001877,0,0
0.187502815,0,0
0.250003754,0,0
0.312504692,0,0
0.375005631,0,0
0.437506569,0,0
0.500007507,0,0
0.562508446,0,0
0.625009384,0,0
0.687510323,0,0
0.750011261,0,0
0.812512200,0,0
0.875013138,0,0
0.937514076,0,0
1.000015015,1,1
1.062515953,1,1
1.125016892,1,1
1.187517830,1,1
1.250018769,1,1
1.312519707,1,1
1.375020645,1,1
1.437521584,1,1
1.500022522,1,1
1.562523461,1,1
1.625024399,1,1
1.687525338,1,1
1.750026276,1,1
1.812527214,1,1
1.875028153,1,1
1.937529091,1,1
2.000030030,2,2
2.062530968,2,2
2.125031907,2,2
2.187532845,2,2
2.250033783,2,2
2.312534722,2,2
2.375035660,2,2
2.437536599,2,2
2.500037537,2,2
2.562538476,2,2
2.625039414,2,2
2.687540352,2,2
2.750041291,2,2
2.812542229,2,2
2.875043168,2,2
2.937544106,2,2
3.000045045,3,3
3.062545983,3,3
3.125046921,3,3
3.187547860,3,3
3.250048798,3,3
3.312549737,3,3
3.375050675,3,3
3.437551614,3,3
3.500052552,3,3
3.562553491,3,3
3.625054429,3,3
3.687555367,3,3
3.750056306,3,3
3.812557244,3,3
3.875058183,3,3
3.937559121,3,3
4.000060060,4,4
4.062560998,4,4
4.125061936,4,4
4.187562875,4,4
4.250063813,4,4
4.312564752,4,4
4.375065690,4,4
4.437566629,4,4
4.500067567,4,4
4.562568505,4,4
4.625069444,4,4
4.687570382,4,4
4.750071321,4,4
4.812572259,4,4
4.875073198,4,4
4.937574136,4,4
5.000075074,5,5
5.062576013,5,5
5.125076951,5,5
5.187577890,5,5
5.250078828,5,5
5.312579767,5,5
5.375080705,5,5
5.437581643,5,5
5.500082582,5,5
5.562583520,5,5
5.625084459,5,5
5.687585397,5,5
5.750086336,5,5
5.812587274,5,5
5.875088212,5,5
5.937589151,5,5
6.000090089,6,6
6.062591028,6,6
6.125091966,6,6
6.187592905,6,6
6.250093843,6,6
6.312594781,6,6
6.375095720,6,6
6.437596658,6,6
6.500097597,6,6
6.562598535,6,6
6.625099474,6,6
6.687600412,6,6
6.750101350,6,6
6.812602289,6,6
6.875103227,6,6
6.937604166,6,6
7.000105104,7,7
7.062606043,7,7
7.125106981,7,7
7.187607919,7,7
7.250108858,7,7
7.312609796,7,7
7.375110735,7,7
7.437611673,7,7
7.500112612,7,7
7.562613550,7,7
7.625114488,7,7
7.687615427,7,7
7.750116365,7,7
7.812617304,7,7
7.875118242,7,7
7.937619181,7,7
8.000120119,8,8
8.062621057,8,8
8.125121996,8,8
8.187622934,8,8
8.250123873,8,8
8.312624811,8,8
8.375125750,8,8
8.437626688,8,8
8.500127626,8,8
8.562628565,8,8
8.625129503,8,8
8.687630442,8,8
8.750131380,8,8
8.812632319,8,8
8.875133257,8,8
8.937634195,8,8
9.000135134,9,9
9.062636072,9,9
9.125137011,9,9
9.187637949,9,9
9.250138888,9,9
9.312639826,9,9
9.375140764,9,9
9.437641703,9,9
9.500142641,9,9
9.562643580,9,9
9.625144518,9,9
9.687645457,9,9
9.750146395,9,9
9.812647333,9,9
9.875148272,9,9
9.937649210,9,9
10.000150149,10,10
10.062651087,10,10
10.125152026,10,10
10.187652964,10,10
10.250153902,10,10
10.312654841,10,10
10.375155779,10,10
10.437656718,10,10
10.500157656,10,10
10.562658595,10,10
10.625159533,10,10
10.687660472,10,10
10.750161410,10,10
10.812662348,10,10
10.875163287,10,10
10.937664225,10,10
11.000165164,11,11
