input_code,nominal_output,calibrated_output,nominal_offset_only_output,calibrated_offset_only_output
0.000000000,0,0,0,0
0.066485915,0,0,0,0
0.132971830,0,0,0,0
0.199457745,0,0,0,0
0.265943660,0,0,0,0
0.332429574,0,0,0,0
0.398915489,0,0,0,0
0.465401404,0,0,0,0
0.531887319,0,0,0,0
0.598373234,0,0,0,0
0.664859149,0,0,0,0
0.731345064,0,0,0,0
0.797830979,0,0,0,0
0.864316894,0,0,0,0
0.930802808,0,0,0,0
0.997288723,0,0,0,0
1.063774638,1,1,0,0
1.130260553,1,1,0,0
1.196746468,1,1,0,0
1.263232383,1,1,0,0
1.329718298,1,1,0,0
1.396204213,1,1,0,0
1.462690127,1,1,0,0
1.529176042,1,1,0,0
1.595661957,1,1,0,0
1.662147872,1,1,0,0
1.728633787,1,1,0,0
1.795119702,1,1,0,0
1.861605617,1,1,0,0
1.928091532,1,1,0,0
1.994577447,1,1,0,0
2.061063361,2,2,0,0
2.127549276,2,2,0,0
2.194035191,2,2,0,0
2.260521106,2,2,0,0
2.327007021,2,2,0,0
2.393492936,2,2,0,0
2.459978851,2,2,0,0
2.526464766,2,2,0,0
2.592950681,2,2,0,0
2.659436595,2,2,0,0
2.725922510,2,2,0,0
2.792408425,2,2,0,0
2.858894340,2,2,0,0
2.925380255,2,2,0,0
2.991866170,2,2,0,0
3.058352085,3,3,0,0
3.124838000,3,3,0,0
3.191323914,3,3,0,0
3.257809829,3,3,0,0
3.324295744,3,3,0,0
3.390781659,3,3,0,0
3.457267574,3,3,0,0
3.523753489,3,3,0,0
3.590239404,3,3,0,0
3.656725319,3,3,0,0
3.723211234,3,3,0,0
3.789697148,3,3,0,0
3.856183063,3,3,0,0
3.922668978,3,3,0,0
3.989154893,3,3,0,0
4.055640808,4,4,0,0
4.122126723,4,4,0,0
4.188612638,4,4,0,0
4.255098553,4,4,0,0
4.321584468,4,4,0,0
4.388070382,4,4,0,0
4.454556297,4,4,0,0
4.521042212,4,4,0,0
4.587528127,4,4,0,0
4.654014042,4,4,0,0
4.720499957,4,4,0,0
4.786985872,4,4,0,0
4.853471787,4,4,0,0
4.919957702,4,4,0,0
4.986443616,4,4,0,0
5.052929531,5,5,0,0
5.119415446,5,5,0,0
5.185901361,5,5,0,0
5.252387276,5,5,0,0
5.318873191,5,5,0,0
5.385359106,5,5,0,0
5.451845021,5,5,0,0
5.518330935,5,5,0,0
5.584816850,5,5,0,0
5.651302765,5,5,0,0
5.717788680,5,5,0,0
5.784274595,5,5,0,0
5.850760510,5,5,0,0
5.917246425,5,5,0,0
5.983732340,5,5,0,0
6.050218255,6,6,0,0
6.116704169,6,6,0,0
6.183190084,6,6,0,0
6.249675999,6,6,0,0
6.316161914,6,6,0,0
6.382647829,6,6,0,0
6.449133744,6,6,0,0
6.515619659,6,6,0,0
6.582105574,6,6,0,0
6.648591489,6,6,0,0
6.715077403,6,6,0,0
6.781563318,6,6,0,0
6.848049233,6,6,0,0
6.914535148,6,6,0,0
6.981021063,6,6,0,0
7.047506978,7,7,0,0
7.113992893,7,7,0,0
7.180478808,7,7,0,0
7.246964722,7,7,0,0
7.313450637,7,7,0,0
7.379936552,7,7,0,0
7.446422467,7,7,0,0
