input_code,nominal_output,calibrated_output,nominal_offset_only_output,calibrated_offset_only_output
0.000000000,0,0,0,0
0.066556017,0,0,0,0
0.133112033,0,0,0,0
0.199668050,0,0,0,0
0.266224066,0,0,0,0
0.332780083,0,0,0,0
0.399336099,0,0,0,0
0.465892116,0,0,0,0
0.532448132,0,0,0,0
0.599004149,0,0,0,0
0.665560165,0,0,0,0
0.732116182,0,0,0,0
0.798672198,0,0,0,0
0.865228215,0,0,0,0
0.931784232,0,0,0,0
0.998340248,0,0,0,0
1.064896265,1,1,0,0
1.131452281,1,1,0,0
1.198008298,1,1,0,0
1.264564314,1,1,0,0
1.331120331,1,1,0,0
1.397676347,1,1,0,0
1.464232364,1,1,0,0
1.530788380,1,1,0,0
1.597344397,1,1,0,0
1.663900414,1,1,0,0
1.730456430,1,1,0,0
1.797012447,1,1,0,0
1.863568463,1,1,0,0
1.930124480,1,1,0,0
1.996680496,1,1,0,0
2.063236513,2,2,0,0
2.129792529,2,2,0,0
2.196348546,2,2,0,0
2.262904562,2,2,0,0
2.329460579,2,2,0,0
2.396016595,2,2,0,0
2.462572612,2,2,0,0
2.529128629,2,2,0,0
2.595684645,2,2,0,0
2.662240662,2,2,0,0
2.728796678,2,2,0,0
2.795352695,2,2,0,0
2.861908711,2,2,0,0
2.928464728,2,2,0,0
2.995020744,2,2,0,0
3.061576761,3,3,0,0
3.128132777,3,3,0,0
3.194688794,3,3,0,0
3.261244810,3,3,0,0
3.327800827,3,3,0,0
3.394356844,3,3,0,0
3.460912860,3,3,0,0
3.527468877,3,3,0,0
3.594024893,3,3,0,0
3.660580910,3,3,0,0
3.727136926,3,3,0,0
3.793692943,3,3,0,0
3.860248959,3,3,0,0
3.926804976,3,3,0,0
3.993360992,3,3,0,0
4.059917009,4,4,0,0
4.126473026,4,4,0,0
4.193029042,4,4,0,0
4.259585059,4,4,0,0
4.326141075,4,4,0,0
4.392697092,4,4,0,0
4.459253108,4,4,0,0
4.525809125,4,4,0,0
4.592365141,4,4,0,0
4.658921158,4,4,0,0
4.725477174,4,4,0,0
4.792033191,4,4,0,0
4.858589207,4,4,0,0
4.925145224,4,4,0,0
4.991701241,4,4,0,0
5.058257257,5,5,0,0
5.124813274,5,5,0,0
5.191369290,5,5,0,0
5.257925307,5,5,0,0
5.324481323,5,5,0,0
5.391037340,5,5,0,0
5.457593356,5,5,0,0
5.524149373,5,5,0,0
5.590705389,5,5,0,0
5.657261406,5,5,0,0
5.723817423,5,5,0,0
5.790373439,5,5,0,0
5.856929456,5,5,0,0
5.923485472,5,5,0,0
5.990041489,5,5,0,0
6.056597505,6,6,0,0
6.123153522,6,6,0,0
6.189709538,6,6,0,0
6.256265555,6,6,0,0
6.322821571,6,6,0,0
6.389377588,6,6,0,0
6.455933604,6,6,0,0
6.522489621,6,6,0,0
6.589045638,6,6,0,0
6.655601654,6,6,0,0
6.722157671,6,6,0,0
6.788713687,6,6,0,0
6.855269704,6,6,0,0
6.921825720,6,6,0,0
6.988381737,6,6,0,0
7.054937753,7,7,0,0
7.121493770,7,7,0,0
7.188049786,7,7,0,0
7.254605803,7,7,0,0
7.321161819,7,7,0,0
7.387717836,7,7,0,0
7.454273853,7,7,0,0
7.520829869,7,7,0,0
7.587385886,7,7,0,0
7.653941902,7,7,0,0
7.720497919,7,7,0,0
7.787053935,7,7,0,0
7.853609952,7,7,0,0
7.920165968,7,7,0,0
7.986721985,7,7,0,0
8.053278001,8,8,0,0
8.119834018,8,8,0,0
8.186390035,8,8,0,0
8.252946051,8,8,0,0
8.319502068,8,8,0,0
8.386058084,8,8,0,0
8.452614101,8,8,0,0
8.519170117,8,8,0,0
8.585726134,8,8,0,0
8.652282150,8,8,0,0
8.718838167,8,8,0,0
8.785394183,8,8,0,0
8.851950200,8,8,0,0
8.918506216,8,8,0,0
8.985062233,8,8,0,0
9.051618250,8,8,0,0
9.118174266,8,8,0,0
9.184730283,8,8,0,0
9.251286299,8,8,0,0
9.317842316,8,8,0,0
9.384398332,8,8,0,0
9.450954349,8,8,0,0
9.517510365,8,8,0,0
9.584066382,8,8,0,0
9.650622398,8,8,0,0
9.717178415,8,8,0,0
9.783734431,8,8,0,0
9.850290448,8,8,0,0
9.916846465,8,8,0,0
9.983402481,8,8,0,0
10.049958498,9,9,0,0
10.116514514,9,9,0,0
10.183070531,9,9,0,0
10.249626547,9,9,0,0
10.316182564,9,9,0,0
10.382738580,9,9,0,0
10.449294597,9,9,0,0
10.515850613,9,9,0,0
10.582406630,9,9,0,0
10.648962647,9,9,0,0
10.715518663,9,9,0,0
10.782074680,9,9,0,0
10.848630696,9,9,0,0
10.915186713,9,9,0,0
10.981742729,9,9,0,0
11.048298746,10,10,0,0
11.114854762,10,10,0,0
11.181410779,10,10,0,0
11.247966795,10,10,0,0
11.314522812,10,10,0,0
11.381078828,10,10,0,0
11.447634845,10,10,0,0
11.514190862,10,10,0,0
11.580746878,10,10,0,0
11.647302895,10,10,0,0
11.713858911,10,10,0,0
11.780414928,10,10,0,0
11.846970944,10,10,0,0
11.913526961,10,10,0,0
11.980082977,10,10,0,0
12.046638994,11,11,0,0
12.113195010,11,11,0,0
12.179751027,11,11,0,0
12.246307044,11,11,0,0
12.312863060,11,11,0,0
12.379419077,11,11,0,0
12.445975093,11,11,0,0
12.512531110,11,11,0,0
12.579087126,11,11,0,0
12.645643143,11,11,0,0
12.712199159,11,11,0,0
12.778755176,11,11,0,0
12.845311192,11,11,0,0
12.911867209,11,11,0,0
