case,designPointNumber,td,AZ_time_ns_equiv,corner,pointID,statusCode,statusMessage,ENOB_bits,SNR_dB,SFDR_dB,SWITCHESPOWER_uW,COMPOWER_uW,LOGICPOWER_uW,SYNCPOWER_uW,SRPOWER_uW,Power_uW,startTime,stopTime,memoryUsed
2026-06-09_full_noise_nominal,1,24.05n,0.05,tt,5,3,done,11.433288,70.683843,82.593508,79.4251,162.8954,41.4931,14.6709,12.5844,355.4143,1780970463.0,1780972514.0,
2026-06-09_full_noise_nominal,1,24.05n,0.05,ff,1,3,done,11.284093,70.233569,80.374600,85.9546,207.0489,44.2491,15.2375,12.8790,413.0391,1780970463.0,1780972465.0,
2026-06-09_full_noise_nominal,1,24.05n,0.05,ss,4,3,done,11.473031,70.871098,82.741175,74.9607,134.2606,39.7092,14.3306,12.1757,317.8387,1780970470.0,1780972205.0,
2026-06-09_full_noise_nominal,1,24.05n,0.05,sf,3,3,done,11.336727,70.225443,80.111622,78.9304,176.5124,42.5272,14.5993,12.4495,369.5030,1780970470.0,1780972477.0,
2026-06-09_full_noise_nominal,1,24.05n,0.05,fs,2,3,done,11.246876,69.614736,81.608747,81.3433,156.1598,41.0607,14.8266,12.5733,350.7696,1780970470.0,1780972468.0,
2026-06-09_full_noise_nominal,2,28n,4.00,tt,10,3,done,11.583008,71.500572,83.662535,79.4332,176.3055,41.4943,14.6712,12.5477,368.7803,1780972514.0,1780974496.0,
2026-06-09_full_noise_nominal,2,28n,4.00,ff,6,3,done,11.475874,71.599955,80.347903,85.8947,223.6190,44.2445,15.2376,12.8914,428.8798,1780972465.0,1780974486.0,
2026-06-09_full_noise_nominal,2,28n,4.00,ss,9,3,done,11.387845,70.404747,82.183781,74.9784,144.6925,39.7171,14.3309,12.1065,328.2727,1780972205.0,1780974060.0,
2026-06-09_full_noise_nominal,2,28n,4.00,sf,8,3,done,11.494812,71.470106,80.966832,78.9220,190.1689,42.5259,14.6000,12.4544,383.1464,1780972477.0,1780974465.0,
2026-06-09_full_noise_nominal,2,28n,4.00,fs,7,3,done,11.493543,71.472814,80.703135,81.2701,169.2155,41.0552,14.8266,12.5265,363.4071,1780972468.0,1780974471.0,
