dataset,identity,design_point,point_id,corner,status_code,td,WK1,WK2,caz,caz1,cb,cbin,RON,IB,temperature,ENOB,ENOB_errorID,SNR,SNR_errorID,SFDR,SFDR_errorID,Power_uW,Power_errorID,COMPOWER_uW,COMPOWER_errorID,SRPOWER_uW,SRPOWER_errorID,SWITCHESPOWER_uW,SWITCHESPOWER_errorID,LOGICPOWER_uW,LOGICPOWER_errorID,SYNCPOWER_uW,SYNCPOWER_errorID
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,1,5,tt,3,28n,300n,300n,300f,300f,1p,500f,150,500n,27,10.653846,,65.978504,,76.965494,,207.109779,,112.137141,,13.449638,,73.969660,,,7,,8
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,1,1,ff,3,28n,300n,300n,300f,300f,1p,500f,150,500n,27,10.517760,,64.954088,,77.010018,,245.119724,,143.920461,,14.078640,,79.269740,,,11,,12
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,1,4,ss,3,28n,300n,300n,300f,300f,1p,500f,150,500n,27,10.569196,,65.622400,,77.972049,,178.277395,,87.867110,,12.400998,,70.267609,,,9,,10
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,1,3,sf,3,28n,300n,300n,300f,300f,1p,500f,150,500n,27,10.524275,,64.908978,,77.032953,,210.002646,,115.024480,,13.294214,,74.388518,,,2,,3
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,1,2,fs,3,28n,300n,300n,300f,300f,1p,500f,150,500n,27,10.709281,,66.604716,,79.325605,,206.326930,,110.486387,,13.601813,,74.459450,,,5,,6
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,2,10,tt,3,28n,300n,2u,300f,300f,1p,500f,150,500n,27,9.839436,,61.054466,,72.805344,,283.921205,,188.903475,,14.804603,,73.970837,,,7,,8
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,2,6,ff,3,28n,300n,2u,300f,300f,1p,500f,150,500n,27,10.034419,,62.123843,,72.598056,,339.872893,,238.686432,,15.520876,,79.268064,,,11,,12
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,2,9,ss,3,28n,300n,2u,300f,300f,1p,500f,150,500n,27,9.896079,,61.322976,,72.621143,,237.747117,,147.244107,,14.101809,,70.269539,,,9,,10
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,2,8,sf,3,28n,300n,2u,300f,300f,1p,500f,150,500n,27,9.619698,,59.575718,,69.990028,,292.784849,,197.758022,,14.528276,,74.399266,,,2,,3
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,2,7,fs,3,28n,300n,2u,300f,300f,1p,500f,150,500n,27,9.962898,,61.633036,,73.771346,,278.362532,,182.403863,,15.159512,,74.460006,,,5,,6
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,3,15,tt,3,28n,300n,5u,300f,300f,1p,500f,150,500n,27,8.833261,,55.266816,,66.292597,,317.303693,,222.270879,,16.059337,,73.966646,,,7,,8
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,3,11,ff,3,28n,300n,5u,300f,300f,1p,500f,150,500n,27,9.150781,,56.550761,,66.049831,,371.071531,,269.913642,,16.687295,,79.271979,,,11,,12
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,3,14,ss,3,28n,300n,5u,300f,300f,1p,500f,150,500n,27,9.188106,,57.407504,,68.667681,,266.912300,,176.479571,,15.243556,,70.266560,,,9,,10
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,3,13,sf,3,28n,300n,5u,300f,300f,1p,500f,150,500n,27,8.876472,,55.601829,,66.560113,,333.961872,,238.898487,,15.609249,,74.395341,,,2,,3
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,3,12,fs,3,28n,300n,5u,300f,300f,1p,500f,150,500n,27,9.023224,,56.139259,,67.855352,,298.299357,,202.391683,,16.361280,,74.461834,,,5,,6
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,4,20,tt,3,28n,2u,300n,300f,300f,1p,500f,150,500n,27,10.526463,,65.119981,,76.348663,,286.651133,,191.597408,,14.614960,,73.974347,,,7,,8
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,4,16,ff,3,28n,2u,300n,300f,300f,1p,500f,150,500n,27,10.385053,,64.013663,,76.605844,,341.286596,,240.109935,,15.282524,,79.272001,,,11,,12
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,4,19,ss,3,28n,2u,300n,300f,300f,1p,500f,150,500n,27,10.175668,,63.073560,,74.505418,,240.980381,,150.491413,,13.890589,,70.268373,,,9,,10
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,4,18,sf,3,28n,2u,300n,300f,300f,1p,500f,150,500n,27,10.177079,,63.088064,,74.447898,,293.932113,,198.917980,,14.338555,,74.402457,,,2,,3
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,4,17,fs,3,28n,2u,300n,300f,300f,1p,500f,150,500n,27,10.414835,,64.750554,,75.177310,,282.092017,,186.110827,,14.950890,,74.462215,,,5,,6
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,5,25,tt,3,28n,2u,2u,300f,300f,1p,500f,150,500n,27,10.306452,,63.800853,,75.154033,,329.320664,,234.293616,,15.607925,,73.973570,,,7,,8
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,5,21,ff,3,28n,2u,2u,300f,300f,1p,500f,150,500n,27,10.331385,,63.912580,,75.902688,,384.853534,,283.686044,,16.265447,,79.272632,,,11,,12
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,5,24,ss,3,28n,2u,2u,300f,300f,1p,500f,150,500n,27,10.300301,,63.746529,,76.022193,,277.292588,,186.761119,,14.827906,,70.270999,,,9,,10
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,5,23,sf,3,28n,2u,2u,300f,300f,1p,500f,150,500n,27,10.318012,,63.622444,,76.293342,,342.688944,,247.594299,,15.191650,,74.403602,,,2,,3
2026-06-11_NF10_新结构_最新结果,新结构 NF=10 取出结果,5,22,fs,3,28n,2u,2u,300f,300f,1p,500f,150,500n,27,10.273270,,63.927396,,74.363649,,313.870125,,217.936936,,15.961774,,74.463259,,,5,,6
