td,AZ_time_ns_equiv,metric,unit,sampling_noise_only_NOISEFACTOR10,full_noise_nominal_NOISEFACTOR1,full_minus_stress,full_div_stress_pct
24.05n,0.050000,ENOB_avg,bit,8.752400,11.354803,2.602403,129.733594
24.05n,0.050000,ENOB_min,bit,8.664500,11.246876,2.582376,129.804095
24.05n,0.050000,SNR_avg,dB,54.339600,70.325738,15.986138,129.418947
24.05n,0.050000,SNR_min,dB,53.710600,69.614736,15.904136,129.610796
24.05n,0.050000,SFDR_avg,dB,66.687500,81.485930,14.798430,122.190711
24.05n,0.050000,Power_avg,uW,294.497400,361.312937,66.815537,122.687989
24.05n,0.050000,COMPOWER_avg,uW,163.192000,167.375413,4.183413,102.563491
28n,4.000000,ENOB_avg,bit,10.348400,11.487017,1.138617,111.002827
28n,4.000000,ENOB_min,bit,10.230500,11.387845,1.157345,111.312690
28n,4.000000,SNR_avg,dB,63.957400,71.289639,7.332239,111.464254
28n,4.000000,SNR_min,dB,63.147300,70.404747,7.257447,111.492886
28n,4.000000,SFDR_avg,dB,75.668800,81.572837,5.904037,107.802472
28n,4.000000,Power_avg,uW,307.816700,374.497243,66.680543,121.662419
28n,4.000000,COMPOWER_avg,uW,176.200900,180.800253,4.599353,102.610289
