corner,az_ns,td,baseline_snr_db,snr_db,delta_snr_db,noise_power_reduction_x,residual_noise_power_pct_of_0p05ns,cancelled_noise_power_pct,residual_noise_rms_voltage_pct_of_0p05ns,baseline_enob,enob,delta_enob,residual_noise_power_x_nominal_due_to_NF10
tt,2.0,26ns,53.822,65.4856,11.6636,14.667632,6.817733,93.182267,26.110789,8.6968,10.5991,1.9023,6.817733
tt,4.0,28ns,53.822,65.9413,12.1193,16.290334,6.138609,93.861391,24.776217,8.6968,10.6877,1.9909,6.138609
ff,2.0,26ns,54.6789,64.3925,9.7136,9.361814,10.681691,89.318309,32.682856,8.8092,10.4071,1.5979,10.681691
ff,4.0,28ns,54.6789,63.5149,8.836,7.648918,13.073745,86.926255,36.157634,8.8092,10.2305,1.4213,13.073745
ss,2.0,26ns,55.4949,64.3668,8.8719,7.712408,12.966119,87.033881,36.008497,8.8742,10.4426,1.5684,12.966119
ss,4.0,28ns,55.4949,63.2268,7.7319,5.931848,16.858153,83.141847,41.058682,8.8742,10.2421,1.3679,16.858153
sf,2.0,26ns,53.7106,62.7188,9.0082,7.958294,12.565507,87.434493,35.447858,8.6645,10.1086,1.4441,12.565507
sf,4.0,28ns,53.7106,63.9569,10.2463,10.583517,9.448655,90.551345,30.738665,8.6645,10.3411,1.6766,9.448655
fs,2.0,26ns,53.9914,62.6101,8.6187,7.27562,13.744533,86.255467,37.07362,8.717,10.1423,1.4253,13.744533
fs,4.0,28ns,53.9914,63.1473,9.1559,8.233604,12.145349,87.854651,34.850178,8.717,10.2405,1.5235,12.145349
