method,stage,samples,mismatch_sigma_relative,offset_sigma_lsb,noise_sigma_lsb,pairs,bias,std,rmse,p05,p95
legacy_magnitude,H1C-A,1200,0.01,0.5,0.75,32,-0.001271227146854077,0.09609496793748215,0.09606333160461836,-0.1604851488287437,0.15671216447264472
legacy_magnitude,H1C-R,1200,0.01,0.5,0.75,32,0.4933753571025921,0.49047358280732284,0.6955451877113633,-0.0425155744178646,1.4295614357731448
legacy_magnitude,H2C,1200,0.01,0.5,0.75,32,0.9691897060468593,1.0716933101765072,1.4446100276285796,-0.06034056652498094,3.175950894084893
legacy_magnitude,H4C,1200,0.01,0.5,0.75,32,2.1737467542688496,2.3152906059890253,3.1751028959258787,-0.08686697161010101,6.636258968791119
legacy_magnitude,H8C,1200,0.01,0.5,0.75,32,4.7215742328534915,4.656959307732585,6.6304193310248705,-0.07553510102687255,13.685625191638632
legacy_magnitude,H16C,1200,0.01,0.5,0.75,32,9.935967375662724,9.525418120907432,13.76159244938719,-0.07462945777828053,28.234542782601615
legacy_magnitude,H32C,1200,0.01,0.5,0.75,32,21.033690918375484,19.55984452533843,28.71732662650924,-0.06341764584285556,57.63011975965977
wall_signed_candidate,H1C-A,1200,0.01,0.5,0.75,32,0.0018016895198125897,0.10143124185444108,0.10140497684321585,-0.15777531859848254,0.17524386034654
wall_signed_candidate,H1C-R,1200,0.01,0.5,0.75,32,0.0011227529359254737,0.09856306604191796,0.09852838675604589,-0.1582247910225849,0.171753592300405
wall_signed_candidate,H2C,1200,0.01,0.5,0.75,32,0.004866789380192624,0.09927578199084032,0.09935367865034372,-0.15912811419146067,0.16539890006024788
wall_signed_candidate,H4C,1200,0.01,0.5,0.75,32,0.0030045667688496044,0.10050770803249941,0.10051073887535433,-0.1576372853905667,0.17058267782925754
wall_signed_candidate,H8C,1200,0.01,0.5,0.75,32,0.0007539203534914425,0.10065297047996889,0.10061384768154694,-0.16322734348014478,0.16063835640293855
wall_signed_candidate,H16C,1200,0.01,0.5,0.75,32,-0.0012331451706100438,0.09938876086093455,0.09935499313570477,-0.16215847622308957,0.15733787280718153
wall_signed_candidate,H32C,1200,0.01,0.5,0.75,32,0.005188314208815352,0.10083660959103893,0.10092802924171669,-0.1598682615056987,0.16399593383071076
