method,stage_id,name,physical,wall,estimate,error,relative_error_percent
legacy_empirical_replay,0,H1C-A,65.0,0.0,65.0,0.0,0.0
legacy_empirical_replay,1,H1C-R,65.0,65.0,65.46875,0.46875,0.7211538461538461
legacy_empirical_replay,2,H2C,130.0,130.46875,130.46875,0.46875,0.3605769230769231
legacy_empirical_replay,3,H4C,260.0,260.9375,260.9375,0.9375,0.3605769230769231
legacy_empirical_replay,4,H8C,520.0,521.875,521.875,1.875,0.3605769230769231
legacy_empirical_replay,5,H16C,1040.0,1043.75,1043.75,3.75,0.3605769230769231
legacy_empirical_replay,6,H32C,2080.0,2087.5,2087.5,7.5,0.3605769230769231
wall_signed_candidate_ideal,0,H1C-A,65.0,0,65.0,0.0,0.0
wall_signed_candidate_ideal,1,H1C-R,65.0,65.0,65.0,0.0,0.0
wall_signed_candidate_ideal,2,H2C,130.0,130.0,130.0,0.0,0.0
wall_signed_candidate_ideal,3,H4C,260.0,260.0,260.0,0.0,0.0
wall_signed_candidate_ideal,4,H8C,520.0,520.0,520.0,0.0,0.0
wall_signed_candidate_ideal,5,H16C,1040.0,1040.0,1040.0,0.0,0.0
wall_signed_candidate_ideal,6,H32C,2080.0,2080.0,2080.0,0.0,0.0
