target_id,pair,d_plus,d_minus,diff,estimate
0,0,65.0,-65.0,130.0,65.0
0,1,65.0,-65.0,130.0,65.0
0,2,65.0,-65.0,130.0,65.0
0,3,65.0,-65.0,130.0,65.0
0,4,65.0,-65.0,130.0,65.0
0,5,65.0,-65.0,130.0,65.0
0,6,65.0,-65.0,130.0,65.0
0,7,65.0,-65.0,130.0,65.0
0,8,65.0,-65.0,130.0,65.0
0,9,65.0,-65.0,130.0,65.0
0,10,65.0,-65.0,130.0,65.0
0,11,65.0,-65.0,130.0,65.0
0,12,65.0,-65.0,130.0,65.0
0,13,65.0,-65.0,130.0,65.0
0,14,65.0,-65.0,130.0,65.0
0,15,65.0,-65.0,130.0,65.0
0,16,65.0,-65.0,130.0,65.0
0,17,65.0,-65.0,130.0,65.0
0,18,65.0,-65.0,130.0,65.0
0,19,65.0,-65.0,130.0,65.0
0,20,65.0,-65.0,130.0,65.0
0,21,65.0,-65.0,130.0,65.0
0,22,65.0,-65.0,130.0,65.0
0,23,65.0,-65.0,130.0,65.0
0,24,65.0,-65.0,130.0,65.0
0,25,65.0,-65.0,130.0,65.0
0,26,65.0,-65.0,130.0,65.0
0,27,65.0,-65.0,130.0,65.0
0,28,65.0,-65.0,130.0,65.0
0,29,65.0,-65.0,130.0,65.0
0,30,65.0,-65.0,130.0,65.0
0,31,65.0,-65.0,130.0,65.0
1,0,65.0,-66.0,131.0,65.5
1,1,65.0,-66.0,131.0,65.5
1,2,65.0,-66.0,131.0,65.5
1,3,66.0,-65.0,131.0,65.5
1,4,66.0,-66.0,132.0,66.0
1,5,65.0,-65.0,130.0,65.0
1,6,66.0,-66.0,132.0,66.0
1,7,65.0,-66.0,131.0,65.5
1,8,65.0,-66.0,131.0,65.5
1,9,65.0,-66.0,131.0,65.5
1,10,65.0,-65.0,130.0,65.0
1,11,66.0,-66.0,132.0,66.0
1,12,65.0,-66.0,131.0,65.5
1,13,65.0,-65.0,130.0,65.0
1,14,66.0,-66.0,132.0,66.0
1,15,66.0,-65.0,131.0,65.5
1,16,65.0,-65.0,130.0,65.0
1,17,65.0,-65.0,130.0,65.0
1,18,65.0,-66.0,131.0,65.5
1,19,65.0,-65.0,130.0,65.0
1,20,65.0,-66.0,131.0,65.5
1,21,65.0,-66.0,131.0,65.5
1,22,65.0,-66.0,131.0,65.5
1,23,65.0,-66.0,131.0,65.5
1,24,65.0,-66.0,131.0,65.5
1,25,65.0,-66.0,131.0,65.5
1,26,65.0,-66.0,131.0,65.5
1,27,65.0,-66.0,131.0,65.5
1,28,65.0,-66.0,131.0,65.5
1,29,65.0,-66.0,131.0,65.5
1,30,65.0,-66.0,131.0,65.5
1,31,65.0,-66.0,131.0,65.5
2,0,130.469,-130.469,260.938,130.469
2,1,130.469,-130.469,260.938,130.469
2,2,130.469,-130.469,260.938,130.469
2,3,130.469,-130.469,260.938,130.469
2,4,130.469,-130.469,260.938,130.469
2,5,130.469,-130.469,260.938,130.469
2,6,130.469,-130.469,260.938,130.469
2,7,130.469,-130.469,260.938,130.469
2,8,130.469,-130.469,260.938,130.469
2,9,130.469,-130.469,260.938,130.469
2,10,130.469,-130.469,260.938,130.469
2,11,130.469,-130.469,260.938,130.469
2,12,130.469,-130.469,260.938,130.469
2,13,130.469,-130.469,260.938,130.469
2,14,130.469,-130.469,260.938,130.469
2,15,130.469,-130.469,260.938,130.469
2,16,130.469,-130.469,260.938,130.469
2,17,130.469,-130.469,260.938,130.469
2,18,130.469,-130.469,260.938,130.469
2,19,130.469,-130.469,260.938,130.469
2,20,130.469,-130.469,260.938,130.469
2,21,130.469,-130.469,260.938,130.469
2,22,130.469,-130.469,260.938,130.469
2,23,130.469,-130.469,260.938,130.469
2,24,130.469,-130.469,260.938,130.469
2,25,130.469,-130.469,260.938,130.469
2,26,130.469,-130.469,260.938,130.469
2,27,130.469,-130.469,260.938,130.469
2,28,130.469,-130.469,260.938,130.469
2,29,130.469,-130.469,260.938,130.469
2,30,130.469,-130.469,260.938,130.469
2,31,130.469,-130.469,260.938,130.469
3,0,260.938,-260.938,521.875,260.9375
3,1,260.938,-260.938,521.875,260.9375
3,2,260.938,-260.938,521.875,260.9375
3,3,260.938,-260.938,521.875,260.9375
3,4,260.938,-260.938,521.875,260.9375
3,5,260.938,-260.938,521.875,260.9375
3,6,260.938,-260.938,521.875,260.9375
3,7,260.938,-260.938,521.875,260.9375
3,8,260.938,-260.938,521.875,260.9375
3,9,260.938,-260.938,521.875,260.9375
3,10,260.938,-260.938,521.875,260.9375
3,11,260.938,-260.938,521.875,260.9375
3,12,260.938,-260.938,521.875,260.9375
3,13,260.938,-260.938,521.875,260.9375
3,14,260.938,-260.938,521.875,260.9375
3,15,260.938,-260.938,521.875,260.9375
3,16,260.938,-260.938,521.875,260.9375
3,17,260.938,-260.938,521.875,260.9375
3,18,260.938,-260.938,521.875,260.9375
3,19,260.938,-260.938,521.875,260.9375
3,20,260.938,-260.938,521.875,260.9375
3,21,260.938,-260.938,521.875,260.9375
3,22,260.938,-260.938,521.875,260.9375
3,23,260.938,-260.938,521.875,260.9375
