perturbed_stage,output_stage,derivative
H1C-A,H1C-A,1.0000000000000087
H1C-A,H1C-R,0.0
H1C-A,H2C,0.0
H1C-A,H4C,0.0
H1C-A,H8C,0.0
H1C-A,H16C,0.0
H1C-A,H32C,0.0
H1C-R,H1C-A,0.0
H1C-R,H1C-R,1.0000000000000087
H1C-R,H2C,0.0
H1C-R,H4C,0.0
H1C-R,H8C,0.0
H1C-R,H16C,0.0
H1C-R,H32C,0.0
H2C,H1C-A,0.0
H2C,H1C-R,0.0
H2C,H2C,1.0000000000000087
H2C,H4C,0.0
H2C,H8C,0.0
H2C,H16C,0.0
H2C,H32C,0.0
H4C,H1C-A,0.0
H4C,H1C-R,0.0
H4C,H2C,0.0
H4C,H4C,1.0000000000000087
H4C,H8C,0.0
H4C,H16C,0.0
H4C,H32C,0.0
H8C,H1C-A,0.0
H8C,H1C-R,0.0
H8C,H2C,0.0
H8C,H4C,0.0
H8C,H8C,1.0000000000000087
H8C,H16C,0.0
H8C,H32C,0.0
H16C,H1C-A,0.0
H16C,H1C-R,0.0
H16C,H2C,0.0
H16C,H4C,0.0
H16C,H8C,0.0
H16C,H16C,1.0000000000000087
H16C,H32C,0.0
H32C,H1C-A,0.0
H32C,H1C-R,0.0
H32C,H2C,0.0
H32C,H4C,0.0
H32C,H8C,0.0
H32C,H16C,0.0
H32C,H32C,1.0000000000000087
