offset,continuous_estimate,continuous_error,quantized_estimate,quantized_error,d_plus,d_minus
-5.0,65.0,0.0,65.0,0.0,60.0,-70.0
-4.875,65.0,0.0,65.0,0.0,60.0,-70.0
-4.75,65.0,0.0,65.0,0.0,60.0,-70.0
-4.625,65.0,0.0,65.0,0.0,60.0,-70.0
-4.5,65.0,0.0,65.5,0.5,61.0,-70.0
-4.375,65.0,0.0,65.0,0.0,61.0,-69.0
-4.25,65.0,0.0,65.0,0.0,61.0,-69.0
-4.125,65.0,0.0,65.0,0.0,61.0,-69.0
-4.0,65.0,0.0,65.0,0.0,61.0,-69.0
-3.875,65.0,0.0,65.0,0.0,61.0,-69.0
-3.75,65.0,0.0,65.0,0.0,61.0,-69.0
-3.625,65.0,0.0,65.0,0.0,61.0,-69.0
-3.5,65.0,0.0,65.5,0.5,62.0,-69.0
-3.375,65.0,0.0,65.0,0.0,62.0,-68.0
-3.25,65.0,0.0,65.0,0.0,62.0,-68.0
-3.125,65.0,0.0,65.0,0.0,62.0,-68.0
-3.0,65.0,0.0,65.0,0.0,62.0,-68.0
-2.875,65.0,0.0,65.0,0.0,62.0,-68.0
-2.75,65.0,0.0,65.0,0.0,62.0,-68.0
-2.625,65.0,0.0,65.0,0.0,62.0,-68.0
-2.5,65.0,0.0,65.5,0.5,63.0,-68.0
-2.375,65.0,0.0,65.0,0.0,63.0,-67.0
-2.25,65.0,0.0,65.0,0.0,63.0,-67.0
-2.125,65.0,0.0,65.0,0.0,63.0,-67.0
-2.0,65.0,0.0,65.0,0.0,63.0,-67.0
-1.875,65.0,0.0,65.0,0.0,63.0,-67.0
-1.75,65.0,0.0,65.0,0.0,63.0,-67.0
-1.625,65.0,0.0,65.0,0.0,63.0,-67.0
-1.5,65.0,0.0,65.5,0.5,64.0,-67.0
-1.375,65.0,0.0,65.0,0.0,64.0,-66.0
-1.25,65.0,0.0,65.0,0.0,64.0,-66.0
-1.125,65.0,0.0,65.0,0.0,64.0,-66.0
-1.0,65.0,0.0,65.0,0.0,64.0,-66.0
-0.875,65.0,0.0,65.0,0.0,64.0,-66.0
-0.75,65.0,0.0,65.0,0.0,64.0,-66.0
-0.625,65.0,0.0,65.0,0.0,64.0,-66.0
-0.5,65.0,0.0,65.5,0.5,65.0,-66.0
-0.375,65.0,0.0,65.0,0.0,65.0,-65.0
-0.25,65.0,0.0,65.0,0.0,65.0,-65.0
-0.125,65.0,0.0,65.0,0.0,65.0,-65.0
0.0,65.0,0.0,65.0,0.0,65.0,-65.0
0.125,65.0,0.0,65.0,0.0,65.0,-65.0
0.25,65.0,0.0,65.0,0.0,65.0,-65.0
0.375,65.0,0.0,65.0,0.0,65.0,-65.0
0.5,65.0,0.0,65.5,0.5,66.0,-65.0
0.625,65.0,0.0,65.0,0.0,66.0,-64.0
0.75,65.0,0.0,65.0,0.0,66.0,-64.0
0.875,65.0,0.0,65.0,0.0,66.0,-64.0
1.0,65.0,0.0,65.0,0.0,66.0,-64.0
1.125,65.0,0.0,65.0,0.0,66.0,-64.0
1.25,65.0,0.0,65.0,0.0,66.0,-64.0
1.375,65.0,0.0,65.0,0.0,66.0,-64.0
1.5,65.0,0.0,65.5,0.5,67.0,-64.0
1.625,65.0,0.0,65.0,0.0,67.0,-63.0
1.75,65.0,0.0,65.0,0.0,67.0,-63.0
1.875,65.0,0.0,65.0,0.0,67.0,-63.0
2.0,65.0,0.0,65.0,0.0,67.0,-63.0
2.125,65.0,0.0,65.0,0.0,67.0,-63.0
2.25,65.0,0.0,65.0,0.0,67.0,-63.0
2.375,65.0,0.0,65.0,0.0,67.0,-63.0
2.5,65.0,0.0,65.5,0.5,68.0,-63.0
2.625,65.0,0.0,65.0,0.0,68.0,-62.0
2.75,65.0,0.0,65.0,0.0,68.0,-62.0
2.875,65.0,0.0,65.0,0.0,68.0,-62.0
3.0,65.0,0.0,65.0,0.0,68.0,-62.0
3.125,65.0,0.0,65.0,0.0,68.0,-62.0
3.25,65.0,0.0,65.0,0.0,68.0,-62.0
3.375,65.0,0.0,65.0,0.0,68.0,-62.0
3.5,65.0,0.0,65.5,0.5,69.0,-62.0
3.625,65.0,0.0,65.0,0.0,69.0,-61.0
3.75,65.0,0.0,65.0,0.0,69.0,-61.0
3.875,65.0,0.0,65.0,0.0,69.0,-61.0
4.0,65.0,0.0,65.0,0.0,69.0,-61.0
4.125,65.0,0.0,65.0,0.0,69.0,-61.0
4.25,65.0,0.0,65.0,0.0,69.0,-61.0
4.375,65.0,0.0,65.0,0.0,69.0,-61.0
4.5,65.0,0.0,65.5,0.5,70.0,-61.0
4.625,65.0,0.0,65.0,0.0,70.0,-60.0
4.75,65.0,0.0,65.0,0.0,70.0,-60.0
4.875,65.0,0.0,65.0,0.0,70.0,-60.0
5.0,65.0,0.0,65.0,0.0,70.0,-60.0
