seed,valid,calibration_error,nominal_sndr,physical_sndr,calibrated_sndr,oracle_gap_db,cal_gain_db,nominal_enob,physical_enob,calibrated_enob,nominal_sndr_int12,physical_sndr_int12,calibrated_sndr_int12,nominal_enob_int12,physical_enob_int12,calibrated_enob_int12,nominal_sfdr_int12,nominal_sfdr,physical_sfdr,calibrated_sfdr,dnl_peak,dnl_rms,inl_peak,inl_rms,n_missing,n_non_monotonic,n_float_backsteps,worst_float_step_lsb,max_integer_jump,max_float_rollback_lsb,max_integer_rollback_lsb,float_nonmonotonic_input_fraction,integer_nonmonotonic_input_fraction,err_H1C,err_H2C,err_H4C,err_H8C-R,err_H8C-A,err_H16C,err_H32C,ratio_H1C,ratio_H2C,ratio_H4C,ratio_H8C-R,ratio_H8C-A,ratio_H16C,ratio_H32C
10000,True,,69.225,74.709,74.479,0.23,5.254,11.207,12.118,12.08,67.928,71.425,71.197,10.991,11.572,11.534,79.657,79.654,96.374,94.386,0.7456790723514033,0.3304058638377231,0.7858855658094897,0.2981486929566027,0,134,166,-0.8376822781201554,1,0.8376822781201554,1,0.0005984202475979097,0.00017053527479855227,0.0861,0.1532,0.2311,0.2638,0.222,0.4303,0.677,0.000895,0.000764,0.000482,0.000108,2.9e-05,1.7e-05,-7.9e-05
10001,True,,66.884,74.723,74.586,0.137,7.702,10.818,12.12,12.097,66.083,71.197,71.19,10.685,11.534,11.533,71.539,71.549,96.09,96.369,0.6865655524070522,0.330520930536235,0.6584704340946679,0.26619027472278733,0,487,612,-0.8361675653259226,1,0.8361675653259226,1,0.0017929632195212812,0.0006972586681012007,0.1492,0.2724,0.552,1.2313,1.3431,2.3691,4.6902,7.4e-05,-0.000108,-7.5e-05,0.000148,0.000359,-8.9e-05,-1e-06
10002,True,,70.389,74.708,74.63,0.078,4.241,11.4,12.118,12.105,68.792,71.333,71.125,11.135,11.557,11.522,74.162,74.358,96.103,96.538,0.7395912339998352,0.3303585039304962,0.8287440785387356,0.3106195013022555,0,73,139,-0.8396138314592463,1,0.8396138314592463,1,0.001771245269714202,0.00037652209209025953,0.3138,0.3392,0.6135,1.134,1.1238,2.2599,4.3309,-0.002798,0.000378,8.6e-05,8.8e-05,-0.0002,-6.4e-05,-4.8e-05
10003,True,,69.113,74.716,74.377,0.339,5.264,11.188,12.119,12.063,67.761,71.335,71.056,10.964,11.557,11.511,76.827,76.636,97.094,94.335,0.7170495591472772,0.32871654096891373,0.7530655984397961,0.29030216723194974,0,503,620,-0.8415083767940814,1,0.8415083767940814,1,0.001193429150014318,0.0008341789516486986,0.2263,0.5929,1.1897,2.31,2.1859,4.7288,9.0781,0.000884,0.000241,-0.000187,-6.8e-05,0.00024,-0.00016,1.2e-05
10004,True,,70.608,74.769,74.478,0.291,3.87,11.437,12.128,12.079,68.895,71.389,71.018,11.152,11.566,11.505,79.363,79.48,96.457,95.306,0.7530864272582345,0.33060713794118934,0.5720954727757428,0.2520204460967007,0,136,177,-0.8369670005931766,1,0.8369670005931766,1,0.0008784516424992918,0.0006226788596151351,0.1751,0.1765,0.5178,0.7518,0.6757,1.2221,2.4532,-0.000586,0.00031,0.00011,0.000214,-0.000299,-1.5e-05,3.2e-05
10005,True,,68.804,74.638,74.466,0.172,5.662,11.137,12.106,12.077,67.618,71.323,71.228,10.94,11.555,11.539,73.388,73.338,96.726,96.058,0.7364716200822576,0.3304828159590485,0.7143291734541758,0.2814601973762806,0,66,88,-0.836706140011529,1,0.836706140011529,1,0.00044937830714819366,3.0478483183645454e-05,0.0719,0.2461,0.4497,0.8047,0.8581,1.6085,3.2571,-0.00051,0.000116,0.00018,1e-06,0.0001,-0.000135,2e-05
10006,True,,67.276,74.808,74.403,0.405,7.127,10.883,12.134,12.067,66.382,71.308,71.093,10.735,11.553,11.517,74.694,74.496,96.063,94.008,0.7187399143799507,0.33203993128256887,0.7917690900992775,0.295603131241514,0,622,792,-0.8365318782548457,1,0.8365318782548457,1,0.0048854819640846954,0.0011464003888026928,0.2564,0.2377,0.6023,1.085,0.8685,1.8013,3.5358,-0.00099,-0.001132,0.000654,0.000154,3.3e-05,9e-05,1.3e-05
10007,True,,72.241,74.893,74.728,0.165,2.487,11.708,12.148,12.121,69.946,71.334,71.259,11.327,11.557,11.545,86.149,86.361,95.846,95.453,0.7385617778284712,0.33237222289432605,0.814747560683071,0.3113127853679868,0,500,644,-0.8359705282750838,1,0.8359705282750838,1,0.003367978728603106,0.0010957679646457432,0.2204,0.5107,0.7561,1.3046,1.2253,2.4955,5.0687,0.000827,-0.000932,0.00038,-2e-06,-0.000285,-0.000108,-8.1e-05
10008,True,,67.988,74.486,74.331,0.155,6.343,11.001,12.081,12.055,66.972,71.06,71.048,10.833,11.512,11.51,74.8,74.832,96.331,93.89,0.7034369284635829,0.3307417225509145,0.8898547003388516,0.349962941361292,0,499,624,-0.8369666664807482,1,0.8369666664807482,1,0.002464795816909144,0.00050808766721215,0.0809,0.3293,0.5002,0.6899,0.7193,1.4126,2.5383,0.000103,-0.000281,0.000768,0.000182,0.000237,0.000213,2e-06
10009,True,,70.009,74.57,74.512,0.058,4.503,11.337,12.095,12.085,68.519,71.2,71.116,11.09,11.535,11.521,79.555,79.608,94.915,95.201,0.6967097865924123,0.33142880397425517,0.839064958304627,0.3159992166299263,0,479,587,-0.8368213528660817,1,0.8368213528660817,1,0.000510037854618969,0.000363936320684149,0.1463,0.1655,0.3809,0.864,0.8097,1.574,3.0479,0.00093,-0.000149,0.000186,-1.3e-05,0.00027,0.000224,5.4e-05
