seed,valid,calibration_error,nominal_sndr,physical_sndr,calibrated_sndr,oracle_gap_db,cal_gain_db,nominal_enob,physical_enob,calibrated_enob,nominal_sndr_int12,physical_sndr_int12,calibrated_sndr_int12,nominal_enob_int12,physical_enob_int12,calibrated_enob_int12,nominal_sfdr_int12,nominal_sfdr,physical_sfdr,calibrated_sfdr,dnl_peak,dnl_rms,inl_peak,inl_rms,n_missing,n_non_monotonic,n_float_backsteps,worst_float_step_lsb,max_integer_jump,max_float_rollback_lsb,max_integer_rollback_lsb,float_nonmonotonic_input_fraction,integer_nonmonotonic_input_fraction,err_H1C,err_H2C,err_H4C,err_H8C-R,err_H8C-A,err_H16C,err_H32C,ratio_H1C,ratio_H2C,ratio_H4C,ratio_H8C-R,ratio_H8C-A,ratio_H16C,ratio_H32C
10000,True,,69.225,74.709,70.526,4.183,1.301,11.207,12.118,11.423,67.928,71.425,68.823,10.991,11.572,11.14,79.657,79.654,96.374,80.664,1.2527022580743021,0.3332740397918356,1.44504375906202,0.5121025701487937,0,122,148,-0.8389674247082439,1,0.8389674247082439,1,0.00010833443992416293,6.696734209130344e-05,0.2733,0.5556,0.6322,0.4135,1.0496,1.5501,3.4519,-0.002941,0.005294,-0.001247,0.000531,-8.4e-05,-0.00032,-2.7e-05
10001,True,,66.884,74.723,73.717,1.006,6.833,10.818,12.12,11.953,66.083,71.197,70.677,10.685,11.534,11.448,71.539,71.549,96.09,90.898,1.0013704464751734,0.3321179863653372,1.108974099385617,0.3667610252515165,0,495,592,-0.8387096774195015,1,0.8387096774195015,1,0.0006525600673898228,0.0005435081673332781,0.2615,0.2841,0.6941,0.9914,0.7663,2.1583,2.3372,-0.002774,0.002945,-0.001786,-0.001029,-0.000611,0.000722,6.3e-05
10002,True,,70.389,74.708,72.768,1.94,2.379,11.4,12.118,11.795,68.792,71.333,70.178,11.135,11.557,11.365,74.162,74.358,96.103,81.616,0.9113039138191856,0.3317403935889914,0.8975864711387025,0.32679581829757753,0,60,73,-0.8381946576605515,1,0.8381946576605515,1,0.00023284308279017857,0.0001731773781061068,0.1237,0.2663,0.6603,0.7434,0.3801,0.1544,0.738,0.002055,-0.001346,-0.001958,-0.000164,0.000914,0.000321,-0.00014
10003,True,,69.113,74.716,69.857,4.859,0.744,11.188,12.119,11.312,67.761,71.335,68.419,10.964,11.557,11.073,76.827,76.636,97.094,77.285,0.9410325028222755,0.33195990224853084,1.190041232563305,0.4692042252785469,0,493,585,-0.8398277276460249,1,0.8398277276460249,1,0.0008421910350195697,0.0007124501287651649,0.2876,0.3511,0.2326,1.7252,0.7797,3.1542,5.5,-0.00051,-0.000569,0.001181,-3e-05,0.001505,0.000373,-0.000522
10004,True,,70.608,74.769,72.571,2.198,1.963,11.437,12.128,11.763,68.895,71.389,70.22,11.152,11.566,11.372,79.363,79.48,96.457,85.188,1.100837325189496,0.33204822804948064,1.1097637471234707,0.3484610715218255,0,137,177,-0.8396555259382694,1,0.8396555259382694,1,0.0008784516424992918,0.0005998908254986053,0.5888,0.2269,0.5171,1.0138,1.4649,2.8194,5.289,-0.006475,0.002057,0.000322,0.000754,0.000294,-0.00038,-0.000218
10005,True,,68.804,74.638,74.224,0.414,5.42,11.137,12.106,12.037,67.618,71.323,70.981,10.94,11.555,11.498,73.388,73.338,96.726,88.847,0.7361196163916592,0.3318794995386718,0.7248395867108772,0.287186290901867,0,60,75,-0.8373376955323693,1,0.8373376955323693,1,3.8973880293453916e-05,6.8082189156656175e-06,0.0897,0.4387,0.4263,0.8314,0.5069,1.003,1.6235,0.000726,0.002669,0.000979,-0.000504,-0.000783,2.4e-05,-6.5e-05
10006,True,,67.276,74.808,73.18,1.628,5.904,10.883,12.134,11.864,66.382,71.308,70.438,10.735,11.553,11.408,74.694,74.496,96.063,85.988,1.1787734150496139,0.33628473995789754,1.0399445253807105,0.36466416992211637,0,607,737,-0.8335029513536938,1,0.8335029513536938,1,0.001112880745014387,0.0006102905188709308,0.7661,1.4908,2.0767,3.5261,2.6545,6.0087,11.8757,0.006111,0.005631,-0.001975,0.001133,-0.000612,-0.000467,0.000126
10007,True,,72.241,74.893,73.769,1.124,1.528,11.708,12.148,11.962,69.946,71.334,70.675,11.327,11.557,11.448,86.149,86.361,95.846,85.437,0.7006043506832467,0.3325173121621654,0.8499323797384071,0.32796501157556807,0,528,622,-0.8352029369775664,1,0.8352029369775664,1,0.002189750605016517,0.001251187954774223,0.5407,0.9626,0.7483,1.9022,2.2135,4.04,7.5312,0.004471,0.003666,-0.000737,2.2e-05,-0.001155,-0.000202,-1.7e-05
10008,True,,67.988,74.486,72.934,1.552,4.946,11.001,12.081,11.823,66.972,71.06,70.325,10.833,11.512,11.389,74.8,74.832,96.331,86.52,0.9158342726437496,0.3326607392741149,0.9867134170424109,0.3375608520878381,0,492,584,-0.8353733170138185,1,0.8353733170138185,1,0.00042506209553860505,0.00035810025857042026,0.502,0.7862,0.8659,1.8466,2.1725,3.3339,7.0344,-0.002234,0.002985,-0.00112,0.000534,0.001183,-7.4e-05,3.1e-05
10009,True,,70.009,74.57,72.001,2.569,1.992,11.337,12.095,11.668,68.519,71.2,69.859,11.09,11.535,11.312,79.555,79.608,94.915,80.551,1.113178800792494,0.33098886972964414,0.9653417570941745,0.348761841908109,0,487,586,-0.8405172413795299,1,0.8405172413795299,1,0.0004715025604855567,0.0003315278241217904,0.3303,0.6821,0.3891,1.679,2.1724,3.6721,6.958,-0.001689,-0.001886,0.002109,0.00096,-0.000833,-0.000197,-2.4e-05
