vin_diff,decisions,code_nominal,code_physical,residual_v,clip_low_nom,clip_high_nom,clip_low_phy,clip_high_phy
-0.85968269,11111101100000,0,0,-4.199718e-04,0,0,0,0
-0.85926292,11111101011111,1,1,2.052767e-07,0,0,0,0
-0.85884315,11111101011110,2,2,-4.195617e-04,0,0,0,0
-0.85842339,11111101011101,3,3,6.154054e-07,0,0,0,0
-0.85800362,11111101011100,4,4,-4.191515e-04,0,0,0,0
-0.85758385,11111101011011,5,5,1.025534e-06,0,0,0,0
-0.85716409,11111101011010,6,6,-4.187414e-04,0,0,0,0
-0.85674432,11111101011001,7,7,1.435663e-06,0,0,0,0
-0.85632455,11111101011000,8,8,-4.183313e-04,0,0,0,0
-0.85590479,11111101010111,9,9,1.845792e-06,0,0,0,0
-0.85548502,11111101010110,10,10,-4.179211e-04,0,0,0,0
-0.85506525,11111101010101,11,11,2.255920e-06,0,0,0,0
-0.85464548,11111101010100,12,12,-4.175110e-04,0,0,0,0
-0.85422572,11111101010011,13,13,2.666049e-06,0,0,0,0
-0.85380595,11111101010010,14,14,-4.171009e-04,0,0,0,0
-0.85338618,11111101010001,15,15,3.076178e-06,0,0,0,0
-0.85296642,11111101010000,16,16,-4.166908e-04,0,0,0,0
-0.85254665,11111101001111,17,17,3.486306e-06,0,0,0,0
-0.85212688,11111101001110,18,18,-4.162806e-04,0,0,0,0
-0.85170712,11111101001101,19,19,3.896435e-06,0,0,0,0
-0.85128735,11111101001100,20,20,-4.158705e-04,0,0,0,0
-0.85086758,11111101001011,21,21,4.306564e-06,0,0,0,0
-0.85044782,11111101001010,22,22,-4.154604e-04,0,0,0,0
-0.85002805,11111101001001,23,23,4.716692e-06,0,0,0,0
-0.84960828,11111101001000,24,24,-4.150502e-04,0,0,0,0
-0.84918851,11111101000111,25,25,5.126821e-06,0,0,0,0
-0.84876875,11111101000110,26,26,-4.146401e-04,0,0,0,0
-0.84834898,11111101000101,27,27,5.536950e-06,0,0,0,0
-0.84792921,11111101000100,28,28,-4.142300e-04,0,0,0,0
-0.84750945,11111101000011,29,29,5.947079e-06,0,0,0,0
-0.84708968,11111101000010,30,30,-4.138199e-04,0,0,0,0
-0.84666991,11111101000001,31,31,6.357207e-06,0,0,0,0
-0.84625015,11111101000000,32,32,-4.134097e-04,0,0,0,0
-0.84583038,11111010111111,33,33,6.767336e-06,0,0,0,0
-0.84541061,11111010111110,34,34,-4.129996e-04,0,0,0,0
-0.84499085,11111010111101,35,35,7.177465e-06,0,0,0,0
-0.84457108,11111010111100,36,36,-4.125895e-04,0,0,0,0
-0.84415131,11111010111011,37,37,7.587593e-06,0,0,0,0
