bin,frequency_norm,magnitude,power,is_signal,is_harmonic,is_noise
0,0.0,0.000000e+00,0.000000e+00,0,0,0
1,0.000488,3.195391e-03,1.021053e-05,0,0,1
2,0.000976,0.000000e+00,0.000000e+00,0,0,1
3,0.001464,9.947987e-03,9.896244e-05,0,0,1
4,0.001952,0.000000e+00,0.000000e+00,0,0,1
5,0.00244,3.057546e-03,9.348589e-06,0,0,1
6,0.002928,0.000000e+00,0.000000e+00,0,0,1
7,0.003416,5.814386e-03,3.380708e-05,0,0,1
8,0.003904,0.000000e+00,0.000000e+00,0,0,1
9,0.004392,7.722247e-03,5.963310e-05,0,0,1
10,0.00488,0.000000e+00,0.000000e+00,0,0,1
11,0.005368,2.414769e-03,5.831111e-06,0,0,1
12,0.005857,0.000000e+00,0.000000e+00,0,0,1
13,0.006345,7.881598e-03,6.211959e-05,0,0,1
14,0.006833,0.000000e+00,0.000000e+00,0,0,1
15,0.007321,8.888440e-03,7.900437e-05,0,0,1
16,0.007809,0.000000e+00,0.000000e+00,0,0,1
17,0.008297,8.666052e-03,7.510045e-05,0,0,1
18,0.008785,0.000000e+00,0.000000e+00,0,0,1
19,0.009273,3.730582e-03,1.391724e-05,0,0,1
20,0.009761,0.000000e+00,0.000000e+00,0,0,1
21,0.010249,6.322457e-03,3.997347e-05,0,0,1
22,0.010737,0.000000e+00,0.000000e+00,0,0,1
23,0.011225,7.922803e-03,6.277081e-05,0,0,1
24,0.011713,0.000000e+00,0.000000e+00,0,0,1
25,0.012201,8.911244e-03,7.941028e-05,0,0,1
26,0.012689,0.000000e+00,0.000000e+00,0,0,1
27,0.013177,5.019903e-03,2.519942e-05,0,0,1
28,0.013665,0.000000e+00,0.000000e+00,0,0,1
29,0.014153,7.863274e-03,6.183108e-05,0,0,1
30,0.014641,0.000000e+00,0.000000e+00,0,0,1
31,0.015129,4.705393e-03,2.214072e-05,0,0,1
32,0.015617,0.000000e+00,0.000000e+00,0,0,1
33,0.016105,9.622331e-03,9.258925e-05,0,0,1
34,0.016593,0.000000e+00,0.000000e+00,0,0,1
35,0.017082,5.175886e-03,2.678979e-05,0,0,1
36,0.01757,0.000000e+00,0.000000e+00,0,0,1
37,0.018058,3.759484e-03,1.413372e-05,0,0,1
38,0.018546,0.000000e+00,0.000000e+00,0,0,1
39,0.019034,1.092325e-02,1.193174e-04,0,0,1
