combo,bit_pattern,vdiff_v,code_nominal,code_physical,decisions
8191,1111111111111,-0.900000000,0,0,1111111111111
4095,0111111111111,-0.899160056,0,0,1111111111110
6143,1011111111111,-0.898320112,0,0,1111111111101
2047,0011111111111,-0.897480168,0,0,1111111111100
7167,1101111111111,-0.896640224,0,0,1111111111011
3071,0101111111111,-0.895800280,0,0,1111111111010
5119,1001111111111,-0.894960336,0,0,1111111111001
1023,0001111111111,-0.894120392,0,0,1111111111000
7679,1110111111111,-0.893280448,0,0,1111111110111
3583,0110111111111,-0.892440504,0,0,1111111110110
5631,1010111111111,-0.891600560,0,0,1111111110101
1535,0010111111111,-0.890760616,0,0,1111111110100
6655,1100111111111,-0.889920672,0,0,1111111110011
2559,0100111111111,-0.889080728,0,0,1111111110010
4607,1000111111111,-0.888240784,0,0,1111111110001
511,0000111111111,-0.887400840,0,0,1111111110000
7935,1111011111111,-0.886560896,0,0,1111111101111
3839,0111011111111,-0.885720952,0,0,1111111101110
5887,1011011111111,-0.884881008,0,0,1111111101101
1791,0011011111111,-0.884041064,0,0,1111111101100
6911,1101011111111,-0.883201120,0,0,1111111101011
2815,0101011111111,-0.882361176,0,0,1111111101010
4863,1001011111111,-0.881521232,0,0,1111111101001
767,0001011111111,-0.880681288,0,0,1111111101000
7423,1110011111111,-0.879841344,0,0,1111111100111
3327,0110011111111,-0.879001400,0,0,1111111100110
5375,1010011111111,-0.878161456,0,0,1111111100101
1279,0010011111111,-0.877321512,0,0,1111111100100
6399,1100011111111,-0.876481568,0,0,1111111100011
2303,0100011111111,-0.875641624,0,0,1111111100010
4351,1000011111111,-0.874801680,0,0,1111111100001
255,0000011111111,-0.873961736,0,0,1111111100000
8063,1111101111111,-0.873121792,0,0,1111111011111
8127,1111110111111,-0.872701820,0,0,1111110111111
8159,1111111011111,-0.872701820,0,0,1111101111111
3967,0111101111111,-0.872281848,0,0,1111111011110
4031,0111110111111,-0.871861876,0,0,1111110111110
4063,0111111011111,-0.871861876,0,0,1111101111110
6015,1011101111111,-0.871441904,0,0,1111111011101
6079,1011110111111,-0.871021932,0,0,1111110111101
6111,1011111011111,-0.871021932,0,0,1111101111101
1919,0011101111111,-0.870601960,0,0,1111111011100
1983,0011110111111,-0.870181988,0,0,1111110111100
2015,0011111011111,-0.870181988,0,0,1111101111100
7039,1101101111111,-0.869762016,0,0,1111111011011
7103,1101110111111,-0.869342044,0,0,1111110111011
7135,1101111011111,-0.869342044,0,0,1111101111011
2943,0101101111111,-0.868922072,0,0,1111111011010
3007,0101110111111,-0.868502100,0,0,1111110111010
3039,0101111011111,-0.868502100,0,0,1111101111010
4991,1001101111111,-0.868082128,0,0,1111111011001
