capacitor,stage,cap_name,baseline_vdiff_v,p_only_delta_v,n_only_delta_v,complementary_delta_v,pn_sum_v,complementary_vs_2x_p,normalized_q0
H32C,0,high_32c,0.000000000,0.436770882,-0.436770882,0.873541764,0.000000000,0.000000000,2080.0
H16C,1,high_16c,0.000000000,0.218385441,-0.218385441,0.436770882,0.000000000,0.000000000,1040.0
H8C,2,high_8c,0.000000000,0.109192720,-0.109192720,0.218385441,0.000000000,0.000000000,520.0
H4C,3,high_4c,0.000000000,0.054596360,-0.054596360,0.109192720,0.000000000,0.000000000,260.0
H2C,4,high_2c,0.000000000,0.027298180,-0.027298180,0.054596360,0.000000000,0.000000000,130.0
H1C-A,6,high_1c_a,0.000000000,0.013649090,-0.013649090,0.027298180,0.000000000,0.000000000,65.0
H1C-R,5,high_1c_r,0.000000000,0.013649090,-0.013649090,0.027298180,0.000000000,0.000000000,65.0
L32C,7,low_32c,0.000000000,0.013439104,-0.013439104,0.026878208,0.000000000,0.000000000,64.0
L16C,8,low_16c,0.000000000,0.006719552,-0.006719552,0.013439104,0.000000000,0.000000000,32.0
L8C,9,low_8c,0.000000000,0.003359776,-0.003359776,0.006719552,0.000000000,0.000000000,16.0
L4C,10,low_4c,0.000000000,0.001679888,-0.001679888,0.003359776,0.000000000,0.000000000,8.0
L2C,11,low_2c,0.000000000,0.000839944,-0.000839944,0.001679888,0.000000000,0.000000000,4.0
L1C,12,low_1c,0.000000000,0.000419972,-0.000419972,0.000839944,0.000000000,0.000000000,2.0
TERMINAL,13,none,N/A,N/A,N/A,N/A,N/A,N/A,1.0
